Datas,Duesseldorf
2022/09/13,5800.0
2022/09/14,5700.0
2022/09/15,5700.0
2022/09/16,5600.0
2022/09/17,5600.0
2022/09/18,5600.0
2022/09/19,5500.0
2022/09/20,5100.0
2022/09/21,5100.0
2022/09/22,5200.0
2022/09/23,5300.0
2022/09/24,5300.0
2022/09/25,5300.0
2022/09/26,5100.0
2022/09/27,5300.0
2022/09/28,5600.0
2022/09/29,5800.0
2022/09/30,5500.0
2022/10/01,5500.0
2022/10/02,5500.0
2022/10/03,5500.0
2022/10/04,6200.0
2022/10/05,6600.0
2022/10/06,7000.0
2022/10/07,7700.0
2022/10/08,7700.0
2022/10/09,7700.0
