Datas,Catanzaro
2021/08/30,5
2021/08/31,24
2021/09/01,26
2021/09/02,6
2021/09/03,13
2021/09/04,25
2021/09/05,0
2021/09/06,7
2021/09/07,13
2021/09/08,29
2021/09/09,23
2021/09/10,7
2021/09/11,19
2021/09/12,0
2021/09/13,0
2021/09/14,14
2021/09/15,21
2021/09/16,29
2021/09/17,28
2021/09/18,20
2021/09/19,0
2021/09/20,16
2021/09/21,29
2021/09/22,13
2021/09/23,19
2021/09/24,17
2021/09/25,7
2021/09/26,0
2021/09/27,6
2021/09/28,8
2021/09/29,14
2021/09/30,10
2021/10/01,14
2021/10/02,4
2021/10/03,0
2021/10/04,0
2021/10/05,22
2021/10/06,10
2021/10/07,7
2021/10/08,5
2021/10/09,8
2021/10/10,0
2021/10/11,1
2021/10/12,9
2021/10/13,1
2021/10/14,7
2021/10/15,3
2021/10/16,3
2021/10/17,1
2021/10/18,1
2021/10/19,4
2021/10/20,8
2021/10/21,5
2021/10/22,2
2021/10/23,10
2021/10/24,1
2021/10/25,3
2021/10/26,9
2021/10/27,15
2021/10/28,14
2021/10/29,10
2021/10/30,20
2021/10/31,3
2021/11/01,0
2021/11/02,0
2021/11/03,33
2021/11/04,32
2021/11/05,7
2021/11/06,22
2021/11/07,5
2021/11/08,0
2021/11/09,26
2021/11/10,21
2021/11/11,18
2021/11/12,25
2021/11/13,19
2021/11/14,4
2021/11/15,3
2021/11/16,28
2021/11/17,31
2021/11/18,20
2021/11/19,21
2021/11/20,21
2021/11/21,5
2021/11/22,7
2021/11/23,19
2021/11/24,30
2021/11/25,30
2021/11/26,46
2021/11/27,16
2021/11/28,38
2021/11/29,4
2021/11/30,41
2021/12/01,38
2021/12/02,44
2021/12/03,63
2021/12/04,39
2021/12/05,8
2021/12/06,37
2021/12/07,39
2021/12/08,52
2021/12/09,75
2021/12/10,46
2021/12/11,117
2021/12/12,5
2021/12/13,2
2021/12/14,55
2021/12/15,56
2021/12/16,99
2021/12/17,49
2021/12/18,72
2021/12/19,65
2021/12/20,17
2021/12/21,71
2021/12/22,187
2021/12/23,98
2021/12/24,180
2021/12/25,157
2021/12/26,23
2021/12/27,61
2021/12/28,187
2021/12/29,285
2021/12/30,203
2021/12/31,316
2022/01/01,202
2022/01/02,112
2022/01/03,221
2022/01/04,300
2022/01/05,439
2022/01/06,265
2022/01/07,65
2022/01/08,314
2022/01/09,247
2022/01/10,151
2022/01/11,205
2022/01/12,208
2022/01/13,220
2022/01/14,1193
2022/01/15,215
2022/01/16,189
2022/01/17,79
2022/01/18,475
2022/01/19,271
2022/01/20,325
2022/01/21,326
2022/01/22,294
2022/01/23,264
2022/01/24,90
2022/01/25,332
2022/01/26,267
2022/01/27,245
2022/01/28,244
2022/01/29,288
2022/01/30,273
2022/01/31,182
2022/02/01,356
2022/02/02,315
2022/02/03,293
2022/02/04,272
2022/02/05,213
2022/02/06,216
2022/02/07,125
2022/02/08,372
2022/02/09,275
2022/02/10,181
2022/02/11,192
2022/02/12,175
2022/02/13,150
2022/02/14,60
2022/02/15,217
2022/02/16,168
2022/02/17,173
2022/02/18,166
2022/02/19,120
2022/02/20,95
2022/02/21,89
2022/02/22,249
2022/02/23,146
2022/02/24,145
2022/02/25,121
2022/02/26,115
2022/02/27,111
2022/02/28,42
2022/03/01,203
2022/03/02,53
2022/03/03,141
2022/03/04,155
2022/03/05,209
2022/03/06,184
2022/03/07,139
2022/03/08,292
2022/03/09,269
2022/03/10,301
2022/03/11,274
2022/03/12,262
2022/03/13,277
2022/03/14,120
2022/03/15,533
2022/03/16,439
2022/03/17,460
2022/03/18,495
2022/03/19,388
2022/03/20,414
2022/03/21,145
2022/03/22,754
2022/03/23,485
2022/03/24,541
2022/03/25,400
2022/03/26,304
2022/03/27,389
2022/03/28,184
2022/03/29,535
2022/03/30,353
2022/03/31,306
2022/04/01,758
2022/04/02,482
2022/04/03,412
2022/04/04,175
2022/04/05,781
2022/04/06,482
2022/04/07,566
2022/04/08,464
2022/04/09,593
2022/04/10,459
2022/04/11,221
2022/04/12,716
2022/04/13,533
2022/04/14,513
2022/04/15,526
2022/04/16,427
2022/04/17,416
2022/04/18,93
2022/04/19,140
2022/04/20,1055
2022/04/21,483
2022/04/22,573
2022/04/23,563
2022/04/24,535
2022/04/25,156
2022/04/26,243
2022/04/27,882
2022/04/28,359
2022/04/29,405
2022/04/30,434
2022/05/01,411
2022/05/02,155
2022/05/03,686
2022/05/04,401
2022/05/05,444
2022/05/06,368
2022/05/07,324
2022/05/08,259
2022/05/09,96
2022/05/10,520
2022/05/11,290
2022/05/12,307
2022/05/13,279
2022/05/14,263
2022/05/15,167
2022/05/16,79
2022/05/17,327
2022/05/18,181
2022/05/19,206
2022/05/20,215
2022/05/21,163
2022/05/22,98
2022/05/23,57
2022/05/24,212
2022/05/25,149
2022/05/26,139
2022/05/27,147
2022/05/28,148
2022/05/29,132
2022/05/30,36
2022/05/31,228
2022/06/01,126
2022/06/02,166
2022/06/03,71
2022/06/04,232
2022/06/05,138
2022/06/06,33
2022/06/07,179
2022/06/08,132
2022/06/09,156
2022/06/10,137
2022/06/11,152
2022/06/12,111
2022/06/13,41
2022/06/14,236
2022/06/15,211
2022/06/16,205
2022/06/17,43153
2022/06/18,-42787
2022/06/19,166
2022/06/20,57
2022/06/21,336
2022/06/22,235
2022/06/23,266
2022/06/24,283
2022/06/25,267
2022/06/26,274
2022/06/27,94
2022/06/28,500
2022/06/29,368
2022/06/30,388
2022/07/01,403
2022/07/02,421
2022/07/03,414
2022/07/04,136
2022/07/05,836
2022/07/06,568
2022/07/07,598
2022/07/08,664
2022/07/09,512
2022/07/10,509
2022/07/11,285
2022/07/12,859
2022/07/13,650
2022/07/14,670
2022/07/15,673
2022/07/16,618
2022/07/17,466
2022/07/18,207
2022/07/19,977
2022/07/20,579
2022/07/21,608
2022/07/22,576
2022/07/23,527
2022/07/24,411
2022/07/25,168
2022/07/26,751
2022/07/27,487
2022/07/28,451
2022/07/29,412
2022/07/30,390
2022/07/31,325
2022/08/01,138
2022/08/02,475
2022/08/03,319
2022/08/04,304
2022/08/05,347
2022/08/06,296
2022/08/07,237
2022/08/08,111
2022/08/09,400
2022/08/10,257
2022/08/11,248
2022/08/12,254
2022/08/13,241
2022/08/14,215
2022/08/15,106
2022/08/16,77
2022/08/17,526
2022/08/18,336
2022/08/19,358
2022/08/20,345
2022/08/21,295
2022/08/22,109
2022/08/23,539
2022/08/24,304
2022/08/25,61122
2022/08/26,-60518
2022/08/27,326
2022/08/28,256
2022/08/29,76
2022/08/30,403
2022/08/31,219
2022/09/01,213
2022/09/02,178
2022/09/03,176
2022/09/04,127
2022/09/05,53
2022/09/06,250
2022/09/07,113
2022/09/08,167
2022/09/09,129
2022/09/10,128
2022/09/11,101
2022/09/12,40
2022/09/13,191
2022/09/14,123
2022/09/15,97
2022/09/16,119
2022/09/17,108
2022/09/18,92
2022/09/19,45
2022/09/20,177
2022/09/21,110
2022/09/22,112
2022/09/23,110
2022/09/24,99
2022/09/25,95
2022/09/26,53
2022/09/27,234
2022/09/28,154
2022/09/29,165
2022/09/30,129
2022/10/01,157
2022/10/02,102
2022/10/03,40
