Datas,Parma
2021/07/07,10
2021/07/08,14
2021/07/09,16
2021/07/10,19
2021/07/11,7
2021/07/12,22
2021/07/13,1
2021/07/14,11
2021/07/15,15
2021/07/16,13
2021/07/17,8
2021/07/18,20
2021/07/19,15
2021/07/20,6
2021/07/21,25
2021/07/22,31
2021/07/23,48
2021/07/24,33
2021/07/25,69
2021/07/26,71
2021/07/27,7
2021/07/28,33
2021/07/29,25
2021/07/30,45
2021/07/31,49
2021/08/01,56
2021/08/02,40
2021/08/03,5
2021/08/04,42
2021/08/05,46
2021/08/06,50
2021/08/07,61
2021/08/08,79
2021/08/09,77
2021/08/10,12
2021/08/11,32
2021/08/12,32
2021/08/13,83
2021/08/14,90
2021/08/15,72
2021/08/16,39
2021/08/17,26
2021/08/18,47
2021/08/19,49
2021/08/20,63
2021/08/21,75
2021/08/22,51
2021/08/23,116
2021/08/24,12
2021/08/25,41
2021/08/26,72
2021/08/27,83
2021/08/28,85
2021/08/29,60
2021/08/30,56
2021/08/31,27
2021/09/01,34
2021/09/02,43
2021/09/03,98
2021/09/04,45
2021/09/05,70
2021/09/06,61
2021/09/07,12
2021/09/08,33
2021/09/09,42
2021/09/10,59
2021/09/11,47
2021/09/12,54
2021/09/13,58
2021/09/14,15
2021/09/15,32
2021/09/16,49
2021/09/17,68
2021/09/18,38
2021/09/19,39
2021/09/20,50
2021/09/21,16
2021/09/22,23
2021/09/23,-35
2021/09/24,139
2021/09/25,58
2021/09/26,39
2021/09/27,42
2021/09/28,13
2021/09/29,27
2021/09/30,37
2021/10/01,61
2021/10/02,28
2021/10/03,82
2021/10/04,23
2021/10/05,14
2021/10/06,15
2021/10/07,26
2021/10/08,30
2021/10/09,18
2021/10/10,27
2021/10/11,25
2021/10/12,7
2021/10/13,14
2021/10/14,26
2021/10/15,7
2021/10/16,21
2021/10/17,21
2021/10/18,22
2021/10/19,9
2021/10/20,13
2021/10/21,24
2021/10/22,10
2021/10/23,13
2021/10/24,22
2021/10/25,37
2021/10/26,2
2021/10/27,14
2021/10/28,25
2021/10/29,38
2021/10/30,19
2021/10/31,22
2021/11/01,33
2021/11/02,2
2021/11/03,4
2021/11/04,3
2021/11/05,17
2021/11/06,30
2021/11/07,35
2021/11/08,27
2021/11/09,35
2021/11/10,15
2021/11/11,35
2021/11/12,39
2021/11/13,50
2021/11/14,29
2021/11/15,40
2021/11/16,1
2021/11/17,28
2021/11/18,64
2021/11/19,40
2021/11/20,24
2021/11/21,33
2021/11/22,61
2021/11/23,5
2021/11/24,27
2021/11/25,64
2021/11/26,43
2021/11/27,54
2021/11/28,70
2021/11/29,72
2021/11/30,9
2021/12/01,36
2021/12/02,50
2021/12/03,51
2021/12/04,79
2021/12/05,104
2021/12/06,39
2021/12/07,13
2021/12/08,85
2021/12/09,125
2021/12/10,22
2021/12/11,130
2021/12/12,98
2021/12/13,79
2021/12/14,80
2021/12/15,130
2021/12/16,89
2021/12/17,203
2021/12/18,195
2021/12/19,168
2021/12/20,113
2021/12/21,221
2021/12/22,170
2021/12/23,173
2021/12/24,183
2021/12/25,252
2021/12/26,187
2021/12/27,126
2021/12/28,65
2021/12/29,261
2021/12/30,491
2021/12/31,873
2022/01/01,1057
2022/01/02,982
2022/01/03,753
2022/01/04,779
2022/01/05,1666
2022/01/06,1800
2022/01/07,1782
2022/01/08,967
2022/01/09,2370
2022/01/10,263
2022/01/11,2078
2022/01/12,2211
2022/01/13,1918
2022/01/14,1843
2022/01/15,1293
2022/01/16,1705
2022/01/17,418
2022/01/18,1687
2022/01/19,2142
2022/01/20,1694
2022/01/21,1911
2022/01/22,1565
2022/01/23,1498
2022/01/24,491
2022/01/25,1434
2022/01/26,2002
2022/01/27,1289
2022/01/28,1330
2022/01/29,1134
2022/01/30,1226
2022/01/31,290
2022/02/01,1045
2022/02/02,1350
2022/02/03,745
2022/02/04,845
2022/02/05,801
2022/02/06,644
2022/02/07,295
2022/02/08,610
2022/02/09,763
2022/02/10,479
2022/02/11,527
2022/02/12,387
2022/02/13,358
2022/02/14,70
2022/02/15,364
2022/02/16,420
2022/02/17,300
2022/02/18,318
2022/02/19,250
2022/02/20,243
2022/02/21,202
2022/02/22,112
2022/02/23,308
2022/02/24,208
2022/02/25,244
2022/02/26,185
2022/02/27,155
2022/02/28,204
2022/03/01,95
2022/03/02,201
2022/03/03,148
2022/03/04,187
2022/03/05,167
2022/03/06,173
2022/03/07,187
2022/03/08,89
2022/03/09,208
2022/03/10,179
2022/03/11,228
2022/03/12,166
2022/03/13,186
2022/03/14,162
2022/03/15,95
2022/03/16,286
2022/03/17,227
2022/03/18,372
2022/03/19,274
2022/03/20,240
2022/03/21,183
2022/03/22,172
2022/03/23,410
2022/03/24,320
2022/03/25,329
2022/03/26,330
2022/03/27,346
2022/03/28,209
2022/03/29,184
2022/03/30,502
2022/03/31,397
2022/04/01,422
2022/04/02,405
2022/04/03,426
2022/04/04,293
2022/04/05,225
2022/04/06,573
2022/04/07,417
2022/04/08,465
2022/04/09,407
2022/04/10,407
2022/04/11,316
2022/04/12,223
2022/04/13,678
2022/04/14,422
2022/04/15,467
2022/04/16,398
2022/04/17,443
2022/04/18,291
2022/04/19,164
2022/04/20,166
2022/04/21,761
2022/04/22,512
2022/04/23,509
2022/04/24,572
2022/04/25,372
2022/04/26,184
2022/04/27,206
2022/04/28,643
2022/04/29,495
2022/04/30,424
2022/05/01,459
2022/05/02,254
2022/05/03,154
2022/05/04,578
2022/05/05,396
2022/05/06,377
2022/05/07,304
2022/05/08,288
2022/05/09,239
2022/05/10,132
2022/05/11,500
2022/05/12,303
2022/05/13,415
2022/05/14,339
2022/05/15,308
2022/05/16,173
2022/05/17,118
2022/05/18,368
2022/05/19,225
2022/05/20,267
2022/05/21,196
2022/05/22,185
2022/05/23,125
2022/05/24,68
2022/05/25,233
2022/05/26,159
2022/05/27,145
2022/05/28,114
2022/05/29,127
2022/05/30,76
2022/05/31,7
2022/06/01,159
2022/06/02,40
2022/06/03,230
2022/06/04,76
2022/06/05,155
2022/06/06,117
2022/06/07,81
2022/06/08,267
2022/06/09,153
2022/06/10,201
2022/06/11,173
2022/06/12,192
2022/06/13,152
2022/06/14,88
2022/06/15,0
2022/06/16,565
2022/06/17,278
2022/06/18,233
2022/06/19,7
2022/06/20,-2
2022/06/21,572
2022/06/22,428
2022/06/23,275
2022/06/24,368
2022/06/25,337
2022/06/26,394
2022/06/27,259
2022/06/28,154
2022/06/29,682
2022/06/30,483
2022/07/01,480
2022/07/02,413
2022/07/03,506
2022/07/04,312
2022/07/05,283
2022/07/06,809
2022/07/07,544
2022/07/08,573
2022/07/09,481
2022/07/10,557
2022/07/11,361
2022/07/12,241
2022/07/13,859
2022/07/14,595
2022/07/15,639
2022/07/16,497
2022/07/17,540
2022/07/18,318
2022/07/19,269
2022/07/20,818
2022/07/21,536
2022/07/22,542
2022/07/23,403
2022/07/24,425
2022/07/25,284
2022/07/26,173
2022/07/27,4
2022/07/28,1053
2022/07/29,414
2022/07/30,324
2022/07/31,337
2022/08/01,214
2022/08/02,166
2022/08/03,470
2022/08/04,306
2022/08/05,289
2022/08/06,239
2022/08/07,228
2022/08/08,174
2022/08/09,90
2022/08/10,345
2022/08/11,188
2022/08/12,186
2022/08/13,185
2022/08/14,147
2022/08/15,106
2022/08/16,61
2022/08/17,71
2022/08/18,273
2022/08/19,180
2022/08/20,173
2022/08/21,159
2022/08/22,114
2022/08/23,95
2022/08/24,288
2022/08/25,165
2022/08/26,166
2022/08/27,140
2022/08/28,134
2022/08/29,93
2022/08/30,65
2022/08/31,240
2022/09/01,153
2022/09/02,139
2022/09/03,106
2022/09/04,126
2022/09/05,85
2022/09/06,41
2022/09/07,200
2022/09/08,130
2022/09/09,135
2022/09/10,119
2022/09/11,122
2022/09/12,90
2022/09/13,0
2022/09/14,260
2022/09/15,144
2022/09/16,154
2022/09/17,138
2022/09/18,140
2022/09/19,81
2022/09/20,56
2022/09/21,230
2022/09/22,160
2022/09/23,156
2022/09/24,169
2022/09/25,166
2022/09/26,105
2022/09/27,88
2022/09/28,373
2022/09/29,236
2022/09/30,300
2022/10/01,230
2022/10/02,241
2022/10/03,193
