Datas,Pescara
2021/08/20,20
2021/08/21,38
2021/08/22,22
2021/08/23,5
2021/08/24,17
2021/08/25,23
2021/08/26,21
2021/08/27,0
2021/08/28,47
2021/08/29,17
2021/08/30,10
2021/08/31,3
2021/09/01,7
2021/09/02,50
2021/09/03,7
2021/09/04,13
2021/09/05,18
2021/09/06,1
2021/09/07,2
2021/09/08,8
2021/09/09,45
2021/09/10,13
2021/09/11,26
2021/09/12,4
2021/09/13,16
2021/09/14,17
2021/09/15,10
2021/09/16,18
2021/09/17,11
2021/09/18,12
2021/09/19,2
2021/09/20,7
2021/09/21,1
2021/09/22,27
2021/09/23,5
2021/09/24,1
2021/09/25,6
2021/09/26,13
2021/09/27,5
2021/09/28,1
2021/09/29,14
2021/09/30,17
2021/10/01,3
2021/10/02,4
2021/10/03,2
2021/10/04,1
2021/10/05,1
2021/10/06,8
2021/10/07,7
2021/10/08,3
2021/10/09,4
2021/10/10,1
2021/10/11,2
2021/10/12,4
2021/10/13,5
2021/10/14,2
2021/10/15,4
2021/10/16,6
2021/10/17,2
2021/10/18,1
2021/10/19,-1
2021/10/20,17
2021/10/21,6
2021/10/22,17
2021/10/23,10
2021/10/24,5
2021/10/25,2
2021/10/26,7
2021/10/27,20
2021/10/28,16
2021/10/29,15
2021/10/30,13
2021/10/31,6
2021/11/01,7
2021/11/02,6
2021/11/03,18
2021/11/04,35
2021/11/05,9
2021/11/06,14
2021/11/07,18
2021/11/08,4
2021/11/09,18
2021/11/10,41
2021/11/11,32
2021/11/12,12
2021/11/13,43
2021/11/14,24
2021/11/15,4
2021/11/16,9
2021/11/17,64
2021/11/18,109
2021/11/19,37
2021/11/20,74
2021/11/21,27
2021/11/22,14
2021/11/23,24
2021/11/24,72
2021/11/25,58
2021/11/26,90
2021/11/27,48
2021/11/28,39
2021/11/29,9
2021/11/30,16
2021/12/01,51
2021/12/02,108
2021/12/03,31
2021/12/04,56
2021/12/05,24
2021/12/06,9
2021/12/07,12
2021/12/08,46
2021/12/09,61
2021/12/10,84
2021/12/11,68
2021/12/12,77
2021/12/13,15
2021/12/14,40
2021/12/15,58
2021/12/16,164
2021/12/17,93
2021/12/18,126
2021/12/19,93
2021/12/20,16
2021/12/21,67
2021/12/22,141
2021/12/23,208
2021/12/24,198
2021/12/25,208
2021/12/26,112
2021/12/27,66
2021/12/28,258
2021/12/29,240
2021/12/30,730
2021/12/31,1446
2022/01/01,1055
2022/01/02,201
2022/01/03,536
2022/01/04,1236
2022/01/05,1330
2022/01/06,1021
2022/01/07,479
2022/01/08,1123
2022/01/09,0
2022/01/10,1226
2022/01/11,1279
2022/01/12,992
2022/01/13,855
2022/01/14,817
2022/01/15,800
2022/01/16,826
2022/01/17,365
2022/01/18,1246
2022/01/19,892
2022/01/20,996
2022/01/21,863
2022/01/22,884
2022/01/23,806
2022/01/24,454
2022/01/25,1147
2022/01/26,871
2022/01/27,822
2022/01/28,738
2022/01/29,716
2022/01/30,721
2022/01/31,298
2022/02/01,937
2022/02/02,622
2022/02/03,571
2022/02/04,482
2022/02/05,500
2022/02/06,389
2022/02/07,269
2022/02/08,572
2022/02/09,435
2022/02/10,415
2022/02/11,366
2022/02/12,333
2022/02/13,285
2022/02/14,190
2022/02/15,428
2022/02/16,338
2022/02/17,383
2022/02/18,334
2022/02/19,293
2022/02/20,251
2022/02/21,139
2022/02/22,362
2022/02/23,327
2022/02/24,280
2022/02/25,262
2022/02/26,246
2022/02/27,159
2022/02/28,126
2022/03/01,295
2022/03/02,256
2022/03/03,284
2022/03/04,225
2022/03/05,223
2022/03/06,196
2022/03/07,111
2022/03/08,338
2022/03/09,264
2022/03/10,249
2022/03/11,300
2022/03/12,254
2022/03/13,289
2022/03/14,199
2022/03/15,432
2022/03/16,340
2022/03/17,440
2022/03/18,794
2022/03/19,374
2022/03/20,371
2022/03/21,179
2022/03/22,556
2022/03/23,404
2022/03/24,427
2022/03/25,449
2022/03/26,390
2022/03/27,394
2022/03/28,218
2022/03/29,627
2022/03/30,467
2022/03/31,458
2022/04/01,492
2022/04/02,413
2022/04/03,392
2022/04/04,244
2022/04/05,637
2022/04/06,432
2022/04/07,473
2022/04/08,457
2022/04/09,495
2022/04/10,385
2022/04/11,199
2022/04/12,611
2022/04/13,431
2022/04/14,492
2022/04/15,474
2022/04/16,448
2022/04/17,464
2022/04/18,142
2022/04/19,240
2022/04/20,839
2022/04/21,501
2022/04/22,654
2022/04/23,618
2022/04/24,526
2022/04/25,243
2022/04/26,376
2022/04/27,0
2022/04/28,1247
2022/04/29,484
2022/04/30,411
2022/05/01,371
2022/05/02,220
2022/05/03,516
2022/05/04,360
2022/05/05,437
2022/05/06,405
2022/05/07,319
2022/05/08,295
2022/05/09,171
2022/05/10,472
2022/05/11,344
2022/05/12,360
2022/05/13,308
2022/05/14,266
2022/05/15,220
2022/05/16,179
2022/05/17,327
2022/05/18,255
2022/05/19,234
2022/05/20,230
2022/05/21,170
2022/05/22,145
2022/05/23,94
2022/05/24,256
2022/05/25,144
2022/05/26,143
2022/05/27,97
2022/05/28,97
2022/05/29,106
2022/05/30,44
2022/05/31,123
2022/06/01,79
2022/06/02,113
2022/06/03,35
2022/06/04,116
2022/06/05,86
2022/06/06,48
2022/06/07,141
2022/06/08,115
2022/06/09,134
2022/06/10,139
2022/06/11,110
2022/06/12,103
2022/06/13,62
2022/06/14,191
2022/06/15,183
2022/06/16,223
2022/06/17,206
2022/06/18,256
2022/06/19,185
2022/06/20,90
2022/06/21,384
2022/06/22,267
2022/06/23,246
