Datas,Siena
2021/06/29,2
2021/06/30,5
2021/07/01,8
2021/07/02,3
2021/07/03,3
2021/07/04,3
2021/07/05,5
2021/07/06,2
2021/07/07,4
2021/07/08,1
2021/07/09,2
2021/07/10,2
2021/07/11,2
2021/07/12,13
2021/07/13,1
2021/07/14,5
2021/07/15,12
2021/07/16,15
2021/07/17,15
2021/07/18,20
2021/07/19,11
2021/07/20,8
2021/07/21,18
2021/07/22,22
2021/07/23,29
2021/07/24,26
2021/07/25,26
2021/07/26,33
2021/07/27,12
2021/07/28,22
2021/07/29,49
2021/07/30,43
2021/07/31,24
2021/08/01,33
2021/08/02,28
2021/08/03,17
2021/08/04,30
2021/08/05,31
2021/08/06,37
2021/08/07,43
2021/08/08,25
2021/08/09,39
2021/08/10,28
2021/08/11,24
2021/08/12,62
2021/08/13,43
2021/08/14,24
2021/08/15,19
2021/08/16,38
2021/08/17,14
2021/08/18,21
2021/08/19,48
2021/08/20,33
2021/08/21,46
2021/08/22,42
2021/08/23,18
2021/08/24,15
2021/08/25,42
2021/08/26,24
2021/08/27,26
2021/08/28,34
2021/08/29,28
2021/08/30,30
2021/08/31,12
2021/09/01,39
2021/09/02,25
2021/09/03,26
2021/09/04,38
2021/09/05,28
2021/09/06,44
2021/09/07,15
2021/09/08,18
2021/09/09,44
2021/09/10,45
2021/09/11,35
2021/09/12,61
2021/09/13,24
2021/09/14,19
2021/09/15,35
2021/09/16,34
2021/09/17,40
2021/09/18,23
2021/09/19,44
2021/09/20,16
2021/09/21,13
2021/09/22,21
2021/09/23,29
2021/09/24,27
2021/09/25,24
2021/09/26,15
2021/09/27,34
2021/09/28,19
2021/09/29,27
2021/09/30,40
2021/10/01,29
2021/10/02,23
2021/10/03,33
2021/10/04,21
2021/10/05,13
2021/10/06,21
2021/10/07,10
2021/10/08,39
2021/10/09,23
2021/10/10,20
2021/10/11,22
2021/10/12,2
2021/10/13,22
2021/10/14,16
2021/10/15,27
2021/10/16,10
2021/10/17,23
2021/10/18,9
2021/10/19,11
2021/10/20,14
2021/10/21,24
2021/10/22,21
2021/10/23,23
2021/10/24,29
2021/10/25,32
2021/10/26,22
2021/10/27,26
2021/10/28,53
2021/10/29,55
2021/10/30,23
2021/10/31,42
2021/11/01,25
2021/11/02,31
2021/11/03,44
2021/11/04,36
2021/11/05,29
2021/11/06,48
2021/11/07,43
2021/11/08,24
2021/11/09,27
2021/11/10,26
2021/11/11,36
2021/11/12,56
2021/11/13,50
2021/11/14,46
2021/11/15,54
2021/11/16,17
2021/11/17,40
2021/11/18,39
2021/11/19,56
2021/11/20,57
2021/11/21,71
2021/11/22,31
2021/11/23,47
2021/11/24,40
2021/11/25,59
2021/11/26,42
2021/11/27,36
2021/11/28,60
2021/11/29,24
2021/11/30,13
2021/12/01,48
2021/12/02,30
2021/12/03,43
2021/12/04,44
2021/12/05,37
2021/12/06,37
2021/12/07,41
2021/12/08,63
2021/12/09,51
2021/12/10,35
2021/12/11,38
2021/12/12,30
2021/12/13,39
2021/12/14,13
2021/12/15,59
2021/12/16,58
2021/12/17,70
2021/12/18,95
2021/12/19,102
2021/12/20,79
2021/12/21,143
2021/12/22,172
2021/12/23,299
2021/12/24,359
2021/12/25,343
2021/12/26,221
2021/12/27,282
2021/12/28,539
2021/12/29,621
2021/12/30,1368
2021/12/31,1263
2022/01/01,1047
2022/01/02,627
2022/01/03,585
2022/01/04,1465
2022/01/05,1086
2022/01/06,972
2022/01/07,437
2022/01/08,1047
2022/01/09,746
2022/01/10,340
2022/01/11,1022
2022/01/12,738
2022/01/13,770
2022/01/14,634
2022/01/15,698
2022/01/16,567
2022/01/17,299
2022/01/18,784
2022/01/19,759
2022/01/20,676
2022/01/21,755
2022/01/22,645
2022/01/23,569
2022/01/24,416
2022/01/25,689
2022/01/26,482
2022/01/27,889
2022/01/28,521
2022/01/29,527
2022/01/30,486
2022/01/31,244
2022/02/01,587
2022/02/02,525
2022/02/03,484
2022/02/04,383
2022/02/05,434
2022/02/06,446
2022/02/07,183
2022/02/08,438
2022/02/09,327
2022/02/10,290
2022/02/11,266
2022/02/12,278
2022/02/13,214
2022/02/14,118
2022/02/15,280
2022/02/16,302
2022/02/17,291
2022/02/18,228
2022/02/19,228
2022/02/20,234
2022/02/21,103
2022/02/22,353
2022/02/23,298
2022/02/24,251
2022/02/25,254
2022/02/26,244
2022/02/27,218
2022/02/28,118
2022/03/01,343
2022/03/02,304
2022/03/03,274
2022/03/04,306
2022/03/05,261
2022/03/06,183
2022/03/07,177
2022/03/08,396
2022/03/09,343
2022/03/10,442
2022/03/11,429
2022/03/12,505
2022/03/13,401
2022/03/14,169
2022/03/15,722
2022/03/16,569
2022/03/17,505
2022/03/18,625
2022/03/19,602
2022/03/20,425
2022/03/21,206
2022/03/22,709
2022/03/23,525
2022/03/24,475
2022/03/25,498
2022/03/26,408
2022/03/27,293
2022/03/28,183
2022/03/29,509
2022/03/30,386
2022/03/31,457
2022/04/01,393
2022/04/02,359
2022/04/03,303
2022/04/04,139
2022/04/05,472
2022/04/06,343
2022/04/07,347
2022/04/08,394
2022/04/09,363
2022/04/10,333
2022/04/11,149
2022/04/12,464
2022/04/13,361
2022/04/14,310
2022/04/15,330
2022/04/16,325
2022/04/17,303
2022/04/18,74
2022/04/19,100
2022/04/20,546
2022/04/21,358
