Datas,Taranto
2022/01/25,1726
2022/01/26,1148
2022/01/27,1005
2022/01/28,991
2022/01/29,1473
2022/01/30,300
2022/01/31,265
2022/02/01,1146
2022/02/02,803
2022/02/03,937
2022/02/04,708
2022/02/05,788
2022/02/06,652
2022/02/07,209
2022/02/08,1199
2022/02/09,587
2022/02/10,717
2022/02/11,578
2022/02/12,669
2022/02/13,514
2022/02/14,172
2022/02/15,858
2022/02/16,566
2022/02/17,538
2022/02/18,553
2022/02/19,525
2022/02/20,456
2022/02/21,126
2022/02/22,699
2022/02/23,475
2022/02/24,443
2022/02/25,447
2022/02/26,411
2022/02/27,327
2022/02/28,141
2022/03/01,623
2022/03/02,407
2022/03/03,419
2022/03/04,463
2022/03/05,424
2022/03/06,355
2022/03/07,122
2022/03/08,733
2022/03/09,444
2022/03/10,500
2022/03/11,545
2022/03/12,628
2022/03/13,470
2022/03/14,308
2022/03/15,1030
2022/03/16,766
2022/03/17,831
2022/03/18,926
2022/03/19,779
2022/03/20,678
2022/03/21,252
2022/03/22,1403
2022/03/23,871
2022/03/24,955
2022/03/25,877
2022/03/26,890
2022/03/27,771
2022/03/28,255
2022/03/29,1431
2022/03/30,1071
2022/03/31,838
2022/04/01,849
2022/04/02,885
2022/04/03,653
2022/04/04,285
2022/04/05,1162
2022/04/06,876
2022/04/07,744
2022/04/08,770
2022/04/09,764
2022/04/10,597
2022/04/11,179
2022/04/12,1127
2022/04/13,585
2022/04/14,681
2022/04/15,634
2022/04/16,752
2022/04/17,525
2022/04/18,148
2022/04/19,233
2022/04/20,1356
2022/04/21,907
2022/04/22,861
2022/04/23,969
2022/04/24,785
2022/04/25,251
2022/04/26,372
2022/04/27,1336
2022/04/28,696
2022/04/29,609
2022/04/30,591
2022/05/01,449
2022/05/02,234
2022/05/03,772
2022/05/04,487
2022/05/05,695
2022/05/06,540
2022/05/07,482
2022/05/08,314
2022/05/09,147
2022/05/10,691
2022/05/11,352
2022/05/12,469
2022/05/13,423
2022/05/14,345
2022/05/15,289
2022/05/16,71
2022/05/17,501
2022/05/18,244
2022/05/19,293
2022/05/20,258
2022/05/21,229
2022/05/22,164
2022/05/23,69
2022/05/24,394
2022/05/25,263
2022/05/26,228
2022/05/27,242
2022/05/28,164
2022/05/29,138
2022/05/30,67
2022/05/31,237
2022/06/01,182
2022/06/02,193
2022/06/03,36
2022/06/04,251
2022/06/05,113
2022/06/06,55
2022/06/07,204
2022/06/08,141
2022/06/09,150
2022/06/10,144
2022/06/11,170
2022/06/12,141
2022/06/13,65
2022/06/14,314
2022/06/15,206
2022/06/16,204
2022/06/17,208
2022/06/18,231
2022/06/19,234
2022/06/20,130
2022/06/21,460
2022/06/22,350
2022/06/23,450
2022/06/24,360
2022/06/25,494
2022/06/26,382
2022/06/27,180
2022/06/28,926
2022/06/29,792
2022/06/30,775
2022/07/01,793
2022/07/02,897
2022/07/03,715
2022/07/04,377
2022/07/05,1581
2022/07/06,1164
2022/07/07,1267
2022/07/08,1227
2022/07/09,1278
2022/07/10,914
2022/07/11,326
2022/07/12,2017
2022/07/13,1282
2022/07/14,1288
2022/07/15,1313
2022/07/16,1100
2022/07/17,798
2022/07/18,247
2022/07/19,1584
2022/07/20,976
2022/07/21,920
2022/07/22,900
2022/07/23,921
2022/07/24,600
2022/07/25,161
2022/07/26,1193
2022/07/27,733
2022/07/28,725
2022/07/29,650
2022/07/30,664
2022/07/31,466
2022/08/01,168
2022/08/02,820
2022/08/03,483
2022/08/04,455
2022/08/05,420
2022/08/06,346
2022/08/07,296
2022/08/08,104
2022/08/09,513
2022/08/10,303
2022/08/11,334
2022/08/12,303
2022/08/13,276
2022/08/14,186
2022/08/15,74
2022/08/16,60
2022/08/17,385
2022/08/18,281
2022/08/19,228
2022/08/20,215
2022/08/21,178
2022/08/22,86
2022/08/23,293
2022/08/24,190
2022/08/25,136
2022/08/26,147
2022/08/27,156
2022/08/28,129
2022/08/29,34
2022/08/30,255
2022/08/31,135
2022/09/01,144
2022/09/02,124
2022/09/03,136
2022/09/04,73
2022/09/05,35
2022/09/06,195
2022/09/07,99
2022/09/08,103
2022/09/09,117
2022/09/10,102
2022/09/11,60
2022/09/12,31
2022/09/13,146
2022/09/14,80
2022/09/15,92
2022/09/16,90
2022/09/17,106
