Datas,Reggio nell'Emilia
2021/11/19,42
2021/11/20,73
2021/11/21,77
2021/11/22,45
2021/11/23,51
2021/11/24,81
2021/11/25,114
2021/11/26,50
2021/11/27,102
2021/11/28,63
2021/11/29,119
2021/11/30,36
2021/12/01,104
2021/12/02,134
2021/12/03,126
2021/12/04,133
2021/12/05,150
2021/12/06,78
2021/12/07,74
2021/12/08,120
2021/12/09,151
2021/12/10,236
2021/12/11,287
2021/12/12,245
2021/12/13,259
2021/12/14,212
2021/12/15,364
2021/12/16,277
2021/12/17,356
2021/12/18,399
2021/12/19,416
2021/12/20,249
2021/12/21,258
2021/12/22,338
2021/12/23,405
2021/12/24,352
2021/12/25,510
2021/12/26,471
2021/12/27,332
2021/12/28,381
2021/12/29,523
2021/12/30,749
2021/12/31,994
2022/01/01,1181
2022/01/02,838
2022/01/03,500
2022/01/04,618
2022/01/05,847
2022/01/06,6051
2022/01/07,1714
2022/01/08,997
2022/01/09,1978
2022/01/10,1896
2022/01/11,931
2022/01/12,2318
2022/01/13,1974
2022/01/14,1560
2022/01/15,1842
2022/01/16,1665
2022/01/17,57
2022/01/18,2450
2022/01/19,2536
2022/01/20,2226
2022/01/21,2613
2022/01/22,2226
2022/01/23,2208
2022/01/24,1623
2022/01/25,880
2022/01/26,2375
2022/01/27,1867
2022/01/28,1970
2022/01/29,1687
2022/01/30,1588
2022/01/31,1232
2022/02/01,524
2022/02/02,1446
2022/02/03,984
2022/02/04,1167
2022/02/05,897
2022/02/06,1079
2022/02/07,705
2022/02/08,288
2022/02/09,991
2022/02/10,801
2022/02/11,572
2022/02/12,559
2022/02/13,457
2022/02/14,403
2022/02/15,134
2022/02/16,391
2022/02/17,469
2022/02/18,364
2022/02/19,358
2022/02/20,336
2022/02/21,256
2022/02/22,148
2022/02/23,375
2022/02/24,327
2022/02/25,353
2022/02/26,277
2022/02/27,249
2022/02/28,181
2022/03/01,93
2022/03/02,287
2022/03/03,312
2022/03/04,222
2022/03/05,240
2022/03/06,258
2022/03/07,225
2022/03/08,110
2022/03/09,293
2022/03/10,282
2022/03/11,280
2022/03/12,319
2022/03/13,278
2022/03/14,250
2022/03/15,146
2022/03/16,428
2022/03/17,421
2022/03/18,527
2022/03/19,455
2022/03/20,453
2022/03/21,279
2022/03/22,326
2022/03/23,480
2022/03/24,521
2022/03/25,508
2022/03/26,503
2022/03/27,555
2022/03/28,355
2022/03/29,290
2022/03/30,641
2022/03/31,499
2022/04/01,708
2022/04/02,645
2022/04/03,674
2022/04/04,495
2022/04/05,387
2022/04/06,839
2022/04/07,686
2022/04/08,677
2022/04/09,734
2022/04/10,691
2022/04/11,320
2022/04/12,392
2022/04/13,716
2022/04/14,672
2022/04/15,660
2022/04/16,699
2022/04/17,551
2022/04/18,538
2022/04/19,167
2022/04/20,282
2022/04/21,1010
2022/04/22,720
2022/04/23,754
2022/04/24,743
2022/04/25,582
2022/04/26,347
2022/04/27,216
2022/04/28,806
2022/04/29,728
2022/04/30,707
2022/05/01,595
2022/05/02,367
2022/05/03,206
2022/05/04,655
2022/05/05,454
2022/05/06,439
2022/05/07,508
2022/05/08,374
2022/05/09,334
2022/05/10,73
2022/05/11,440
2022/05/12,389
2022/05/13,553
2022/05/14,382
2022/05/15,350
2022/05/16,224
2022/05/17,100
2022/05/18,374
2022/05/19,269
2022/05/20,250
2022/05/21,222
2022/05/22,170
2022/05/23,135
2022/05/24,48
2022/05/25,215
2022/05/26,189
2022/05/27,167
2022/05/28,138
2022/05/29,107
2022/05/30,98
2022/05/31,66
2022/06/01,148
2022/06/02,36
2022/06/03,198
2022/06/04,60
2022/06/05,178
2022/06/06,83
2022/06/07,51
2022/06/08,180
2022/06/09,230
2022/06/10,159
2022/06/11,223
2022/06/12,183
2022/06/13,100
2022/06/14,81
2022/06/15,379
2022/06/16,264
2022/06/17,411
2022/06/18,339
2022/06/19,259
2022/06/20,234
2022/06/21,135
2022/06/22,502
2022/06/23,460
2022/06/24,527
2022/06/25,512
