Datas,Forlì-Cesena
2021/09/08,41
2021/09/09,30
2021/09/10,65
2021/09/11,35
2021/09/12,46
2021/09/13,30
2021/09/14,27
2021/09/15,30
2021/09/16,31
2021/09/17,46
2021/09/18,43
2021/09/19,14
2021/09/20,38
2021/09/21,32
2021/09/22,27
2021/09/23,50
2021/09/24,30
2021/09/25,41
2021/09/26,34
2021/09/27,30
2021/09/28,25
2021/09/29,47
2021/09/30,29
2021/10/01,36
2021/10/02,31
2021/10/03,33
2021/10/04,24
2021/10/05,-1
2021/10/06,30
2021/10/07,26
2021/10/08,21
2021/10/09,12
2021/10/10,16
2021/10/11,3
2021/10/12,18
2021/10/13,22
2021/10/14,15
2021/10/15,22
2021/10/16,23
2021/10/17,35
2021/10/18,28
2021/10/19,12
2021/10/20,41
2021/10/21,35
2021/10/22,46
2021/10/23,80
2021/10/24,37
2021/10/25,42
2021/10/26,31
2021/10/27,58
2021/10/28,58
2021/10/29,73
2021/10/30,62
2021/10/31,45
2021/11/01,45
2021/11/02,38
2021/11/03,30
2021/11/04,64
2021/11/05,97
2021/11/06,97
2021/11/07,98
2021/11/08,75
2021/11/09,88
2021/11/10,119
2021/11/11,121
2021/11/12,149
2021/11/13,134
2021/11/14,140
2021/11/15,119
2021/11/16,83
2021/11/17,164
2021/11/18,168
2021/11/19,183
2021/11/20,227
2021/11/21,182
2021/11/22,155
2021/11/23,150
2021/11/24,198
2021/11/25,265
2021/11/26,193
2021/11/27,165
2021/11/28,157
2021/11/29,157
2021/11/30,135
2021/12/01,162
2021/12/02,206
2021/12/03,196
2021/12/04,225
2021/12/05,242
2021/12/06,214
2021/12/07,162
2021/12/08,198
2021/12/09,153
2021/12/10,167
2021/12/11,197
2021/12/12,236
2021/12/13,176
2021/12/14,176
2021/12/15,293
2021/12/16,238
2021/12/17,233
2021/12/18,263
2021/12/19,280
2021/12/20,223
2021/12/21,147
2021/12/22,264
2021/12/23,259
2021/12/24,385
2021/12/25,332
2021/12/26,265
2021/12/27,299
2021/12/28,288
2021/12/29,577
2021/12/30,885
2021/12/31,1327
2022/01/01,1581
2022/01/02,1169
2022/01/03,546
2022/01/04,907
2022/01/05,1789
2022/01/06,2419
2022/01/07,1939
2022/01/08,1751
2022/01/09,2319
2022/01/10,2019
2022/01/11,1451
2022/01/12,2108
2022/01/13,1929
2022/01/14,2222
2022/01/15,1986
2022/01/16,1977
2022/01/17,1571
2022/01/18,1238
2022/01/19,2453
2022/01/20,2081
2022/01/21,2249
2022/01/22,2001
2022/01/23,1969
2022/01/24,1349
2022/01/25,1500
2022/01/26,2100
2022/01/27,1439
2022/01/28,1681
2022/01/29,1756
2022/01/30,1362
2022/01/31,1048
2022/02/01,593
2022/02/02,1460
2022/02/03,1230
2022/02/04,920
2022/02/05,746
2022/02/06,646
2022/02/07,627
2022/02/08,459
2022/02/09,657
2022/02/10,510
2022/02/11,487
2022/02/12,388
2022/02/13,402
2022/02/14,246
2022/02/15,322
2022/02/16,353
2022/02/17,292
2022/02/18,359
2022/02/19,251
2022/02/20,315
2022/02/21,158
2022/02/22,240
2022/02/23,277
2022/02/24,253
2022/02/25,241
2022/02/26,178
2022/02/27,162
2022/02/28,126
2022/03/01,138
2022/03/02,255
2022/03/03,206
2022/03/04,235
2022/03/05,215
2022/03/06,230
2022/03/07,151
2022/03/08,174
2022/03/09,239
2022/03/10,248
2022/03/11,303
2022/03/12,260
2022/03/13,311
2022/03/14,223
2022/03/15,254
2022/03/16,337
2022/03/17,342
2022/03/18,368
2022/03/19,353
2022/03/20,433
2022/03/21,192
2022/03/22,329
2022/03/23,426
2022/03/24,341
2022/03/25,500
2022/03/26,399
2022/03/27,394
2022/03/28,282
2022/03/29,203
2022/03/30,481
2022/03/31,420
2022/04/01,453
2022/04/02,366
2022/04/03,423
2022/04/04,237
2022/04/05,234
2022/04/06,425
2022/04/07,398
2022/04/08,449
2022/04/09,378
2022/04/10,451
2022/04/11,222
2022/04/12,284
2022/04/13,453
2022/04/14,456
2022/04/15,403
2022/04/16,404
2022/04/17,463
2022/04/18,214
2022/04/19,192
2022/04/20,334
2022/04/21,425
2022/04/22,525
2022/04/23,387
2022/04/24,450
2022/04/25,258
2022/04/26,177
2022/04/27,328
2022/04/28,456
2022/04/29,378
2022/04/30,441
2022/05/01,330
2022/05/02,184
2022/05/03,199
2022/05/04,283
2022/05/05,337
2022/05/06,325
2022/05/07,287
2022/05/08,313
2022/05/09,177
2022/05/10,216
2022/05/11,278
2022/05/12,330
2022/05/13,270
2022/05/14,235
2022/05/15,241
2022/05/16,145
2022/05/17,147
2022/05/18,227
2022/05/19,236
2022/05/20,171
2022/05/21,156
2022/05/22,182
2022/05/23,99
2022/05/24,97
2022/05/25,161
2022/05/26,131
2022/05/27,137
2022/05/28,115
2022/05/29,137
2022/05/30,92
2022/05/31,82
2022/06/01,148
2022/06/02,-3
2022/06/03,199
2022/06/04,74
2022/06/05,132
2022/06/06,101
2022/06/07,102
2022/06/08,164
2022/06/09,175
2022/06/10,186
2022/06/11,176
2022/06/12,198
2022/06/13,111
2022/06/14,194
2022/06/15,331
2022/06/16,321
2022/06/17,383
2022/06/18,358
2022/06/19,339
2022/06/20,193
2022/06/21,315
2022/06/22,506
2022/06/23,527
2022/06/24,517
2022/06/25,522
2022/06/26,468
2022/06/27,353
2022/06/28,507
2022/06/29,721
2022/06/30,760
2022/07/01,703
2022/07/02,693
2022/07/03,674
2022/07/04,422
2022/07/05,580
2022/07/06,908
2022/07/07,875
2022/07/08,827
2022/07/09,813
2022/07/10,690
2022/07/11,463
2022/07/12,684
2022/07/13,909
2022/07/14,933
2022/07/15,774
2022/07/16,710
2022/07/17,667
2022/07/18,438
2022/07/19,570
2022/07/20,751
2022/07/21,635
2022/07/22,548
2022/07/23,560
2022/07/24,526
2022/07/25,301
2022/07/26,412
2022/07/27,531
2022/07/28,477
2022/07/29,459
2022/07/30,413
2022/07/31,378
2022/08/01,218
2022/08/02,336
2022/08/03,377
2022/08/04,404
2022/08/05,341
2022/08/06,286
2022/08/07,274
2022/08/08,146
2022/08/09,8
2022/08/10,453
2022/08/11,270
2022/08/12,192
2022/08/13,226
2022/08/14,143
2022/08/15,98
2022/08/16,97
2022/08/17,140
2022/08/18,193
2022/08/19,189
2022/08/20,166
2022/08/21,146
2022/08/22,110
2022/08/23,165
2022/08/24,160
2022/08/25,150
2022/08/26,141
2022/08/27,178
2022/08/28,140
2022/08/29,97
2022/08/30,138
2022/08/31,177
2022/09/01,174
2022/09/02,173
2022/09/03,147
2022/09/04,152
2022/09/05,111
2022/09/06,144
2022/09/07,164
2022/09/08,185
2022/09/09,171
2022/09/10,120
2022/09/11,101
2022/09/12,79
2022/09/13,0
2022/09/14,244
2022/09/15,135
2022/09/16,140
2022/09/17,127
2022/09/18,109
2022/09/19,75
2022/09/20,120
2022/09/21,174
2022/09/22,188
2022/09/23,164
2022/09/24,192
2022/09/25,178
2022/09/26,144
2022/09/27,251
2022/09/28,347
2022/09/29,422
2022/09/30,321
2022/10/01,316
2022/10/02,311
2022/10/03,216
