Datas,Prato
2021/06/13,7
2021/06/14,8
2021/06/15,8
2021/06/16,4
2021/06/17,10
2021/06/18,8
2021/06/19,4
2021/06/20,3
2021/06/21,4
2021/06/22,0
2021/06/23,2
2021/06/24,5
2021/06/25,10
2021/06/26,8
2021/06/27,5
2021/06/28,0
2021/06/29,1
2021/06/30,1
2021/07/01,3
2021/07/02,10
2021/07/03,8
2021/07/04,2
2021/07/05,0
2021/07/06,7
2021/07/07,3
2021/07/08,16
2021/07/09,6
2021/07/10,1
2021/07/11,21
2021/07/12,7
2021/07/13,5
2021/07/14,9
2021/07/15,15
2021/07/16,15
2021/07/17,15
2021/07/18,30
2021/07/19,25
2021/07/20,16
2021/07/21,11
2021/07/22,44
2021/07/23,37
2021/07/24,38
2021/07/25,29
2021/07/26,12
2021/07/27,15
2021/07/28,40
2021/07/29,63
2021/07/30,55
2021/07/31,71
2021/08/01,44
2021/08/02,45
2021/08/03,29
2021/08/04,45
2021/08/05,60
2021/08/06,67
2021/08/07,41
2021/08/08,24
2021/08/09,41
2021/08/10,30
2021/08/11,45
2021/08/12,58
2021/08/13,46
2021/08/14,46
2021/08/15,58
2021/08/16,38
2021/08/17,42
2021/08/18,76
2021/08/19,77
2021/08/20,52
2021/08/21,64
2021/08/22,28
2021/08/23,36
2021/08/24,85
2021/08/25,79
2021/08/26,63
2021/08/27,74
2021/08/28,45
2021/08/29,45
2021/08/30,39
2021/08/31,39
2021/09/01,55
2021/09/02,90
2021/09/03,57
2021/09/04,71
2021/09/05,62
2021/09/06,31
2021/09/07,56
2021/09/08,44
2021/09/09,61
2021/09/10,55
2021/09/11,69
2021/09/12,50
2021/09/13,39
2021/09/14,49
2021/09/15,53
2021/09/16,63
2021/09/17,73
2021/09/18,37
2021/09/19,26
2021/09/20,39
2021/09/21,30
2021/09/22,42
2021/09/23,28
2021/09/24,29
2021/09/25,40
2021/09/26,33
2021/09/27,20
2021/09/28,32
2021/09/29,27
2021/09/30,35
2021/10/01,17
2021/10/02,36
2021/10/03,21
2021/10/04,5
2021/10/05,12
2021/10/06,25
2021/10/07,16
2021/10/08,24
2021/10/09,26
2021/10/10,9
2021/10/11,10
2021/10/12,13
2021/10/13,14
2021/10/14,15
2021/10/15,23
2021/10/16,12
2021/10/17,8
2021/10/18,22
2021/10/19,9
2021/10/20,12
2021/10/21,18
2021/10/22,14
2021/10/23,17
2021/10/24,14
2021/10/25,5
2021/10/26,11
2021/10/27,17
2021/10/28,24
2021/10/29,17
2021/10/30,12
2021/10/31,16
2021/11/01,7
2021/11/02,30
2021/11/03,32
2021/11/04,36
2021/11/05,51
2021/11/06,33
2021/11/07,10
2021/11/08,18
2021/11/09,23
2021/11/10,15
2021/11/11,16
2021/11/12,35
2021/11/13,16
2021/11/14,36
2021/11/15,20
2021/11/16,12
2021/11/17,18
2021/11/18,21
2021/11/19,38
2021/11/20,23
2021/11/21,22
2021/11/22,17
2021/11/23,24
2021/11/24,15
2021/11/25,36
2021/11/26,32
2021/11/27,18
2021/11/28,15
2021/11/29,9
2021/11/30,73
2021/12/01,33
2021/12/02,37
2021/12/03,60
2021/12/04,33
2021/12/05,19
2021/12/06,27
2021/12/07,28
2021/12/08,30
2021/12/09,17
2021/12/10,45
2021/12/11,50
2021/12/12,19
2021/12/13,18
2021/12/14,21
2021/12/15,30
2021/12/16,59
2021/12/17,76
2021/12/18,44
2021/12/19,44
2021/12/20,46
2021/12/21,117
2021/12/22,114
2021/12/23,215
2021/12/24,234
2021/12/25,217
2021/12/26,141
2021/12/27,237
2021/12/28,185
2021/12/29,565
2021/12/30,1268
2021/12/31,1348
2022/01/01,1094
2022/01/02,371
2022/01/03,350
2022/01/04,1438
2022/01/05,1280
2022/01/06,1293
2022/01/07,474
2022/01/08,1240
2022/01/09,884
2022/01/10,373
2022/01/11,1203
2022/01/12,856
2022/01/13,848
2022/01/14,838
2022/01/15,764
2022/01/16,614
2022/01/17,499
2022/01/18,956
2022/01/19,865
2022/01/20,949
2022/01/21,793
2022/01/22,827
2022/01/23,692
2022/01/24,412
2022/01/25,936
2022/01/26,813
2022/01/27,846
2022/01/28,666
2022/01/29,775
2022/01/30,634
2022/01/31,308
2022/02/01,667
2022/02/02,545
2022/02/03,568
2022/02/04,463
2022/02/05,479
2022/02/06,369
2022/02/07,143
2022/02/08,439
2022/02/09,344
2022/02/10,357
2022/02/11,315
2022/02/12,266
2022/02/13,215
2022/02/14,95
2022/02/15,228
2022/02/16,212
2022/02/17,199
2022/02/18,192
2022/02/19,161
2022/02/20,131
2022/02/21,64
2022/02/22,175
2022/02/23,118
2022/02/24,134
2022/02/25,115
2022/02/26,91
2022/02/27,87
2022/02/28,41
2022/03/01,100
2022/03/02,81
2022/03/03,102
2022/03/04,86
2022/03/05,100
2022/03/06,89
2022/03/07,47
2022/03/08,127
2022/03/09,82
2022/03/10,149
2022/03/11,115
2022/03/12,127
2022/03/13,122
2022/03/14,72
2022/03/15,239
2022/03/16,208
2022/03/17,213
2022/03/18,204
2022/03/19,208
2022/03/20,200
2022/03/21,79
2022/03/22,244
2022/03/23,182
2022/03/24,229
2022/03/25,242
2022/03/26,228
2022/03/27,187
2022/03/28,74
2022/03/29,330
2022/03/30,183
2022/03/31,241
2022/04/01,219
2022/04/02,233
2022/04/03,195
2022/04/04,76
2022/04/05,332
2022/04/06,198
2022/04/07,270
2022/04/08,201
2022/04/09,250
2022/04/10,170
2022/04/11,77
2022/04/12,266
2022/04/13,210
2022/04/14,218
2022/04/15,196
2022/04/16,197
2022/04/17,184
2022/04/18,34
2022/04/19,65
2022/04/20,365
2022/04/21,260
2022/04/22,223
2022/04/23,240
2022/04/24,173
2022/04/25,72
2022/04/26,68
2022/04/27,315
2022/04/28,232
2022/04/29,202
2022/04/30,156
2022/05/01,127
2022/05/02,42
2022/05/03,227
2022/05/04,122
2022/05/05,180
2022/05/06,145
2022/05/07,167
2022/05/08,141
2022/05/09,36
2022/05/10,240
2022/05/11,155
2022/05/12,154
2022/05/13,96
2022/05/14,128
2022/05/15,118
2022/05/16,32
2022/05/17,181
2022/05/18,78
2022/05/19,107
2022/05/20,84
2022/05/21,77
2022/05/22,55
2022/05/23,36
2022/05/24,117
2022/05/25,73
2022/05/26,71
2022/05/27,58
2022/05/28,60
2022/05/29,43
2022/05/30,17
2022/05/31,90
2022/06/01,56
2022/06/02,74
2022/06/03,14
2022/06/04,65
2022/06/05,34
2022/06/06,18
2022/06/07,86
2022/06/08,60
2022/06/09,66
2022/06/10,67
2022/06/11,50
2022/06/12,40
2022/06/13,21
2022/06/14,117
2022/06/15,91
2022/06/16,93
2022/06/17,111
