Datas,Sud Sardegna
2021/07/24,66
2021/07/25,34
2021/07/26,26
2021/07/27,78
2021/07/28,79
2021/07/29,95
2021/07/30,55
2021/07/31,102
2021/08/01,34
2021/08/02,27
2021/08/03,61
2021/08/04,80
2021/08/05,122
2021/08/06,61
2021/08/07,62
2021/08/08,63
2021/08/09,23
2021/08/10,57
2021/08/11,74
2021/08/12,99
2021/08/13,117
2021/08/14,117
2021/08/15,67
2021/08/16,69
2021/08/17,36
2021/08/18,71
2021/08/19,144
2021/08/20,122
2021/08/21,80
2021/08/22,62
2021/08/23,55
2021/08/24,40
2021/08/25,123
2021/08/26,110
2021/08/27,95
2021/08/28,58
2021/08/29,63
2021/08/30,28
2021/08/31,61
2021/09/01,104
2021/09/02,84
2021/09/03,65
2021/09/04,44
2021/09/05,46
2021/09/06,16
2021/09/07,19
2021/09/08,67
2021/09/09,34
2021/09/10,36
2021/09/11,26
2021/09/12,8
2021/09/13,11
2021/09/14,28
2021/09/15,39
2021/09/16,12
2021/09/17,22
2021/09/18,14
2021/09/19,15
2021/09/20,1
2021/09/21,11
2021/09/22,15
2021/09/23,7
2021/09/24,8
2021/09/25,7
2021/09/26,5
2021/09/27,5
2021/09/28,21
2021/09/29,21
2021/09/30,5
2021/10/01,19
2021/10/02,11
2021/10/03,1
2021/10/04,9
2021/10/05,2
2021/10/06,19
2021/10/07,2
2021/10/08,6
2021/10/09,4
2021/10/10,6
2021/10/11,3
2021/10/12,5
2021/10/13,7
2021/10/14,5
2021/10/15,2
2021/10/16,4
2021/10/17,2
2021/10/18,0
2021/10/19,0
2021/10/20,3
2021/10/21,2
2021/10/22,1
2021/10/23,4
2021/10/24,1
2021/10/25,0
2021/10/26,1
2021/10/27,4
2021/10/28,1
2021/10/29,4
2021/10/30,2
2021/10/31,1
2021/11/01,4
2021/11/02,0
2021/11/03,2
2021/11/04,1
2021/11/05,11
2021/11/06,5
2021/11/07,0
2021/11/08,1
2021/11/09,10
2021/11/10,15
2021/11/11,8
2021/11/12,11
2021/11/13,22
2021/11/14,11
2021/11/15,1
2021/11/16,31
2021/11/17,31
2021/11/18,18
2021/11/19,25
2021/11/20,22
2021/11/21,5
2021/11/22,10
2021/11/23,17
2021/11/24,40
2021/11/25,16
2021/11/26,11
2021/11/27,18
2021/11/28,30
2021/11/29,9
2021/11/30,24
2021/12/01,10
2021/12/02,40
2021/12/03,20
2021/12/04,123
2021/12/05,11
2021/12/06,17
2021/12/07,27
2021/12/08,31
2021/12/09,86
2021/12/10,34
2021/12/11,42
2021/12/12,24
2021/12/13,15
2021/12/14,27
2021/12/15,26
2021/12/16,66
2021/12/17,74
2021/12/18,49
2021/12/19,22
2021/12/20,51
2021/12/21,27
2021/12/22,47
2021/12/23,58
2021/12/24,66
2021/12/25,76
2021/12/26,79
2021/12/27,34
2021/12/28,87
2021/12/29,109
2021/12/30,116
2021/12/31,176
2022/01/01,190
2022/01/02,119
2022/01/03,141
2022/01/04,76
2022/01/05,168
2022/01/06,211
2022/01/07,180
2022/01/08,173
2022/01/09,60
2022/01/10,280
2022/01/11,86
2022/01/12,211
2022/01/13,230
2022/01/14,452
2022/01/15,330
2022/01/16,207
2022/01/17,399
2022/01/18,130
2022/01/19,253
2022/01/20,255
2022/01/21,200
2022/01/22,176
2022/01/23,76
2022/01/24,167
2022/01/25,56
2022/01/26,228
2022/01/27,172
2022/01/28,279
2022/01/29,234
2022/01/30,44
2022/01/31,78
2022/02/01,93
2022/02/02,314
2022/02/03,424
2022/02/04,287
2022/02/05,872
2022/02/06,610
2022/02/07,473
2022/02/08,816
2022/02/09,874
2022/02/10,626
2022/02/11,596
2022/02/12,574
2022/02/13,229
2022/02/14,310
2022/02/15,569
2022/02/16,430
2022/02/17,446
2022/02/18,429
2022/02/19,383
2022/02/20,200
2022/02/21,197
2022/02/22,423
2022/02/23,371
2022/02/24,349
2022/02/25,254
2022/02/26,275
2022/02/27,153
2022/02/28,55
2022/03/01,337
2022/03/02,256
2022/03/03,290
