Datas,Vercelli
2022/07/28,163
2022/07/29,119
2022/07/30,99
2022/07/31,66
2022/08/01,51
2022/08/02,137
2022/08/03,97
2022/08/04,122
2022/08/05,96
2022/08/06,100
2022/08/07,53
2022/08/08,11
2022/08/09,126
2022/08/10,71
2022/08/11,43
2022/08/12,81
2022/08/13,63
2022/08/14,52
2022/08/15,9
2022/08/16,16
2022/08/17,83
2022/08/18,51
2022/08/19,47
2022/08/20,56
2022/08/21,28
2022/08/22,10
2022/08/23,98
2022/08/24,50
2022/08/25,57
2022/08/26,34
2022/08/27,50
2022/08/28,30
2022/08/29,13
2022/08/30,57
2022/08/31,28
2022/09/01,42
2022/09/02,46
2022/09/03,33
2022/09/04,31
2022/09/05,4
2022/09/06,73
2022/09/07,30
2022/09/08,52
2022/09/09,38
2022/09/10,29
2022/09/11,31
2022/09/12,13
2022/09/13,92
2022/09/14,38
2022/09/15,60
2022/09/16,52
2022/09/17,62
2022/09/18,44
2022/09/19,21
2022/09/20,96
2022/09/21,59
2022/09/22,101
2022/09/23,54
2022/09/24,71
2022/09/25,66
2022/09/26,18
2022/09/27,165
2022/09/28,104
2022/09/29,120
2022/09/30,118
2022/10/01,127
2022/10/02,88
2022/10/03,33
