Datas,Cagliari
2022/02/12,653
2022/02/13,464
2022/02/14,225
2022/02/15,718
2022/02/16,528
2022/02/17,500
2022/02/18,447
2022/02/19,343
2022/02/20,296
2022/02/21,137
2022/02/22,492
2022/02/23,418
2022/02/24,395
2022/02/25,283
2022/02/26,279
2022/02/27,258
2022/02/28,92
2022/03/01,362
2022/03/02,308
2022/03/03,351
2022/03/04,309
2022/03/05,310
2022/03/06,259
2022/03/07,109
2022/03/08,546
2022/03/09,368
2022/03/10,430
2022/03/11,443
2022/03/12,446
2022/03/13,403
2022/03/14,225
2022/03/15,785
2022/03/16,574
2022/03/17,578
2022/03/18,558
2022/03/19,459
2022/03/20,380
2022/03/21,198
2022/03/22,768
2022/03/23,604
2022/03/24,536
2022/03/25,513
2022/03/26,535
2022/03/27,442
2022/03/28,237
2022/03/29,804
2022/03/30,560
2022/03/31,501
2022/04/01,548
2022/04/02,478
2022/04/03,383
2022/04/04,151
2022/04/05,793
2022/04/06,577
2022/04/07,584
2022/04/08,524
2022/04/09,467
2022/04/10,443
2022/04/11,200
2022/04/12,752
2022/04/13,493
2022/04/14,504
2022/04/15,526
2022/04/16,459
2022/04/17,445
2022/04/18,130
2022/04/19,138
2022/04/20,988
2022/04/21,631
2022/04/22,629
2022/04/23,601
2022/04/24,464
2022/04/25,220
2022/04/26,208
2022/04/27,880
2022/04/28,555
2022/04/29,465
2022/04/30,415
2022/05/01,404
2022/05/02,160
2022/05/03,557
2022/05/04,460
2022/05/05,421
2022/05/06,374
2022/05/07,345
2022/05/08,298
2022/05/09,134
2022/05/10,582
2022/05/11,382
2022/05/12,448
2022/05/13,422
2022/05/14,349
2022/05/15,278
2022/05/16,153
2022/05/17,499
2022/05/18,350
2022/05/19,390
2022/05/20,359
2022/05/21,318
2022/05/22,260
2022/05/23,134
2022/05/24,474
2022/05/25,282
2022/05/26,271
2022/05/27,275
2022/05/28,239
2022/05/29,177
2022/05/30,99
2022/05/31,328
2022/06/01,263
2022/06/02,232
2022/06/03,104
2022/06/04,298
2022/06/05,180
2022/06/06,124
2022/06/07,377
2022/06/08,289
2022/06/09,284
2022/06/10,300
2022/06/11,312
2022/06/12,233
2022/06/13,146
2022/06/14,677
2022/06/15,566
2022/06/16,550
2022/06/17,558
2022/06/18,551
2022/06/19,478
2022/06/20,174
2022/06/21,1060
2022/06/22,820
2022/06/23,772
2022/06/24,644
2022/06/25,654
2022/06/26,540
2022/06/27,248
2022/06/28,1141
2022/06/29,807
2022/06/30,837
2022/07/01,820
2022/07/02,984
2022/07/03,763
2022/07/04,252
2022/07/05,892
2022/07/06,687
2022/07/07,810
2022/07/08,766
2022/07/09,1049
2022/07/10,866
2022/07/11,70
2022/07/12,1209
2022/07/13,746
2022/07/14,755
2022/07/15,732
2022/07/16,808
2022/07/17,650
2022/07/18,88
2022/07/19,837
2022/07/20,584
2022/07/21,501
2022/07/22,520
2022/07/23,618
2022/07/24,506
2022/07/25,100
2022/07/26,638
2022/07/27,441
2022/07/28,417
2022/07/29,347
2022/07/30,505
2022/07/31,344
2022/08/01,70
2022/08/02,468
2022/08/03,345
2022/08/04,288
2022/08/05,245
2022/08/06,214
2022/08/07,180
2022/08/08,72
2022/08/09,306
2022/08/10,222
2022/08/11,162
2022/08/12,164
2022/08/13,197
2022/08/14,141
2022/08/15,84
2022/08/16,50
2022/08/17,296
2022/08/18,169
2022/08/19,201
2022/08/20,254
2022/08/21,204
2022/08/22,60
2022/08/23,249
2022/08/24,158
2022/08/25,133
2022/08/26,119
2022/08/27,158
2022/08/28,130
2022/08/29,35
2022/08/30,172
2022/08/31,108
2022/09/01,115
2022/09/02,82
2022/09/03,111
2022/09/04,89
2022/09/05,20
2022/09/06,153
2022/09/07,84
2022/09/08,79
2022/09/09,76
2022/09/10,80
2022/09/11,58
2022/09/12,30
2022/09/13,131
2022/09/14,85
2022/09/15,79
2022/09/16,102
2022/09/17,99
2022/09/18,120
2022/09/19,30
2022/09/20,147
2022/09/21,117
2022/09/22,126
2022/09/23,147
2022/09/24,111
2022/09/25,130
2022/09/26,40
2022/09/27,217
2022/09/28,131
2022/09/29,164
2022/09/30,141
2022/10/01,116
2022/10/02,111
2022/10/03,47
