Datas,Bari
2021/09/02,56
2021/09/03,52
2021/09/04,70
2021/09/05,37
2021/09/06,10
2021/09/07,20
2021/09/08,94
2021/09/09,33
2021/09/10,40
2021/09/11,46
2021/09/12,51
2021/09/13,2
2021/09/14,44
2021/09/15,35
2021/09/16,53
2021/09/17,47
2021/09/18,55
2021/09/19,57
2021/09/20,7
2021/09/21,13
2021/09/22,92
2021/09/23,22
2021/09/24,43
2021/09/25,65
2021/09/26,49
2021/09/27,8
2021/09/28,29
2021/09/29,77
2021/09/30,29
2021/10/01,51
2021/10/02,37
2021/10/03,35
2021/10/04,4
2021/10/05,35
2021/10/06,45
2021/10/07,25
2021/10/08,39
2021/10/09,13
2021/10/10,20
2021/10/11,7
2021/10/12,25
2021/10/13,15
2021/10/14,10
2021/10/15,16
2021/10/16,20
2021/10/17,18
2021/10/18,15
2021/10/19,11
2021/10/20,25
2021/10/21,37
2021/10/22,22
2021/10/23,70
2021/10/24,39
2021/10/25,8
2021/10/26,67
2021/10/27,82
2021/10/28,36
2021/10/29,43
2021/10/30,49
2021/10/31,45
2021/11/01,27
2021/11/02,9
2021/11/03,43
2021/11/04,75
2021/11/05,106
2021/11/06,43
2021/11/07,41
2021/11/08,43
2021/11/09,42
2021/11/10,75
2021/11/11,64
2021/11/12,80
2021/11/13,55
2021/11/14,40
2021/11/15,53
2021/11/16,41
2021/11/17,120
2021/11/18,49
2021/11/19,80
2021/11/20,50
2021/11/21,34
2021/11/22,16
2021/11/23,38
2021/11/24,69
2021/11/25,44
2021/11/26,47
2021/11/27,78
2021/11/28,45
2021/11/29,13
2021/11/30,49
2021/12/01,105
2021/12/02,36
2021/12/03,72
2021/12/04,88
2021/12/05,58
2021/12/06,23
2021/12/07,61
2021/12/08,156
2021/12/09,87
2021/12/10,83
2021/12/11,147
2021/12/12,145
2021/12/13,49
2021/12/14,67
2021/12/15,176
2021/12/16,183
2021/12/17,188
2021/12/18,211
2021/12/19,169
2021/12/20,66
2021/12/21,129
2021/12/22,375
2021/12/23,354
2021/12/24,283
2021/12/25,497
2021/12/26,271
2021/12/27,309
2021/12/28,546
2021/12/29,926
2021/12/30,1251
2021/12/31,1990
2022/01/01,783
2022/01/02,1152
2022/01/03,1458
2022/01/04,1057
2022/01/05,1850
2022/01/06,2333
2022/01/07,1681
2022/01/08,3340
2022/01/09,1310
2022/01/10,1571
2022/01/11,2288
2022/01/12,1298
2022/01/13,1224
2022/01/14,8631
2022/01/15,7559
2022/01/16,5119
2022/01/17,2636
2022/01/18,9105
2022/01/19,6050
2022/01/20,5968
2022/01/21,4661
2022/01/22,4494
2022/01/23,3341
2022/01/24,1117
2022/01/25,3847
2022/01/26,2717
2022/01/27,2522
2022/01/28,2370
2022/01/29,3293
2022/01/30,689
2022/01/31,824
2022/02/01,2504
2022/02/02,2155
2022/02/03,2129
2022/02/04,1913
2022/02/05,1788
2022/02/06,1447
2022/02/07,706
2022/02/08,2603
2022/02/09,1374
2022/02/10,1600
2022/02/11,1332
2022/02/12,1349
2022/02/13,964
2022/02/14,617
2022/02/15,1680
2022/02/16,1264
2022/02/17,1173
2022/02/18,1120
2022/02/19,1145
2022/02/20,986
2022/02/21,438
2022/02/22,1545
2022/02/23,1090
2022/02/24,932
2022/02/25,855
2022/02/26,861
2022/02/27,664
2022/02/28,381
2022/03/01,1083
2022/03/02,839
2022/03/03,923
2022/03/04,1102
2022/03/05,1023
2022/03/06,851
2022/03/07,506
2022/03/08,1636
2022/03/09,1162
2022/03/10,1311
2022/03/11,1303
2022/03/12,1483
2022/03/13,1265
2022/03/14,944
2022/03/15,2237
2022/03/16,2043
2022/03/17,2500
2022/03/18,2603
2022/03/19,2251
2022/03/20,1850
2022/03/21,846
2022/03/22,3669
2022/03/23,2255
2022/03/24,2685
2022/03/25,2579
2022/03/26,2570
2022/03/27,1827
2022/03/28,822
2022/03/29,3353
2022/03/30,2511
2022/03/31,2340
2022/04/01,2233
2022/04/02,2204
2022/04/03,1596
2022/04/04,917
2022/04/05,2967
2022/04/06,1974
2022/04/07,1988
2022/04/08,1842
2022/04/09,1929
2022/04/10,1398
2022/04/11,702
2022/04/12,2817
2022/04/13,1338
2022/04/14,1910
2022/04/15,1584
2022/04/16,1954
2022/04/17,1412
2022/04/18,485
2022/04/19,818
2022/04/20,3092
2022/04/21,2133
2022/04/22,2025
2022/04/23,2141
2022/04/24,1475
2022/04/25,688
2022/04/26,1100
2022/04/27,2915
2022/04/28,1448
2022/04/29,1490
2022/04/30,1481
2022/05/01,1031
2022/05/02,765
2022/05/03,1697
2022/05/04,1179
2022/05/05,1404
2022/05/06,1130
2022/05/07,1028
2022/05/08,746
2022/05/09,431
2022/05/10,1445
2022/05/11,990
2022/05/12,1090
2022/05/13,873
2022/05/14,799
2022/05/15,588
2022/05/16,293
2022/05/17,1176
2022/05/18,665
2022/05/19,650
2022/05/20,618
2022/05/21,604
2022/05/22,402
2022/05/23,203
2022/05/24,830
2022/05/25,534
2022/05/26,460
2022/05/27,540
2022/05/28,334
2022/05/29,305
2022/05/30,179
2022/05/31,610
2022/06/01,389
2022/06/02,374
2022/06/03,139
2022/06/04,491
2022/06/05,253
2022/06/06,173
2022/06/07,597
2022/06/08,445
2022/06/09,540
2022/06/10,480
2022/06/11,473
2022/06/12,377
2022/06/13,239
2022/06/14,985
2022/06/15,601
2022/06/16,629
2022/06/17,699
2022/06/18,752
2022/06/19,571
2022/06/20,435
2022/06/21,1284
2022/06/22,989
2022/06/23,1136
2022/06/24,974
2022/06/25,1112
2022/06/26,917
2022/06/27,444
2022/06/28,2319
2022/06/29,1990
2022/06/30,1621
2022/07/01,1993
2022/07/02,2170
2022/07/03,1555
2022/07/04,1099
2022/07/05,3526
2022/07/06,2651
2022/07/07,2802
2022/07/08,2510
2022/07/09,2513
2022/07/10,1821
2022/07/11,879
2022/07/12,4193
2022/07/13,2453
2022/07/14,2451
2022/07/15,2399
2022/07/16,1959
2022/07/17,1396
2022/07/18,594
2022/07/19,3054
2022/07/20,1923
2022/07/21,1858
2022/07/22,1606
2022/07/23,1527
2022/07/24,1024
2022/07/25,428
2022/07/26,2227
2022/07/27,1353
2022/07/28,1277
2022/07/29,994
2022/07/30,1119
2022/07/31,676
2022/08/01,293
2022/08/02,1598
2022/08/03,935
2022/08/04,855
2022/08/05,687
2022/08/06,637
2022/08/07,473
2022/08/08,176
2022/08/09,927
2022/08/10,602
2022/08/11,531
2022/08/12,452
2022/08/13,435
2022/08/14,324
2022/08/15,158
2022/08/16,135
2022/08/17,577
2022/08/18,384
2022/08/19,343
2022/08/20,325
2022/08/21,297
2022/08/22,212
2022/08/23,603
2022/08/24,362
2022/08/25,363
2022/08/26,311
2022/08/27,355
2022/08/28,247
2022/08/29,125
2022/08/30,492
2022/08/31,307
2022/09/01,307
2022/09/02,331
2022/09/03,293
2022/09/04,143
2022/09/05,112
2022/09/06,345
2022/09/07,278
2022/09/08,232
2022/09/09,260
2022/09/10,241
2022/09/11,193
2022/09/12,62
2022/09/13,399
2022/09/14,243
2022/09/15,254
2022/09/16,270
2022/09/17,242
2022/09/18,200
2022/09/19,85
2022/09/20,478
2022/09/21,320
2022/09/22,304
2022/09/23,275
2022/09/24,315
2022/09/25,218
2022/09/26,112
2022/09/27,591
2022/09/28,498
2022/09/29,394
2022/09/30,379
2022/10/01,419
2022/10/02,295
2022/10/03,142
