Datas,Chieti
2021/06/15,3
2021/06/16,4
2021/06/17,9
2021/06/18,9
2021/06/19,2
2021/06/20,7
2021/06/21,0
2021/06/22,9
2021/06/23,6
2021/06/24,9
2021/06/25,5
2021/06/26,3
2021/06/27,2
2021/06/28,0
2021/06/29,5
2021/06/30,11
2021/07/01,9
2021/07/02,11
2021/07/03,3
2021/07/04,5
2021/07/05,1
2021/07/06,12
2021/07/07,7
2021/07/08,0
2021/07/09,5
2021/07/10,5
2021/07/11,2
2021/07/12,0
2021/07/13,10
2021/07/14,9
2021/07/15,11
2021/07/16,4
2021/07/17,7
2021/07/18,4
2021/07/19,-1
2021/07/20,8
2021/07/21,5
2021/07/22,17
2021/07/23,22
2021/07/24,15
2021/07/25,7
2021/07/26,2
2021/07/27,5
2021/07/28,32
2021/07/29,17
2021/07/30,10
2021/07/31,24
2021/08/01,13
2021/08/02,-2
2021/08/03,9
2021/08/04,16
2021/08/05,27
2021/08/06,12
2021/08/07,25
2021/08/08,13
2021/08/09,0
2021/08/10,21
2021/08/11,21
2021/08/12,31
2021/08/13,25
2021/08/14,21
2021/08/15,13
2021/08/16,1
2021/08/17,21
2021/08/18,29
2021/08/19,34
2021/08/20,24
2021/08/21,35
2021/08/22,15
2021/08/23,0
2021/08/24,14
2021/08/25,22
2021/08/26,25
2021/08/27,0
2021/08/28,30
2021/08/29,33
2021/08/30,8
2021/08/31,13
2021/09/01,13
2021/09/02,34
2021/09/03,25
2021/09/04,18
2021/09/05,6
2021/09/06,0
2021/09/07,17
2021/09/08,18
2021/09/09,27
2021/09/10,27
2021/09/11,25
2021/09/12,20
2021/09/13,-2
2021/09/14,11
2021/09/15,15
2021/09/16,17
2021/09/17,14
2021/09/18,9
2021/09/19,12
2021/09/20,0
2021/09/21,10
2021/09/22,10
2021/09/23,15
2021/09/24,3
2021/09/25,13
2021/09/26,24
2021/09/27,0
2021/09/28,1
2021/09/29,17
2021/09/30,15
2021/10/01,10
2021/10/02,14
2021/10/03,2
2021/10/04,2
2021/10/05,3
2021/10/06,8
2021/10/07,21
2021/10/08,17
2021/10/09,16
2021/10/10,2
2021/10/11,0
2021/10/12,4
2021/10/13,12
2021/10/14,12
2021/10/15,2
2021/10/16,6
2021/10/17,12
2021/10/18,0
2021/10/19,9
2021/10/20,10
2021/10/21,30
2021/10/22,14
2021/10/23,69
2021/10/24,17
2021/10/25,0
2021/10/26,7
2021/10/27,12
2021/10/28,19
2021/10/29,33
2021/10/30,22
2021/10/31,15
2021/11/01,0
2021/11/02,7
2021/11/03,8
2021/11/04,27
2021/11/05,23
2021/11/06,28
2021/11/07,7
2021/11/08,-2
2021/11/09,12
2021/11/10,34
2021/11/11,30
2021/11/12,20
2021/11/13,45
2021/11/14,35
2021/11/15,-3
2021/11/16,21
2021/11/17,54
2021/11/18,41
2021/11/19,46
2021/11/20,59
2021/11/21,30
2021/11/22,-3
2021/11/23,45
2021/11/24,71
2021/11/25,77
2021/11/26,63
2021/11/27,91
2021/11/28,57
2021/11/29,-2
2021/11/30,46
2021/12/01,97
2021/12/02,91
2021/12/03,102
2021/12/04,74
2021/12/05,85
2021/12/06,0
2021/12/07,67
2021/12/08,111
2021/12/09,-2
2021/12/10,113
2021/12/11,154
2021/12/12,101
2021/12/13,2
2021/12/14,84
2021/12/15,86
2021/12/16,113
2021/12/17,121
2021/12/18,143
2021/12/19,107
2021/12/20,8
2021/12/21,117
2021/12/22,122
2021/12/23,104
2021/12/24,241
2021/12/25,72
2021/12/26,5
2021/12/27,246
2021/12/28,198
2021/12/29,168
2021/12/30,859
2021/12/31,1217
2022/01/01,1378
2022/01/02,226
2022/01/03,792
2022/01/04,1859
2022/01/05,1649
2022/01/06,1520
2022/01/07,416
2022/01/08,1617
2022/01/09,0
2022/01/10,2219
2022/01/11,1398
2022/01/12,1134
2022/01/13,1154
2022/01/14,1097
2022/01/15,997
2022/01/16,945
2022/01/17,502
2022/01/18,1415
2022/01/19,973
2022/01/20,1043
2022/01/21,1120
2022/01/22,934
2022/01/23,1000
2022/01/24,436
2022/01/25,1229
2022/01/26,1020
2022/01/27,948
2022/01/28,874
2022/01/29,818
2022/01/30,753
2022/01/31,348
2022/02/01,1142
2022/02/02,739
2022/02/03,805
2022/02/04,680
2022/02/05,646
2022/02/06,690
2022/02/07,335
2022/02/08,868
2022/02/09,578
2022/02/10,609
2022/02/11,542
2022/02/12,462
2022/02/13,480
2022/02/14,216
2022/02/15,642
2022/02/16,406
2022/02/17,423
2022/02/18,435
2022/02/19,488
2022/02/20,316
2022/02/21,158
2022/02/22,490
2022/02/23,401
2022/02/24,379
2022/02/25,314
2022/02/26,297
2022/02/27,240
2022/02/28,141
2022/03/01,411
2022/03/02,323
2022/03/03,354
2022/03/04,308
2022/03/05,260
2022/03/06,266
2022/03/07,151
2022/03/08,474
2022/03/09,293
2022/03/10,318
2022/03/11,375
2022/03/12,380
2022/03/13,368
2022/03/14,203
2022/03/15,604
2022/03/16,456
2022/03/17,562
2022/03/18,677
2022/03/19,485
2022/03/20,504
2022/03/21,261
2022/03/22,748
2022/03/23,568
2022/03/24,620
2022/03/25,611
2022/03/26,594
2022/03/27,602
2022/03/28,279
2022/03/29,942
2022/03/30,662
2022/03/31,684
2022/04/01,645
2022/04/02,604
2022/04/03,502
2022/04/04,254
2022/04/05,756
2022/04/06,531
2022/04/07,615
2022/04/08,618
2022/04/09,673
2022/04/10,508
2022/04/11,239
2022/04/12,800
2022/04/13,463
2022/04/14,696
2022/04/15,650
2022/04/16,628
2022/04/17,630
2022/04/18,215
2022/04/19,246
2022/04/20,1230
2022/04/21,732
2022/04/22,812
2022/04/23,904
2022/04/24,681
2022/04/25,308
2022/04/26,433
2022/04/27,0
2022/04/28,1633
2022/04/29,665
2022/04/30,635
2022/05/01,450
2022/05/02,190
2022/05/03,715
2022/05/04,513
2022/05/05,502
2022/05/06,494
2022/05/07,555
2022/05/08,408
2022/05/09,195
2022/05/10,698
2022/05/11,461
2022/05/12,461
2022/05/13,478
2022/05/14,386
2022/05/15,330
2022/05/16,178
2022/05/17,487
2022/05/18,309
2022/05/19,296
2022/05/20,251
2022/05/21,201
2022/05/22,193
2022/05/23,96
2022/05/24,320
2022/05/25,199
2022/05/26,184
2022/05/27,162
2022/05/28,150
2022/05/29,113
2022/05/30,67
2022/05/31,178
2022/06/01,161
2022/06/02,149
2022/06/03,63
2022/06/04,179
2022/06/05,113
