Datas,Verbano-Cusio-Ossola
2022/04/12,124
2022/04/13,149
2022/04/14,128
2022/04/15,120
2022/04/16,118
2022/04/17,88
2022/04/18,44
2022/04/19,142
2022/04/20,183
2022/04/21,69
2022/04/22,152
2022/04/23,105
2022/04/24,84
2022/04/25,51
2022/04/26,65
2022/04/27,229
2022/04/28,115
2022/04/29,120
2022/04/30,102
2022/05/01,76
2022/05/02,49
2022/05/03,125
2022/05/04,94
2022/05/05,115
2022/05/06,112
2022/05/07,99
2022/05/08,79
2022/05/09,58
2022/05/10,220
2022/05/11,103
2022/05/12,82
2022/05/13,155
2022/05/14,79
2022/05/15,55
2022/05/16,33
2022/05/17,107
2022/05/18,57
2022/05/19,48
2022/05/20,45
2022/05/21,36
2022/05/22,50
2022/05/23,28
2022/05/24,42
2022/05/25,31
2022/05/26,38
2022/05/27,24
2022/05/28,30
2022/05/29,19
2022/05/30,8
2022/05/31,38
2022/06/01,23
2022/06/02,19
2022/06/03,18
2022/06/04,21
2022/06/05,22
2022/06/06,21
2022/06/07,58
2022/06/08,49
2022/06/09,40
2022/06/10,23
2022/06/11,37
2022/06/12,43
2022/06/13,32
2022/06/14,72
2022/06/15,59
2022/06/16,94
2022/06/17,50
2022/06/18,59
2022/06/19,57
2022/06/20,36
2022/06/21,111
2022/06/22,95
2022/06/23,64
2022/06/24,83
2022/06/25,73
2022/06/26,72
2022/06/27,48
2022/06/28,173
2022/06/29,133
2022/06/30,204
2022/07/01,179
2022/07/02,98
2022/07/03,194
2022/07/04,97
2022/07/05,274
2022/07/06,205
2022/07/07,178
2022/07/08,200
2022/07/09,209
2022/07/10,144
2022/07/11,90
2022/07/12,304
2022/07/13,215
2022/07/14,191
2022/07/15,178
2022/07/16,163
2022/07/17,137
2022/07/18,77
2022/07/19,241
2022/07/20,154
2022/07/21,140
2022/07/22,117
2022/07/23,113
2022/07/24,75
2022/07/25,40
2022/07/26,139
2022/07/27,95
2022/07/28,81
2022/07/29,79
2022/07/30,56
2022/07/31,54
2022/08/01,59
2022/08/02,88
2022/08/03,64
2022/08/04,78
2022/08/05,42
2022/08/06,43
2022/08/07,38
2022/08/08,34
2022/08/09,75
2022/08/10,46
2022/08/11,52
2022/08/12,57
2022/08/13,42
2022/08/14,26
2022/08/15,16
2022/08/16,13
2022/08/17,71
2022/08/18,46
2022/08/19,31
2022/08/20,43
2022/08/21,33
2022/08/22,26
2022/08/23,58
2022/08/24,43
2022/08/25,32
2022/08/26,41
2022/08/27,32
2022/08/28,30
2022/08/29,14
2022/08/30,38
2022/08/31,31
2022/09/01,20
2022/09/02,52
2022/09/03,31
2022/09/04,24
2022/09/05,12
2022/09/06,43
2022/09/07,26
2022/09/08,59
2022/09/09,41
2022/09/10,57
2022/09/11,41
2022/09/12,30
2022/09/13,83
2022/09/14,73
2022/09/15,85
2022/09/16,53
2022/09/17,62
2022/09/18,54
2022/09/19,25
2022/09/20,102
2022/09/21,75
2022/09/22,112
2022/09/23,66
2022/09/24,86
2022/09/25,84
2022/09/26,67
2022/09/27,201
2022/09/28,148
2022/09/29,175
2022/09/30,146
2022/10/01,116
2022/10/02,138
2022/10/03,93
