Datas,Latina
2021/12/05,156
2021/12/06,46
2021/12/07,84
2021/12/08,154
2021/12/09,143
2021/12/10,172
2021/12/11,196
2021/12/12,158
2021/12/13,205
2021/12/14,89
2021/12/15,145
2021/12/16,375
2021/12/17,180
2021/12/18,327
2021/12/19,248
2021/12/20,216
2021/12/21,152
2021/12/22,271
2021/12/23,351
2021/12/24,213
2021/12/25,511
2021/12/26,419
2021/12/27,125
2021/12/28,410
2021/12/29,477
2021/12/30,734
2021/12/31,1345
2022/01/01,1363
2022/01/02,630
2022/01/03,208
2022/01/04,1027
2022/01/05,1034
2022/01/06,1264
2022/01/07,723
2022/01/08,1043
2022/01/09,2607
2022/01/10,835
2022/01/11,1599
2022/01/12,1312
2022/01/13,684
2022/01/14,1944
2022/01/15,1238
2022/01/16,1236
2022/01/17,516
2022/01/18,1498
2022/01/19,1340
2022/01/20,1503
2022/01/21,1372
2022/01/22,1561
2022/01/23,1067
2022/01/24,432
2022/01/25,1877
2022/01/26,1350
2022/01/27,1304
2022/01/28,1148
2022/01/29,1243
2022/01/30,1058
2022/01/31,529
2022/02/01,1492
2022/02/02,938
2022/02/03,1231
2022/02/04,2052
2022/02/05,873
2022/02/06,873
2022/02/07,405
2022/02/08,1061
2022/02/09,830
2022/02/10,776
2022/02/11,663
2022/02/12,912
2022/02/13,824
2022/02/14,358
2022/02/15,1033
2022/02/16,780
2022/02/17,594
2022/02/18,671
2022/02/19,659
2022/02/20,458
2022/02/21,184
2022/02/22,695
2022/02/23,523
2022/02/24,553
2022/02/25,584
2022/02/26,477
2022/02/27,378
2022/02/28,76
2022/03/01,727
2022/03/02,178
2022/03/03,577
2022/03/04,413
2022/03/05,470
2022/03/06,413
2022/03/07,286
2022/03/08,787
2022/03/09,648
2022/03/10,729
2022/03/11,667
2022/03/12,736
2022/03/13,567
2022/03/14,329
2022/03/15,1225
2022/03/16,858
2022/03/17,1074
2022/03/18,1069
2022/03/19,1046
2022/03/20,696
2022/03/21,446
2022/03/22,1439
2022/03/23,802
2022/03/24,980
2022/03/25,928
2022/03/26,1032
2022/03/27,770
2022/03/28,360
2022/03/29,1504
2022/03/30,942
2022/03/31,952
2022/04/01,955
2022/04/02,970
2022/04/03,648
2022/04/04,264
2022/04/05,1071
2022/04/06,782
2022/04/07,838
2022/04/08,742
2022/04/09,655
2022/04/10,603
2022/04/11,289
2022/04/12,1105
2022/04/13,731
2022/04/14,712
2022/04/15,744
2022/04/16,775
2022/04/17,681
2022/04/18,125
2022/04/19,268
2022/04/20,1421
2022/04/21,828
2022/04/22,851
2022/04/23,952
2022/04/24,625
2022/04/25,222
2022/04/26,308
2022/04/27,1188
2022/04/28,626
2022/04/29,587
2022/04/30,615
2022/05/01,435
2022/05/02,93
2022/05/03,458
2022/05/04,735
2022/05/05,401
2022/05/06,396
2022/05/07,450
2022/05/08,322
2022/05/09,176
