Datas,Belluno
2022/08/03,154
2022/08/04,249
2022/08/05,168
2022/08/06,174
2022/08/07,112
2022/08/08,27
2022/08/09,274
2022/08/10,151
2022/08/11,192
2022/08/12,136
2022/08/13,141
2022/08/14,95
2022/08/15,40
2022/08/16,78
2022/08/17,271
2022/08/18,153
2022/08/19,140
2022/08/20,142
2022/08/21,104
2022/08/22,57
2022/08/23,188
2022/08/24,167
2022/08/25,134
2022/08/26,141
2022/08/27,101
2022/08/28,81
2022/08/29,26
2022/08/30,132
2022/08/31,171
2022/09/01,121
2022/09/02,134
2022/09/03,106
2022/09/04,85
2022/09/05,34
2022/09/06,150
2022/09/07,89
2022/09/08,86
2022/09/09,115
2022/09/10,87
2022/09/11,48
2022/09/12,23
2022/09/13,154
2022/09/14,119
2022/09/15,88
2022/09/16,105
2022/09/17,111
2022/09/18,66
2022/09/19,14
2022/09/20,196
2022/09/21,133
2022/09/22,138
2022/09/23,142
2022/09/24,173
2022/09/25,104
2022/09/26,42
2022/09/27,310
2022/09/28,217
2022/09/29,216
2022/09/30,225
2022/10/01,224
2022/10/02,140
2022/10/03,40
