Datas,Frosinone
2021/06/14,15
2021/06/15,2
2021/06/16,15
2021/06/17,7
2021/06/18,4
2021/06/19,4
2021/06/20,6
2021/06/21,2
2021/06/22,0
2021/06/23,8
2021/06/24,5
2021/06/25,4
2021/06/26,0
2021/06/27,2
2021/06/28,5
2021/06/29,2
2021/06/30,7
2021/07/01,1
2021/07/02,6
2021/07/03,3
2021/07/04,0
2021/07/05,4
2021/07/06,4
2021/07/07,-1
2021/07/08,5
2021/07/09,2
2021/07/10,3
2021/07/11,0
2021/07/12,5
2021/07/13,-16
2021/07/14,7
2021/07/15,3
2021/07/16,9
2021/07/17,6
2021/07/18,8
2021/07/19,10
2021/07/20,10
2021/07/21,7
2021/07/22,17
2021/07/23,21
2021/07/24,22
2021/07/25,4
2021/07/26,12
2021/07/27,29
2021/07/28,32
2021/07/29,26
2021/07/30,39
2021/07/31,49
2021/08/01,48
2021/08/02,16
2021/08/03,40
2021/08/04,64
2021/08/05,40
2021/08/06,25
2021/08/07,29
2021/08/08,31
2021/08/09,16
2021/08/10,62
2021/08/11,40
2021/08/12,20
2021/08/13,26
2021/08/14,40
2021/08/15,56
2021/08/16,4
2021/08/17,43
2021/08/18,26
2021/08/19,21
2021/08/20,31
2021/08/21,42
2021/08/22,25
2021/08/23,6
2021/08/24,24
2021/08/25,60
2021/08/26,30
2021/08/27,35
2021/08/28,26
2021/08/29,26
2021/08/30,13
2021/08/31,14
2021/09/01,33
2021/09/02,22
2021/09/03,16
2021/09/04,24
2021/09/05,23
2021/09/06,6
2021/09/07,23
2021/09/08,18
2021/09/09,18
2021/09/10,23
2021/09/11,17
2021/09/12,12
2021/09/13,11
2021/09/14,25
2021/09/15,21
2021/09/16,14
2021/09/17,16
2021/09/18,18
2021/09/19,17
2021/09/20,7
2021/09/21,20
2021/09/22,29
2021/09/23,16
2021/09/24,17
2021/09/25,13
2021/09/26,19
2021/09/27,4
2021/09/28,37
2021/09/29,26
2021/09/30,8
2021/10/01,31
2021/10/02,20
2021/10/03,13
2021/10/04,6
2021/10/05,11
2021/10/06,18
2021/10/07,33
2021/10/08,18
2021/10/09,21
2021/10/10,24
2021/10/11,8
2021/10/12,12
2021/10/13,21
2021/10/14,12
2021/10/15,20
2021/10/16,17
2021/10/17,24
2021/10/18,12
2021/10/19,20
2021/10/20,22
2021/10/21,29
2021/10/22,23
2021/10/23,25
2021/10/24,23
2021/10/25,12
2021/10/26,17
2021/10/27,22
2021/10/28,21
2021/10/29,29
2021/10/30,40
2021/10/31,37
