Datas,Mantova
2022/07/22,485
2022/07/23,503
2022/07/24,328
2022/07/25,78
2022/07/26,841
2022/07/27,487
2022/07/28,416
2022/07/29,426
2022/07/30,322
2022/07/31,307
2022/08/01,81
2022/08/02,604
2022/08/03,358
2022/08/04,341
2022/08/05,243
2022/08/06,261
2022/08/07,180
2022/08/08,62
2022/08/09,360
2022/08/10,206
2022/08/11,200
2022/08/12,206
2022/08/13,168
2022/08/14,125
2022/08/15,26
2022/08/16,44
2022/08/17,343
2022/08/18,205
2022/08/19,221
2022/08/20,158
2022/08/21,121
2022/08/22,53
2022/08/23,321
2022/08/24,229
2022/08/25,167
2022/08/26,144
2022/08/27,141
2022/08/28,102
2022/08/29,39
2022/08/30,266
2022/08/31,117
2022/09/01,157
2022/09/02,133
2022/09/03,139
2022/09/04,96
2022/09/05,26
2022/09/06,194
2022/09/07,124
2022/09/08,149
2022/09/09,110
2022/09/10,116
2022/09/11,88
2022/09/12,28
2022/09/13,197
2022/09/14,131
2022/09/15,138
2022/09/16,134
2022/09/17,143
2022/09/18,7
2022/09/19,102
2022/09/20,274
2022/09/21,165
2022/09/22,163
2022/09/23,183
2022/09/24,229
2022/09/25,149
2022/09/26,56
2022/09/27,418
2022/09/28,290
2022/09/29,287
2022/09/30,291
2022/10/01,211
2022/10/02,199
2022/10/03,57
