Datas,Savona
2022/02/10,416
2022/02/11,325
2022/02/12,301
2022/02/13,193
2022/02/14,130
2022/02/15,249
2022/02/16,237
2022/02/17,218
2022/02/18,239
2022/02/19,185
2022/02/20,161
2022/02/21,133
2022/02/22,212
2022/02/23,177
2022/02/24,206
2022/02/25,189
2022/02/26,167
2022/02/27,102
2022/02/28,88
2022/03/01,194
2022/03/02,156
2022/03/03,195
2022/03/04,146
2022/03/05,149
2022/03/06,147
2022/03/07,87
2022/03/08,241
2022/03/09,154
2022/03/10,205
2022/03/11,199
2022/03/12,205
2022/03/13,145
2022/03/14,106
2022/03/15,302
2022/03/16,246
2022/03/17,319
2022/03/18,218
2022/03/19,271
2022/03/20,172
2022/03/21,140
2022/03/22,365
2022/03/23,201
2022/03/24,236
2022/03/25,235
2022/03/26,244
2022/03/27,188
2022/03/28,115
2022/03/29,318
2022/03/30,234
2022/03/31,216
2022/04/01,219
2022/04/02,261
2022/04/03,136
2022/04/04,98
2022/04/05,269
2022/04/06,194
2022/04/07,222
2022/04/08,192
2022/04/09,214
2022/04/10,134
2022/04/11,89
2022/04/12,291
2022/04/13,200
2022/04/14,217
2022/04/15,214
2022/04/16,183
2022/04/17,171
2022/04/18,59
2022/04/19,119
2022/04/20,339
2022/04/21,192
2022/04/22,238
2022/04/23,220
2022/04/24,138
2022/04/25,90
2022/04/26,130
2022/04/27,307
2022/04/28,229
2022/04/29,199
2022/04/30,192
2022/05/01,127
2022/05/02,52
2022/05/03,222
2022/05/04,141
2022/05/05,161
2022/05/06,166
2022/05/07,116
2022/05/08,121
2022/05/09,55
2022/05/10,164
2022/05/11,111
2022/05/12,140
2022/05/13,98
2022/05/14,93
2022/05/15,60
2022/05/16,38
2022/05/17,120
2022/05/18,110
2022/05/19,90
2022/05/20,75
2022/05/21,79
2022/05/22,86
2022/05/23,25
2022/05/24,135
2022/05/25,92
2022/05/26,84
2022/05/27,73
2022/05/28,59
2022/05/29,41
2022/05/30,23
2022/05/31,79
2022/06/01,64
2022/06/02,66
2022/06/03,22
2022/06/04,77
2022/06/05,56
2022/06/06,32
2022/06/07,86
2022/06/08,76
2022/06/09,65
2022/06/10,69
2022/06/11,59
2022/06/12,49
2022/06/13,35
2022/06/14,106
2022/06/15,97
2022/06/16,96
2022/06/17,89
2022/06/18,74
2022/06/19,79
2022/06/20,45
2022/06/21,192
2022/06/22,105
2022/06/23,141
2022/06/24,140
2022/06/25,150
2022/06/26,109
2022/06/27,76
2022/06/28,250
2022/06/29,184
2022/06/30,207
2022/07/01,199
2022/07/02,218
2022/07/03,191
2022/07/04,118
2022/07/05,373
2022/07/06,248
2022/07/07,318
2022/07/08,258
2022/07/09,305
2022/07/10,237
2022/07/11,143
2022/07/12,508
2022/07/13,383
2022/07/14,349
2022/07/15,326
2022/07/16,305
2022/07/17,310
2022/07/18,130
2022/07/19,423
2022/07/20,321
2022/07/21,299
2022/07/22,310
2022/07/23,320
2022/07/24,178
2022/07/25,125
2022/07/26,376
2022/07/27,281
2022/07/28,238
2022/07/29,278
2022/07/30,275
2022/07/31,182
2022/08/01,107
2022/08/02,366
2022/08/03,283
2022/08/04,238
2022/08/05,213
2022/08/06,206
2022/08/07,156
2022/08/08,80
2022/08/09,257
2022/08/10,174
2022/08/11,167
2022/08/12,129
2022/08/13,128
2022/08/14,92
2022/08/15,62
2022/08/16,60
2022/08/17,165
2022/08/18,139
2022/08/19,130
2022/08/20,101
2022/08/21,72
2022/08/22,52
2022/08/23,152
2022/08/24,105
2022/08/25,122
2022/08/26,113
2022/08/27,85
2022/08/28,63
2022/08/29,38
2022/08/30,137
2022/08/31,87
2022/09/01,95
2022/09/02,88
2022/09/03,66
2022/09/04,71
2022/09/05,16
2022/09/06,99
2022/09/07,70
2022/09/08,54
2022/09/09,63
2022/09/10,63
2022/09/11,42
2022/09/12,19
2022/09/13,99
2022/09/14,90
2022/09/15,69
2022/09/16,89
2022/09/17,68
2022/09/18,39
2022/09/19,32
2022/09/20,143
2022/09/21,73
2022/09/22,86
2022/09/23,98
2022/09/24,81
2022/09/25,83
2022/09/26,61
2022/09/27,211
2022/09/28,180
2022/09/29,181
2022/09/30,169
2022/10/01,149
2022/10/02,119
2022/10/03,82
