Datas,Udine
2021/08/03,31
2021/08/04,50
2021/08/05,36
2021/08/06,41
2021/08/07,56
2021/08/08,6
2021/08/09,4
2021/08/10,38
2021/08/11,58
2021/08/12,44
2021/08/13,42
2021/08/14,30
2021/08/15,16
2021/08/16,3
2021/08/17,27
2021/08/18,47
2021/08/19,19
2021/08/20,30
2021/08/21,47
2021/08/22,28
2021/08/23,8
2021/08/24,26
2021/08/25,63
2021/08/26,14
2021/08/27,69
2021/08/28,34
2021/08/29,34
2021/08/30,7
2021/08/31,21
2021/09/01,59
2021/09/02,44
2021/09/03,45
2021/09/04,42
2021/09/05,23
2021/09/06,3
2021/09/07,21
2021/09/08,78
2021/09/09,8
2021/09/10,61
2021/09/11,47
2021/09/12,14
2021/09/13,7
2021/09/14,23
2021/09/15,46
2021/09/16,48
2021/09/17,35
2021/09/18,34
2021/09/19,50
2021/09/20,8
2021/09/21,10
2021/09/22,68
2021/09/23,20
2021/09/24,35
2021/09/25,18
2021/09/26,23
2021/09/27,1
2021/09/28,18
2021/09/29,21
2021/09/30,18
2021/10/01,17
2021/10/02,14
2021/10/03,28
2021/10/04,4
2021/10/05,13
2021/10/06,29
2021/10/07,16
2021/10/08,31
2021/10/09,12
2021/10/10,8
2021/10/11,0
2021/10/12,13
2021/10/13,14
2021/10/14,14
2021/10/15,20
2021/10/16,24
2021/10/17,7
2021/10/18,5
2021/10/19,18
2021/10/20,15
2021/10/21,43
2021/10/22,31
2021/10/23,39
2021/10/24,20
2021/10/25,3
2021/10/26,50
2021/10/27,57
2021/10/28,61
2021/10/29,66
2021/10/30,60
2021/10/31,76
2021/11/01,21
2021/11/02,12
2021/11/03,53
2021/11/04,116
2021/11/05,124
2021/11/06,144
2021/11/07,32
2021/11/08,74
2021/11/09,92
2021/11/10,135
2021/11/11,191
2021/11/12,116
2021/11/13,146
2021/11/14,62
2021/11/15,36
2021/11/16,87
2021/11/17,171
2021/11/18,172
2021/11/19,119
2021/11/20,170
2021/11/21,103
2021/11/22,62
2021/11/23,164
2021/11/24,234
2021/11/25,196
2021/11/26,193
2021/11/27,183
2021/11/28,129
2021/11/29,37
2021/11/30,183
2021/12/01,287
2021/12/02,201
2021/12/03,252
2021/12/04,232
2021/12/05,67
2021/12/06,72
2021/12/07,173
2021/12/08,260
2021/12/09,123
2021/12/10,152
2021/12/11,290
2021/12/12,198
2021/12/13,60
2021/12/14,153
2021/12/15,312
2021/12/16,369
2021/12/17,268
2021/12/18,369
2021/12/19,109
2021/12/20,44
2021/12/21,185
2021/12/22,316
2021/12/23,345
2021/12/24,314
2021/12/25,444
2021/12/26,163
2021/12/27,50
2021/12/28,225
2021/12/29,669
2021/12/30,706
2021/12/31,771
2022/01/01,903
2022/01/02,510
2022/01/03,209
2022/01/04,1548
2022/01/05,1533
2022/01/06,1631
2022/01/07,881
2022/01/08,1753
2022/01/09,1274
2022/01/10,802
2022/01/11,1760
2022/01/12,1922
2022/01/13,1671
2022/01/14,2234
2022/01/15,2153
2022/01/16,1274
2022/01/17,904
2022/01/18,2003
2022/01/19,2286
2022/01/20,2089
2022/01/21,2024
2022/01/22,2447
2022/01/23,1242
2022/01/24,1005
2022/01/25,1733
2022/01/26,1648
2022/01/27,1840
2022/01/28,2263
2022/01/29,1713
2022/01/30,1168
2022/01/31,459
2022/02/01,1378
2022/02/02,1422
2022/02/03,1156
2022/02/04,969
2022/02/05,1176
2022/02/06,645
2022/02/07,275
2022/02/08,1089
2022/02/09,788
2022/02/10,744
2022/02/11,517
2022/02/12,617
2022/02/13,458
2022/02/14,181
2022/02/15,639
2022/02/16,441
2022/02/17,410
2022/02/18,427
2022/02/19,399
2022/02/20,264
2022/02/21,123
2022/02/22,443
2022/02/23,312
2022/02/24,293
2022/02/25,276
2022/02/26,263
2022/02/27,145
2022/02/28,104
2022/03/01,273
2022/03/02,258
2022/03/03,204
2022/03/04,177
2022/03/05,229
2022/03/06,195
2022/03/07,71
2022/03/08,345
2022/03/09,256
2022/03/10,285
2022/03/11,266
2022/03/12,302
2022/03/13,167
2022/03/14,109
2022/03/15,492
2022/03/16,367
2022/03/17,505
2022/03/18,437
2022/03/19,528
2022/03/20,291
2022/03/21,121
2022/03/22,617
2022/03/23,499
2022/03/24,551
