Datas,Livorno
2022/05/06,244
2022/05/07,263
2022/05/08,235
2022/05/09,57
2022/05/10,316
2022/05/11,250
2022/05/12,195
2022/05/13,190
2022/05/14,204
2022/05/15,190
2022/05/16,54
2022/05/17,218
2022/05/18,151
2022/05/19,202
2022/05/20,146
2022/05/21,135
2022/05/22,127
2022/05/23,57
2022/05/24,193
2022/05/25,118
2022/05/26,143
2022/05/27,86
2022/05/28,91
2022/05/29,97
2022/05/30,36
2022/05/31,126
2022/06/01,85
2022/06/02,100
2022/06/03,36
2022/06/04,127
2022/06/05,82
2022/06/06,31
2022/06/07,186
2022/06/08,137
2022/06/09,141
2022/06/10,101
2022/06/11,116
2022/06/12,111
2022/06/13,42
2022/06/14,226
2022/06/15,195
2022/06/16,171
2022/06/17,202
2022/06/18,172
2022/06/19,148
2022/06/20,60
2022/06/21,386
2022/06/22,269
2022/06/23,291
2022/06/24,320
2022/06/25,280
2022/06/26,292
2022/06/27,77
2022/06/28,559
2022/06/29,409
2022/06/30,469
2022/07/01,389
2022/07/02,387
2022/07/03,344
2022/07/04,138
2022/07/05,624
2022/07/06,430
2022/07/07,495
2022/07/08,417
2022/07/09,457
2022/07/10,350
2022/07/11,99
2022/07/12,674
2022/07/13,476
2022/07/14,504
2022/07/15,421
2022/07/16,440
2022/07/17,338
2022/07/18,102
2022/07/19,578
2022/07/20,456
2022/07/21,404
2022/07/22,405
2022/07/23,338
2022/07/24,325
2022/07/25,118
2022/07/26,572
2022/07/27,402
2022/07/28,389
2022/07/29,365
2022/07/30,322
2022/07/31,262
2022/08/01,84
2022/08/02,376
2022/08/03,238
2022/08/04,229
2022/08/05,224
2022/08/06,204
2022/08/07,148
2022/08/08,43
2022/08/09,267
2022/08/10,169
2022/08/11,175
2022/08/12,152
2022/08/13,157
2022/08/14,110
2022/08/15,40
2022/08/16,17
2022/08/17,252
2022/08/18,124
2022/08/19,118
2022/08/20,111
2022/08/21,97
2022/08/22,37
2022/08/23,162
2022/08/24,106
2022/08/25,100
2022/08/26,84
2022/08/27,102
2022/08/28,68
2022/08/29,34
2022/08/30,167
2022/08/31,93
2022/09/01,111
2022/09/02,91
2022/09/03,89
2022/09/04,59
2022/09/05,32
2022/09/06,130
2022/09/07,81
2022/09/08,112
2022/09/09,78
2022/09/10,85
2022/09/11,59
2022/09/12,27
2022/09/13,126
2022/09/14,85
2022/09/15,95
2022/09/16,79
2022/09/17,72
2022/09/18,50
2022/09/19,22
2022/09/20,136
2022/09/21,88
2022/09/22,96
2022/09/23,106
2022/09/24,96
2022/09/25,96
2022/09/26,41
2022/09/27,246
2022/09/28,186
2022/09/29,172
2022/09/30,231
2022/10/01,184
2022/10/02,149
2022/10/03,56
