Datas,Modena
2021/06/03,23
2021/06/04,39
2021/06/05,2
2021/06/06,34
2021/06/07,26
2021/06/08,17
2021/06/09,-19
2021/06/10,17
2021/06/11,15
2021/06/12,12
2021/06/13,9
2021/06/14,17
2021/06/15,13
2021/06/16,5
2021/06/17,22
2021/06/18,1
2021/06/19,21
2021/06/20,7
2021/06/21,12
2021/06/22,9
2021/06/23,6
2021/06/24,24
2021/06/25,4
2021/06/26,24
2021/06/27,19
2021/06/28,16
2021/06/29,6
2021/06/30,6
2021/07/01,17
2021/07/02,11
2021/07/03,10
2021/07/04,4
2021/07/05,7
2021/07/06,2
2021/07/07,7
2021/07/08,7
2021/07/09,15
2021/07/10,7
2021/07/11,19
2021/07/12,23
2021/07/13,8
2021/07/14,13
2021/07/15,12
2021/07/16,22
2021/07/17,24
2021/07/18,34
2021/07/19,27
2021/07/20,8
2021/07/21,15
2021/07/22,57
2021/07/23,49
2021/07/24,69
2021/07/25,81
2021/07/26,46
2021/07/27,25
2021/07/28,38
2021/07/29,80
2021/07/30,87
2021/07/31,65
2021/08/01,70
2021/08/02,115
2021/08/03,33
2021/08/04,50
2021/08/05,108
2021/08/06,91
2021/08/07,99
2021/08/08,122
2021/08/09,101
2021/08/10,83
2021/08/11,35
2021/08/12,122
2021/08/13,128
2021/08/14,117
2021/08/15,77
2021/08/16,107
2021/08/17,90
2021/08/18,39
2021/08/19,93
2021/08/20,121
2021/08/21,108
2021/08/22,92
2021/08/23,83
2021/08/24,82
2021/08/25,46
2021/08/26,65
2021/08/27,138
2021/08/28,106
2021/08/29,126
2021/08/30,155
2021/08/31,95
2021/09/01,21
2021/09/02,115
2021/09/03,130
2021/09/04,91
2021/09/05,64
2021/09/06,142
2021/09/07,62
2021/09/08,20
2021/09/09,93
2021/09/10,112
2021/09/11,101
2021/09/12,130
2021/09/13,80
2021/09/14,70
2021/09/15,20
2021/09/16,79
2021/09/17,101
2021/09/18,82
2021/09/19,86
2021/09/20,61
2021/09/21,31
2021/09/22,14
2021/09/23,18
2021/09/24,114
2021/09/25,36
2021/09/26,48
2021/09/27,55
2021/09/28,27
2021/09/29,5
2021/09/30,79
2021/10/01,54
2021/10/02,36
2021/10/03,27
2021/10/04,47
2021/10/05,18
2021/10/06,28
2021/10/07,77
2021/10/08,32
2021/10/09,27
2021/10/10,24
2021/10/11,26
2021/10/12,7
2021/10/13,12
2021/10/14,25
2021/10/15,21
2021/10/16,20
2021/10/17,22
2021/10/18,24
2021/10/19,24
2021/10/20,17
2021/10/21,15
2021/10/22,48
2021/10/23,42
2021/10/24,28
2021/10/25,91
2021/10/26,21
2021/10/27,11
2021/10/28,69
2021/10/29,46
2021/10/30,68
2021/10/31,46
2021/11/01,83
2021/11/02,56
2021/11/03,2
2021/11/04,25
2021/11/05,103
2021/11/06,86
2021/11/07,77
2021/11/08,97
2021/11/09,33
2021/11/10,19
2021/11/11,113
2021/11/12,112
2021/11/13,54
2021/11/14,54
2021/11/15,81
2021/11/16,73
2021/11/17,14
2021/11/18,87
2021/11/19,148
2021/11/20,71
2021/11/21,78
2021/11/22,182
2021/11/23,104
2021/11/24,42
2021/11/25,154
2021/11/26,231
2021/11/27,132
2021/11/28,199
2021/11/29,152
2021/11/30,154
2021/12/01,34
2021/12/02,207
2021/12/03,278
2021/12/04,167
2021/12/05,211
2021/12/06,219
2021/12/07,190
2021/12/08,62
2021/12/09,325
2021/12/10,304
2021/12/11,84
2021/12/12,358
2021/12/13,342
2021/12/14,236
2021/12/15,33
2021/12/16,295
2021/12/17,370
2021/12/18,288
2021/12/19,344
2021/12/20,412
2021/12/21,406
2021/12/22,77
2021/12/23,417
2021/12/24,322
2021/12/25,524
2021/12/26,495
2021/12/27,707
2021/12/28,558
2021/12/29,722
2021/12/30,1004
2021/12/31,1146
2022/01/01,1078
2022/01/02,896
2022/01/03,1139
2022/01/04,699
2022/01/05,1239
2022/01/06,11322
2022/01/07,2330
2022/01/08,2421
2022/01/09,79
2022/01/10,1361
2022/01/11,4863
2022/01/12,2482
2022/01/13,2241
2022/01/14,2615
2022/01/15,2555
2022/01/16,2548
2022/01/17,1887
2022/01/18,2484
2022/01/19,2628
2022/01/20,2860
2022/01/21,3459
2022/01/22,3166
2022/01/23,2332
2022/01/24,2219
2022/01/25,2412
2022/01/26,2480
2022/01/27,1697
2022/01/28,3029
2022/01/29,1844
2022/01/30,1807
2022/01/31,1391
2022/02/01,1056
2022/02/02,954
2022/02/03,1949
2022/02/04,1236
2022/02/05,1269
2022/02/06,964
2022/02/07,806
2022/02/08,702
2022/02/09,878
2022/02/10,837
2022/02/11,762
2022/02/12,636
2022/02/13,612
2022/02/14,449
2022/02/15,485
2022/02/16,447
2022/02/17,506
2022/02/18,455
2022/02/19,449
2022/02/20,358
2022/02/21,264
2022/02/22,334
2022/02/23,333
2022/02/24,365
2022/02/25,376
2022/02/26,305
2022/02/27,222
2022/02/28,212
2022/03/01,233
2022/03/02,273
2022/03/03,288
2022/03/04,266
2022/03/05,245
2022/03/06,253
2022/03/07,301
2022/03/08,233
2022/03/09,316
2022/03/10,309
2022/03/11,435
2022/03/12,414
2022/03/13,382
2022/03/14,331
2022/03/15,350
2022/03/16,428
2022/03/17,483
2022/03/18,574
2022/03/19,542
2022/03/20,459
2022/03/21,417
2022/03/22,419
2022/03/23,534
2022/03/24,668
2022/03/25,641
2022/03/26,655
2022/03/27,555
2022/03/28,418
2022/03/29,595
2022/03/30,636
2022/03/31,752
2022/04/01,726
2022/04/02,747
2022/04/03,616
2022/04/04,432
2022/04/05,585
2022/04/06,641
2022/04/07,823
2022/04/08,756
2022/04/09,737
2022/04/10,550
2022/04/11,404
2022/04/12,645
2022/04/13,799
2022/04/14,804
2022/04/15,735
2022/04/16,728
2022/04/17,657
2022/04/18,428
2022/04/19,277
2022/04/20,701
2022/04/21,868
2022/04/22,961
2022/04/23,789
2022/04/24,828
2022/04/25,564
2022/04/26,307
2022/04/27,396
2022/04/28,1170
2022/04/29,968
2022/04/30,783
2022/05/01,640
2022/05/02,405
2022/05/03,528
2022/05/04,619
2022/05/05,772
2022/05/06,550
2022/05/07,576
2022/05/08,478
2022/05/09,370
2022/05/10,489
2022/05/11,521
2022/05/12,626
2022/05/13,547
2022/05/14,463
2022/05/15,397
2022/05/16,266
2022/05/17,342
2022/05/18,445
2022/05/19,418
2022/05/20,354
2022/05/21,295
2022/05/22,247
2022/05/23,163
2022/05/24,248
2022/05/25,278
2022/05/26,257
2022/05/27,263
2022/05/28,167
2022/05/29,145
2022/05/30,121
2022/05/31,135
2022/06/01,153
2022/06/02,0
2022/06/03,351
2022/06/04,153
2022/06/05,172
2022/06/06,209
2022/06/07,219
2022/06/08,239
2022/06/09,286
2022/06/10,228
2022/06/11,251
2022/06/12,236
2022/06/13,145
2022/06/14,272
2022/06/15,405
2022/06/16,326
2022/06/17,383
2022/06/18,399
2022/06/19,370
2022/06/20,241
2022/06/21,449
2022/06/22,489
2022/06/23,580
2022/06/24,577
2022/06/25,549
2022/06/26,525
2022/06/27,405
2022/06/28,746
2022/06/29,783
2022/06/30,938
2022/07/01,918
2022/07/02,852
2022/07/03,782
2022/07/04,598
2022/07/05,1025
2022/07/06,1154
2022/07/07,1232
2022/07/08,1024
2022/07/09,977
2022/07/10,924
2022/07/11,585
2022/07/12,1052
2022/07/13,1084
2022/07/14,1229
2022/07/15,1040
2022/07/16,951
2022/07/17,859
2022/07/18,593
2022/07/19,882
2022/07/20,947
2022/07/21,978
2022/07/22,779
2022/07/23,706
2022/07/24,580
2022/07/25,397
2022/07/26,607
2022/07/27,633
2022/07/28,346
2022/07/29,830
2022/07/30,544
2022/07/31,430
2022/08/01,277
2022/08/02,449
2022/08/03,504
2022/08/04,485
2022/08/05,447
2022/08/06,377
2022/08/07,339
2022/08/08,194
2022/08/09,329
2022/08/10,366
2022/08/11,291
2022/08/12,324
2022/08/13,256
2022/08/14,217
2022/08/15,154
2022/08/16,105
2022/08/17,252
2022/08/18,257
2022/08/19,301
2022/08/20,273
2022/08/21,245
2022/08/22,155
2022/08/23,276
2022/08/24,287
2022/08/25,252
2022/08/26,209
2022/08/27,199
2022/08/28,198
2022/08/29,119
2022/08/30,220
2022/08/31,261
2022/09/01,195
2022/09/02,211
2022/09/03,164
2022/09/04,139
2022/09/05,108
2022/09/06,176
2022/09/07,180
2022/09/08,179
2022/09/09,155
2022/09/10,141
2022/09/11,124
2022/09/12,78
2022/09/13,0
2022/09/14,296
2022/09/15,174
2022/09/16,166
2022/09/17,168
2022/09/18,136
2022/09/19,89
2022/09/20,162
2022/09/21,158
2022/09/22,267
2022/09/23,206
2022/09/24,208
2022/09/25,217
2022/09/26,145
2022/09/27,305
2022/09/28,378
2022/09/29,436
2022/09/30,417
2022/10/01,418
2022/10/02,404
2022/10/03,250
