Datas,Lodi
2021/09/15,18
2021/09/16,19
2021/09/17,14
2021/09/18,10
2021/09/19,9
2021/09/20,0
2021/09/21,17
2021/09/22,7
2021/09/23,7
2021/09/24,14
2021/09/25,9
2021/09/26,11
2021/09/27,3
2021/09/28,0
2021/09/29,0
2021/09/30,3
2021/10/01,4
2021/10/02,4
2021/10/03,8
2021/10/04,2
2021/10/05,1
2021/10/06,7
2021/10/07,6
2021/10/08,7
2021/10/09,6
2021/10/10,5
2021/10/11,2
2021/10/12,1
2021/10/13,15
2021/10/14,5
2021/10/15,8
2021/10/16,9
2021/10/17,5
2021/10/18,4
2021/10/19,5
2021/10/20,18
2021/10/21,6
2021/10/22,3
2021/10/23,14
2021/10/24,6
2021/10/25,2
2021/10/26,12
2021/10/27,23
2021/10/28,13
2021/10/29,7
2021/10/30,4
2021/10/31,5
2021/11/01,0
2021/11/02,9
2021/11/03,10
2021/11/04,20
2021/11/05,20
2021/11/06,22
2021/11/07,28
2021/11/08,2
2021/11/09,29
2021/11/10,35
2021/11/11,20
2021/11/12,32
2021/11/13,30
2021/11/14,33
2021/11/15,3
2021/11/16,41
2021/11/17,48
2021/11/18,32
2021/11/19,31
2021/11/20,31
2021/11/21,24
2021/11/22,3
2021/11/23,35
2021/11/24,42
2021/11/25,34
2021/11/26,26
2021/11/27,36
2021/11/28,53
2021/11/29,10
2021/11/30,25
2021/12/01,40
2021/12/02,63
2021/12/03,53
2021/12/04,53
2021/12/05,49
2021/12/06,7
2021/12/07,60
2021/12/08,103
2021/12/09,11
2021/12/10,50
2021/12/11,97
2021/12/12,77
2021/12/13,28
2021/12/14,85
2021/12/15,128
2021/12/16,131
2021/12/17,139
2021/12/18,133
2021/12/19,139
2021/12/20,34
2021/12/21,253
2021/12/22,309
2021/12/23,381
2021/12/24,468
2021/12/25,492
2021/12/26,60
2021/12/27,113
2021/12/28,811
2021/12/29,1052
2021/12/30,1262
2021/12/31,1220
2022/01/01,913
2022/01/02,131
2022/01/03,371
2022/01/04,1297
2022/01/05,1503
2022/01/06,1659
2022/01/07,290
2022/01/08,1027
2022/01/09,915
2022/01/10,338
2022/01/11,1126
2022/01/12,994
2022/01/13,1024
2022/01/14,821
2022/01/15,705
2022/01/16,621
2022/01/17,206
2022/01/18,806
2022/01/19,891
2022/01/20,701
2022/01/21,693
2022/01/22,686
2022/01/23,418
2022/01/24,210
2022/01/25,512
2022/01/26,664
2022/01/27,545
2022/01/28,408
2022/01/29,411
2022/01/30,319
2022/01/31,67
2022/02/01,374
2022/02/02,386
2022/02/03,354
2022/02/04,211
2022/02/05,225
2022/02/06,205
2022/02/07,38
2022/02/08,240
2022/02/09,228
2022/02/10,162
2022/02/11,118
2022/02/12,122
2022/02/13,102
2022/02/14,30
2022/02/15,131
2022/02/16,147
2022/02/17,130
2022/02/18,100
2022/02/19,115
2022/02/20,93
2022/02/21,29
2022/02/22,133
2022/02/23,116
2022/02/24,93
2022/02/25,103
2022/02/26,73
2022/02/27,79
2022/02/28,20
2022/03/01,113
2022/03/02,106
2022/03/03,59
2022/03/04,88
2022/03/05,86
2022/03/06,64
2022/03/07,16
2022/03/08,95
2022/03/09,93
2022/03/10,83
2022/03/11,98
2022/03/12,100
2022/03/13,93
2022/03/14,28
2022/03/15,129
2022/03/16,146
2022/03/17,131
2022/03/18,143
2022/03/19,132
2022/03/20,102
2022/03/21,20
2022/03/22,159
2022/03/23,179
2022/03/24,132
2022/03/25,135
2022/03/26,88
2022/03/27,127
2022/03/28,22
2022/03/29,148
2022/03/30,159
2022/03/31,154
2022/04/01,131
2022/04/02,136
2022/04/03,101
2022/04/04,17
2022/04/05,177
2022/04/06,185
2022/04/07,123
2022/04/08,140
2022/04/09,137
2022/04/10,123
2022/04/11,34
2022/04/12,164
2022/04/13,147
2022/04/14,134
2022/04/15,132
2022/04/16,148
2022/04/17,81
2022/04/18,21
2022/04/19,19
2022/04/20,217
2022/04/21,144
2022/04/22,153
2022/04/23,166
2022/04/24,135
2022/04/25,21
2022/04/26,35
2022/04/27,279
2022/04/28,193
2022/04/29,130
2022/04/30,124
2022/05/01,147
2022/05/02,11
2022/05/03,184
2022/05/04,150
2022/05/05,143
2022/05/06,128
2022/05/07,110
2022/05/08,30
2022/05/09,35
2022/05/10,206
2022/05/11,130
2022/05/12,159
2022/05/13,117
2022/05/14,90
2022/05/15,67
2022/05/16,18
2022/05/17,151
2022/05/18,96
2022/05/19,79
2022/05/20,100
2022/05/21,79
2022/05/22,56
2022/05/23,22
2022/05/24,115
2022/05/25,64
2022/05/26,73
2022/05/27,55
2022/05/28,49
2022/05/29,28
2022/05/30,7
2022/05/31,75
2022/06/01,36
2022/06/02,35
2022/06/03,6
2022/06/04,80
2022/06/05,43
2022/06/06,9
2022/06/07,89
2022/06/08,71
2022/06/09,50
2022/06/10,69
2022/06/11,56
2022/06/12,39
2022/06/13,13
2022/06/14,91
2022/06/15,102
2022/06/16,94
2022/06/17,92
2022/06/18,104
2022/06/19,79
2022/06/20,25
2022/06/21,177
2022/06/22,162
2022/06/23,136
2022/06/24,161
2022/06/25,151
2022/06/26,127
2022/06/27,84
2022/06/28,60
2022/06/29,521
2022/06/30,224
2022/07/01,224
2022/07/02,252
2022/07/03,154
2022/07/04,46
2022/07/05,455
2022/07/06,363
2022/07/07,289
2022/07/08,294
2022/07/09,304
2022/07/10,200
2022/07/11,77
2022/07/12,560
2022/07/13,370
2022/07/14,302
2022/07/15,296
2022/07/16,291
2022/07/17,204
2022/07/18,46
2022/07/19,494
2022/07/20,261
2022/07/21,278
2022/07/22,199
2022/07/23,226
2022/07/24,163
2022/07/25,61
2022/07/26,383
2022/07/27,230
2022/07/28,234
2022/07/29,195
2022/07/30,186
2022/07/31,132
2022/08/01,49
2022/08/02,274
2022/08/03,149
2022/08/04,138
2022/08/05,122
2022/08/06,123
2022/08/07,80
2022/08/08,21
2022/08/09,167
2022/08/10,128
2022/08/11,97
2022/08/12,94
2022/08/13,86
2022/08/14,60
2022/08/15,22
2022/08/16,15
2022/08/17,141
2022/08/18,98
2022/08/19,66
2022/08/20,88
2022/08/21,52
2022/08/22,11
2022/08/23,105
2022/08/24,80
2022/08/25,65
2022/08/26,48
2022/08/27,70
2022/08/28,58
2022/08/29,20
2022/08/30,105
2022/08/31,80
2022/09/01,78
2022/09/02,57
2022/09/03,46
2022/09/04,49
2022/09/05,15
2022/09/06,80
2022/09/07,72
2022/09/08,44
2022/09/09,62
2022/09/10,51
2022/09/11,36
2022/09/12,11
2022/09/13,108
2022/09/14,46
2022/09/15,74
2022/09/16,86
2022/09/17,68
2022/09/18,10
2022/09/19,38
2022/09/20,122
2022/09/21,82
2022/09/22,101
2022/09/23,87
2022/09/24,92
2022/09/25,72
2022/09/26,39
2022/09/27,174
2022/09/28,175
2022/09/29,152
2022/09/30,139
2022/10/01,146
2022/10/02,113
2022/10/03,22
