Datas,Enna
2021/10/03,8
2021/10/04,0
2021/10/05,12
2021/10/06,34
2021/10/07,12
2021/10/08,8
2021/10/09,8
2021/10/10,2
2021/10/11,6
2021/10/12,16
2021/10/13,11
2021/10/14,0
2021/10/15,12
2021/10/16,4
2021/10/17,1
2021/10/18,1
2021/10/19,17
2021/10/20,15
2021/10/21,30
2021/10/22,31
2021/10/23,2
2021/10/24,3
2021/10/25,3
2021/10/26,18
2021/10/27,7
2021/10/28,9
2021/10/29,6
2021/10/30,12
2021/10/31,11
2021/11/01,1
2021/11/02,0
2021/11/03,17
2021/11/04,11
2021/11/05,27
2021/11/06,6
2021/11/07,12
2021/11/08,1
2021/11/09,13
2021/11/10,18
2021/11/11,6
2021/11/12,15
2021/11/13,3
2021/11/14,11
2021/11/15,6
2021/11/16,15
2021/11/17,2
2021/11/18,16
2021/11/19,12
2021/11/20,14
2021/11/21,2
2021/11/22,10
2021/11/23,13
2021/11/24,17
2021/11/25,13
2021/11/26,4
2021/11/27,40
2021/11/28,13
2021/11/29,6
2021/11/30,18
2021/12/01,24
2021/12/02,14
2021/12/03,28
2021/12/04,17
2021/12/05,13
2021/12/06,13
2021/12/07,14
2021/12/08,21
2021/12/09,0
2021/12/10,36
2021/12/11,26
2021/12/12,12
2021/12/13,15
2021/12/14,33
2021/12/15,72
2021/12/16,38
2021/12/17,47
2021/12/18,38
2021/12/19,24
2021/12/20,0
2021/12/21,103
2021/12/22,124
2021/12/23,47
2021/12/24,102
2021/12/25,123
2021/12/26,19
2021/12/27,2
2021/12/28,234
2021/12/29,271
2021/12/30,260
2021/12/31,438
2022/01/01,435
2022/01/02,16
2022/01/03,8
2022/01/04,481
2022/01/05,576
2022/01/06,716
2022/01/07,453
2022/01/08,358
2022/01/09,261
2022/01/10,218
2022/01/11,133
2022/01/12,235
2022/01/13,164
2022/01/14,145
2022/01/15,170
2022/01/16,158
2022/01/17,84
2022/01/18,198
2022/01/19,183
2022/01/20,105
2022/01/21,178
2022/01/22,120
2022/01/23,53
2022/01/24,44
2022/01/25,119
2022/01/26,163
2022/01/27,186
2022/01/28,158
2022/01/29,153
2022/01/30,125
2022/01/31,64
2022/02/01,164
2022/02/02,230
2022/02/03,135
2022/02/04,200
2022/02/05,170
2022/02/06,154
2022/02/07,78
2022/02/08,204
2022/02/09,241
2022/02/10,127
2022/02/11,217
2022/02/12,168
2022/02/13,84
2022/02/14,128
2022/02/15,174
2022/02/16,311
2022/02/17,117
2022/02/18,135
2022/02/19,92
2022/02/20,229
