Datas,Terni
2021/06/30,1
2021/07/01,0
2021/07/02,2
2021/07/03,0
2021/07/04,0
2021/07/05,2
2021/07/06,0
2021/07/07,2
2021/07/08,4
2021/07/09,6
2021/07/10,3
2021/07/11,2
2021/07/12,0
2021/07/13,2
2021/07/14,0
2021/07/15,3
2021/07/16,11
2021/07/17,2
2021/07/18,6
2021/07/19,8
2021/07/20,9
2021/07/21,25
2021/07/22,6
2021/07/23,35
2021/07/24,12
2021/07/25,14
2021/07/26,0
2021/07/27,7
2021/07/28,62
2021/07/29,9
2021/07/30,48
2021/07/31,43
2021/08/01,19
2021/08/02,11
2021/08/03,5
2021/08/04,52
2021/08/05,51
2021/08/06,37
2021/08/07,35
2021/08/08,27
2021/08/09,17
2021/08/10,16
2021/08/11,33
2021/08/12,52
2021/08/13,47
2021/08/14,25
2021/08/15,49
2021/08/16,2
2021/08/17,27
2021/08/18,47
2021/08/19,21
2021/08/20,40
2021/08/21,14
2021/08/22,36
2021/08/23,1
2021/08/24,8
2021/08/25,41
2021/08/26,47
2021/08/27,24
2021/08/28,20
2021/08/29,35
2021/08/30,5
2021/08/31,11
2021/09/01,17
2021/09/02,25
2021/09/03,37
2021/09/04,19
2021/09/05,21
2021/09/06,3
2021/09/07,11
2021/09/08,13
2021/09/09,39
2021/09/10,28
2021/09/11,10
2021/09/12,33
2021/09/13,2
2021/09/14,8
2021/09/15,16
2021/09/16,29
2021/09/17,27
2021/09/18,8
2021/09/19,15
2021/09/20,9
2021/09/21,5
2021/09/22,20
2021/09/23,34
2021/09/24,12
2021/09/25,18
2021/09/26,18
2021/09/27,10
2021/09/28,1
2021/09/29,19
2021/09/30,11
2021/10/01,10
2021/10/02,6
2021/10/03,16
2021/10/04,1
2021/10/05,3
2021/10/06,12
2021/10/07,19
2021/10/08,4
2021/10/09,14
2021/10/10,2
2021/10/11,5
2021/10/12,5
2021/10/13,9
2021/10/14,6
2021/10/15,8
2021/10/16,0
2021/10/17,24
2021/10/18,0
2021/10/19,1
2021/10/20,0
2021/10/21,79
2021/10/22,12
2021/10/23,32
2021/10/24,15
2021/10/25,1
2021/10/26,25
2021/10/27,11
2021/10/28,5
2021/10/29,27
2021/10/30,19
2021/10/31,15
2021/11/01,1
2021/11/02,1
2021/11/03,10
2021/11/04,8
2021/11/05,30
2021/11/06,4
2021/11/07,26
2021/11/08,5
2021/11/09,10
2021/11/10,30
2021/11/11,10
2021/11/12,22
2021/11/13,24
2021/11/14,18
2021/11/15,12
2021/11/16,13
2021/11/17,15
2021/11/18,15
2021/11/19,23
2021/11/20,17
2021/11/21,12
2021/11/22,0
2021/11/23,8
2021/11/24,18
2021/11/25,29
2021/11/26,25
2021/11/27,11
2021/11/28,17
2021/11/29,16
2021/11/30,10
2021/12/01,28
2021/12/02,22
2021/12/03,35
2021/12/04,30
2021/12/05,15
2021/12/06,48
2021/12/07,16
2021/12/08,73
2021/12/09,30
2021/12/10,20
2021/12/11,59
2021/12/12,55
2021/12/13,44
2021/12/14,25
2021/12/15,70
2021/12/16,54
2021/12/17,76
2021/12/18,69
2021/12/19,99
2021/12/20,56
2021/12/21,63
2021/12/22,158
2021/12/23,160
2021/12/24,231
2021/12/25,329
2021/12/26,171
2021/12/27,131
2021/12/28,634
2021/12/29,711
2021/12/30,892
2021/12/31,492
2022/01/01,1070
2022/01/02,289
2022/01/03,156
2022/01/04,1035
2022/01/05,1081
2022/01/06,828
2022/01/07,407
2022/01/08,1012
2022/01/09,684
2022/01/10,265
2022/01/11,886
2022/01/12,708
2022/01/13,545
2022/01/14,556
2022/01/15,492
2022/01/16,425
2022/01/17,189
2022/01/18,595
2022/01/19,609
2022/01/20,445
2022/01/21,443
2022/01/22,532
2022/01/23,357
2022/01/24,188
2022/01/25,610
2022/01/26,449
2022/01/27,421
2022/01/28,407
2022/01/29,456
2022/01/30,310
2022/01/31,115
2022/02/01,468
2022/02/02,338
2022/02/03,447
2022/02/04,339
2022/02/05,414
2022/02/06,316
2022/02/07,167
2022/02/08,367
2022/02/09,347
2022/02/10,383
2022/02/11,290
2022/02/12,223
2022/02/13,256
2022/02/14,61
2022/02/15,234
2022/02/16,274
2022/02/17,251
2022/02/18,272
2022/02/19,185
2022/02/20,218
2022/02/21,71
2022/02/22,249
2022/02/23,211
2022/02/24,206
2022/02/25,212
2022/02/26,192
2022/02/27,172
2022/02/28,40
2022/03/01,277
2022/03/02,210
2022/03/03,237
2022/03/04,235
2022/03/05,204
2022/03/06,237
2022/03/07,83
2022/03/08,393
2022/03/09,253
2022/03/10,504
2022/03/11,429
2022/03/12,409
2022/03/13,424
2022/03/14,109
2022/03/15,692
2022/03/16,516
2022/03/17,614
2022/03/18,565
2022/03/19,522
2022/03/20,395
2022/03/21,124
2022/03/22,631
2022/03/23,495
2022/03/24,398
2022/03/25,458
2022/03/26,357
2022/03/27,335
2022/03/28,70
2022/03/29,483
2022/03/30,382
2022/03/31,297
2022/04/01,338
2022/04/02,267
2022/04/03,261
2022/04/04,50
2022/04/05,424
2022/04/06,316
2022/04/07,263
2022/04/08,267
2022/04/09,271
2022/04/10,262
2022/04/11,85
2022/04/12,268
2022/04/13,292
2022/04/14,216
2022/04/15,249
2022/04/16,232
2022/04/17,220
2022/04/18,88
2022/04/19,50
2022/04/20,419
2022/04/21,355
2022/04/22,251
2022/04/23,379
2022/04/24,250
2022/04/25,87
2022/04/26,34
2022/04/27,294
2022/04/28,363
2022/04/29,268
2022/04/30,228
2022/05/01,160
2022/05/02,67
2022/05/03,180
2022/05/04,185
2022/05/05,205
2022/05/06,185
2022/05/07,187
2022/05/08,158
2022/05/09,69
2022/05/10,246
2022/05/11,196
2022/05/12,177
2022/05/13,200
2022/05/14,188
2022/05/15,166
2022/05/16,70
2022/05/17,197
2022/05/18,174
2022/05/19,198
2022/05/20,167
2022/05/21,129
2022/05/22,109
2022/05/23,40
2022/05/24,122
2022/05/25,132
2022/05/26,105
2022/05/27,106
2022/05/28,43
2022/05/29,90
2022/05/30,22
2022/05/31,100
2022/06/01,96
2022/06/02,99
2022/06/03,31
2022/06/04,120
2022/06/05,93
2022/06/06,20
2022/06/07,94
2022/06/08,97
2022/06/09,101
2022/06/10,80
2022/06/11,117
2022/06/12,110
2022/06/13,39
2022/06/14,163
2022/06/15,142
2022/06/16,179
2022/06/17,170
2022/06/18,148
2022/06/19,177
2022/06/20,62
2022/06/21,232
2022/06/22,210
2022/06/23,213
2022/06/24,226
2022/06/25,203
2022/06/26,194
2022/06/27,51
2022/06/28,342
2022/06/29,299
2022/06/30,295
2022/07/01,326
2022/07/02,297
