Datas,Imperia
2022/04/16,167
2022/04/17,128
2022/04/18,41
2022/04/19,92
2022/04/20,300
2022/04/21,229
2022/04/22,260
2022/04/23,221
2022/04/24,206
2022/04/25,39
2022/04/26,107
2022/04/27,241
2022/04/28,215
2022/04/29,176
2022/04/30,159
2022/05/01,125
2022/05/02,31
2022/05/03,206
2022/05/04,141
2022/05/05,156
2022/05/06,155
2022/05/07,137
2022/05/08,91
2022/05/09,29
2022/05/10,193
2022/05/11,104
2022/05/12,132
2022/05/13,135
2022/05/14,129
2022/05/15,99
2022/05/16,40
2022/05/17,167
2022/05/18,120
2022/05/19,96
2022/05/20,94
2022/05/21,58
2022/05/22,69
2022/05/23,15
2022/05/24,139
2022/05/25,60
2022/05/26,65
2022/05/27,63
2022/05/28,48
2022/05/29,30
2022/05/30,3
2022/05/31,71
2022/06/01,70
2022/06/02,57
2022/06/03,7
2022/06/04,76
2022/06/05,27
2022/06/06,11
2022/06/07,77
2022/06/08,63
2022/06/09,59
2022/06/10,76
2022/06/11,55
2022/06/12,34
2022/06/13,3
2022/06/14,103
2022/06/15,71
2022/06/16,80
2022/06/17,68
2022/06/18,67
2022/06/19,50
2022/06/20,12
2022/06/21,146
2022/06/22,104
2022/06/23,124
2022/06/24,135
2022/06/25,105
2022/06/26,100
2022/06/27,28
2022/06/28,244
2022/06/29,156
2022/06/30,199
2022/07/01,160
2022/07/02,167
2022/07/03,187
2022/07/04,40
2022/07/05,389
2022/07/06,295
2022/07/07,263
2022/07/08,252
2022/07/09,231
2022/07/10,207
2022/07/11,81
2022/07/12,432
2022/07/13,303
2022/07/14,285
2022/07/15,217
2022/07/16,280
2022/07/17,213
2022/07/18,50
2022/07/19,419
2022/07/20,288
2022/07/21,263
2022/07/22,217
2022/07/23,283
2022/07/24,161
2022/07/25,92
2022/07/26,385
2022/07/27,224
2022/07/28,124
2022/07/29,240
2022/07/30,341
2022/07/31,161
2022/08/01,46
2022/08/02,290
2022/08/03,218
2022/08/04,175
2022/08/05,199
2022/08/06,181
2022/08/07,145
2022/08/08,26
2022/08/09,253
2022/08/10,172
2022/08/11,138
2022/08/12,128
2022/08/13,114
2022/08/14,115
2022/08/15,33
2022/08/16,39
2022/08/17,202
2022/08/18,102
2022/08/19,90
2022/08/20,80
2022/08/21,90
2022/08/22,20
2022/08/23,133
2022/08/24,91
2022/08/25,82
2022/08/26,97
2022/08/27,79
2022/08/28,74
2022/08/29,11
2022/08/30,124
2022/08/31,48
2022/09/01,79
2022/09/02,75
2022/09/03,85
2022/09/04,75
2022/09/05,10
2022/09/06,107
2022/09/07,69
2022/09/08,48
2022/09/09,51
2022/09/10,48
2022/09/11,46
2022/09/12,14
2022/09/13,83
2022/09/14,59
2022/09/15,59
2022/09/16,46
2022/09/17,68
2022/09/18,37
2022/09/19,15
2022/09/20,105
2022/09/21,71
2022/09/22,75
2022/09/23,71
2022/09/24,70
2022/09/25,70
2022/09/26,30
2022/09/27,163
2022/09/28,134
2022/09/29,149
2022/09/30,121
2022/10/01,151
2022/10/02,103
2022/10/03,33
