Datas,Arezzo
2021/06/28,2
2021/06/29,3
2021/06/30,2
2021/07/01,6
2021/07/02,5
2021/07/03,0
2021/07/04,0
2021/07/05,3
2021/07/06,3
2021/07/07,3
2021/07/08,2
2021/07/09,4
2021/07/10,4
2021/07/11,6
2021/07/12,6
2021/07/13,6
2021/07/14,7
2021/07/15,20
2021/07/16,7
2021/07/17,7
2021/07/18,15
2021/07/19,10
2021/07/20,7
2021/07/21,31
2021/07/22,34
2021/07/23,13
2021/07/24,33
2021/07/25,40
2021/07/26,40
2021/07/27,6
2021/07/28,38
2021/07/29,59
2021/07/30,44
2021/07/31,33
2021/08/01,44
2021/08/02,25
2021/08/03,25
2021/08/04,73
2021/08/05,52
2021/08/06,63
2021/08/07,71
2021/08/08,53
2021/08/09,47
2021/08/10,47
2021/08/11,91
2021/08/12,64
2021/08/13,41
2021/08/14,38
2021/08/15,68
2021/08/16,42
2021/08/17,35
2021/08/18,56
2021/08/19,53
2021/08/20,63
2021/08/21,33
2021/08/22,71
2021/08/23,28
2021/08/24,37
2021/08/25,82
2021/08/26,51
2021/08/27,34
2021/08/28,50
2021/08/29,61
2021/08/30,20
2021/08/31,32
2021/09/01,67
2021/09/02,45
2021/09/03,29
2021/09/04,31
2021/09/05,58
2021/09/06,16
2021/09/07,26
2021/09/08,36
2021/09/09,20
2021/09/10,36
2021/09/11,18
2021/09/12,19
2021/09/13,11
2021/09/14,16
2021/09/15,30
2021/09/16,19
2021/09/17,35
2021/09/18,24
2021/09/19,18
2021/09/20,15
2021/09/21,11
2021/09/22,21
2021/09/23,24
2021/09/24,21
2021/09/25,22
2021/09/26,13
2021/09/27,7
2021/09/28,12
2021/09/29,16
2021/09/30,18
2021/10/01,13
2021/10/02,10
2021/10/03,19
2021/10/04,6
2021/10/05,4
2021/10/06,20
2021/10/07,14
2021/10/08,11
2021/10/09,11
2021/10/10,19
2021/10/11,10
2021/10/12,8
2021/10/13,13
2021/10/14,13
2021/10/15,17
2021/10/16,10
2021/10/17,8
2021/10/18,4
2021/10/19,9
2021/10/20,12
2021/10/21,16
2021/10/22,3
2021/10/23,15
2021/10/24,8
2021/10/25,16
2021/10/26,12
2021/10/27,20
2021/10/28,8
2021/10/29,45
2021/10/30,25
2021/10/31,46
2021/11/01,13
2021/11/02,13
2021/11/03,25
2021/11/04,41
2021/11/05,10
2021/11/06,36
2021/11/07,31
2021/11/08,7
2021/11/09,23
2021/11/10,46
2021/11/11,43
2021/11/12,38
2021/11/13,36
2021/11/14,45
2021/11/15,25
2021/11/16,11
2021/11/17,31
2021/11/18,11
2021/11/19,31
2021/11/20,15
2021/11/21,18
2021/11/22,16
2021/11/23,28
2021/11/24,29
2021/11/25,51
2021/11/26,33
2021/11/27,46
2021/11/28,46
2021/11/29,47
2021/11/30,37
2021/12/01,78
2021/12/02,45
2021/12/03,70
2021/12/04,69
2021/12/05,66
2021/12/06,60
2021/12/07,39
2021/12/08,113
2021/12/09,55
2021/12/10,77
2021/12/11,104
2021/12/12,61
2021/12/13,73
2021/12/14,46
2021/12/15,132
2021/12/16,101
2021/12/17,62
2021/12/18,158
2021/12/19,177
2021/12/20,95
2021/12/21,138
2021/12/22,226
2021/12/23,260
2021/12/24,321
2021/12/25,399
2021/12/26,412
2021/12/27,367
2021/12/28,523
2021/12/29,674
2021/12/30,1490
2021/12/31,1404
2022/01/01,1390
2022/01/02,607
2022/01/03,605
2022/01/04,1545
2022/01/05,1264
2022/01/06,1467
2022/01/07,465
2022/01/08,1348
2022/01/09,1034
2022/01/10,506
2022/01/11,1454
2022/01/12,1210
2022/01/13,1110
2022/01/14,1178
2022/01/15,878
2022/01/16,807
2022/01/17,377
2022/01/18,1281
2022/01/19,1040
2022/01/20,1004
2022/01/21,1148
2022/01/22,918
2022/01/23,968
2022/01/24,530
2022/01/25,1216
2022/01/26,763
2022/01/27,1214
2022/01/28,988
2022/01/29,809
2022/01/30,749
2022/01/31,343
2022/02/01,921
2022/02/02,759
2022/02/03,725
2022/02/04,615
2022/02/05,523
2022/02/06,532
2022/02/07,309
2022/02/08,622
2022/02/09,480
2022/02/10,421
2022/02/11,478
2022/02/12,345
2022/02/13,296
2022/02/14,162
2022/02/15,460
2022/02/16,403
2022/02/17,304
2022/02/18,380
2022/02/19,326
2022/02/20,249
2022/02/21,150
2022/02/22,397
2022/02/23,392
2022/02/24,338
2022/02/25,370
2022/02/26,289
2022/02/27,255
2022/02/28,101
2022/03/01,357
2022/03/02,344
2022/03/03,303
2022/03/04,330
2022/03/05,273
2022/03/06,290
2022/03/07,128
2022/03/08,489
2022/03/09,382
2022/03/10,489
2022/03/11,409
2022/03/12,505
2022/03/13,404
2022/03/14,210
2022/03/15,800
2022/03/16,566
2022/03/17,581
2022/03/18,584
2022/03/19,583
2022/03/20,406
