Datas,La Spezia
2021/09/18,17
2021/09/19,13
2021/09/20,3
2021/09/21,18
2021/09/22,12
2021/09/23,18
2021/09/24,9
2021/09/25,24
2021/09/26,18
2021/09/27,0
2021/09/28,28
2021/09/29,22
2021/09/30,20
2021/10/01,16
2021/10/02,17
2021/10/03,9
2021/10/04,9
2021/10/05,19
2021/10/06,16
2021/10/07,6
2021/10/08,8
2021/10/09,3
2021/10/10,10
2021/10/11,0
2021/10/12,9
2021/10/13,13
2021/10/14,19
2021/10/15,9
2021/10/16,12
2021/10/17,10
2021/10/18,2
2021/10/19,17
2021/10/20,0
2021/10/21,21
2021/10/22,13
2021/10/23,7
2021/10/24,7
2021/10/25,14
2021/10/26,6
2021/10/27,8
2021/10/28,0
2021/10/29,46
2021/10/30,25
2021/10/31,21
2021/11/01,14
2021/11/02,35
2021/11/03,34
2021/11/04,13
2021/11/05,9
2021/11/06,9
2021/11/07,-1
2021/11/08,1
2021/11/09,8
2021/11/10,271
2021/11/11,76
2021/11/12,50
2021/11/13,53
2021/11/14,38
2021/11/15,15
2021/11/16,36
2021/11/17,59
2021/11/18,79
2021/11/19,52
2021/11/20,58
2021/11/21,47
2021/11/22,30
2021/11/23,28
2021/11/24,50
2021/11/25,66
2021/11/26,46
2021/11/27,50
2021/11/28,44
2021/11/29,22
2021/11/30,37
2021/12/01,50
2021/12/02,56
2021/12/03,65
2021/12/04,59
2021/12/05,48
2021/12/06,41
2021/12/07,60
2021/12/08,65
2021/12/09,26
2021/12/10,49
2021/12/11,91
2021/12/12,74
2021/12/13,18
2021/12/14,68
2021/12/15,101
2021/12/16,108
2021/12/17,84
2021/12/18,124
2021/12/19,141
2021/12/20,34
2021/12/21,86
2021/12/22,157
2021/12/23,193
2021/12/24,194
2021/12/25,258
2021/12/26,121
2021/12/27,43
2021/12/28,175
2021/12/29,289
2021/12/30,359
2021/12/31,448
2022/01/01,274
2022/01/02,513
2022/01/03,215
2022/01/04,267
2022/01/05,345
2022/01/06,400
2022/01/07,408
2022/01/08,369
2022/01/09,347
2022/01/10,2486
2022/01/11,1147
2022/01/12,910
2022/01/13,656
2022/01/14,597
2022/01/15,642
2022/01/16,585
2022/01/17,247
2022/01/18,1066
2022/01/19,717
2022/01/20,797
