Datas,Rovigo
2021/08/06,43
2021/08/07,53
2021/08/08,46
2021/08/09,30
2021/08/10,48
2021/08/11,50
2021/08/12,47
2021/08/13,68
2021/08/14,36
2021/08/15,36
2021/08/16,12
2021/08/17,20
2021/08/18,70
2021/08/19,46
2021/08/20,34
2021/08/21,42
2021/08/22,34
2021/08/23,6
2021/08/24,23
2021/08/25,49
2021/08/26,14
2021/08/27,32
2021/08/28,27
2021/08/29,22
2021/08/30,14
2021/08/31,10
2021/09/01,9
2021/09/02,31
2021/09/03,29
2021/09/04,10
2021/09/05,17
2021/09/06,5
2021/09/07,14
2021/09/08,24
2021/09/09,14
2021/09/10,24
2021/09/11,12
2021/09/12,21
2021/09/13,1
2021/09/14,8
2021/09/15,17
2021/09/16,9
2021/09/17,19
2021/09/18,16
2021/09/19,9
2021/09/20,3
2021/09/21,11
2021/09/22,16
2021/09/23,10
2021/09/24,16
2021/09/25,0
2021/09/26,5
2021/09/27,6
2021/09/28,10
2021/09/29,5
2021/09/30,7
2021/10/01,8
2021/10/02,11
2021/10/03,6
2021/10/04,2
2021/10/05,11
2021/10/06,7
2021/10/07,17
2021/10/08,0
2021/10/09,8
2021/10/10,5
2021/10/11,12
2021/10/12,8
2021/10/13,11
2021/10/14,13
2021/10/15,21
2021/10/16,16
2021/10/17,11
2021/10/18,9
2021/10/19,7
2021/10/20,29
2021/10/21,24
2021/10/22,20
2021/10/23,35
2021/10/24,29
2021/10/25,19
2021/10/26,18
2021/10/27,36
2021/10/28,39
2021/10/29,23
2021/10/30,27
2021/10/31,25
2021/11/01,16
2021/11/02,4
2021/11/03,33
2021/11/04,62
2021/11/05,33
2021/11/06,40
2021/11/07,27
2021/11/08,15
2021/11/09,11
2021/11/10,37
2021/11/11,49
2021/11/12,39
2021/11/13,35
2021/11/14,33
2021/11/15,22
2021/11/16,35
2021/11/17,52
2021/11/18,48
2021/11/19,33
2021/11/20,91
2021/11/21,36
2021/11/22,46
2021/11/23,39
2021/11/24,82
2021/11/25,95
2021/11/26,80
2021/11/27,83
2021/11/28,76
2021/11/29,35
2021/11/30,42
2021/12/01,80
2021/12/02,145
2021/12/03,91
2021/12/04,42
2021/12/05,29
2021/12/06,170
2021/12/07,75
2021/12/08,115
2021/12/09,54
2021/12/10,120
2021/12/11,126
2021/12/12,123
2021/12/13,64
2021/12/14,89
2021/12/15,117
2021/12/16,99
2021/12/17,168
2021/12/18,110
2021/12/19,121
2021/12/20,92
2021/12/21,117
2021/12/22,132
2021/12/23,159
2021/12/24,178
