Datas,Cosenza
2022/04/28,656
2022/04/29,616
2022/04/30,578
2022/05/01,512
2022/05/02,268
2022/05/03,766
2022/05/04,497
2022/05/05,535
2022/05/06,595
2022/05/07,479
2022/05/08,435
2022/05/09,269
2022/05/10,756
2022/05/11,448
2022/05/12,513
2022/05/13,377
2022/05/14,361
2022/05/15,322
2022/05/16,213
2022/05/17,514
2022/05/18,297
2022/05/19,352
2022/05/20,257
2022/05/21,252
2022/05/22,202
2022/05/23,150
2022/05/24,372
2022/05/25,264
2022/05/26,230
2022/05/27,213
2022/05/28,173
2022/05/29,187
2022/05/30,208
2022/05/31,202
2022/06/01,185
2022/06/02,168
2022/06/03,93
2022/06/04,211
2022/06/05,166
2022/06/06,134
2022/06/07,226
2022/06/08,202
2022/06/09,194
2022/06/10,156
2022/06/11,212
2022/06/12,114
2022/06/13,171
2022/06/14,333
2022/06/15,303
2022/06/16,313
2022/06/17,-42633
2022/06/18,43323
2022/06/19,320
2022/06/20,218
2022/06/21,518
2022/06/22,423
2022/06/23,461
2022/06/24,467
2022/06/25,499
2022/06/26,438
2022/06/27,324
2022/06/28,835
2022/06/29,698
2022/06/30,759
2022/07/01,739
2022/07/02,849
2022/07/03,640
2022/07/04,703
2022/07/05,1185
2022/07/06,1066
2022/07/07,1160
2022/07/08,1073
2022/07/09,1153
2022/07/10,803
2022/07/11,562
2022/07/12,1725
2022/07/13,1025
2022/07/14,1117
2022/07/15,956
2022/07/16,921
2022/07/17,870
2022/07/18,531
2022/07/19,1397
2022/07/20,959
2022/07/21,949
2022/07/22,901
2022/07/23,822
2022/07/24,680
2022/07/25,416
2022/07/26,1134
2022/07/27,882
2022/07/28,707
2022/07/29,781
2022/07/30,586
2022/07/31,584
2022/08/01,331
2022/08/02,872
2022/08/03,565
2022/08/04,493
2022/08/05,414
2022/08/06,250
2022/08/07,373
2022/08/08,220
2022/08/09,547
2022/08/10,413
2022/08/11,383
2022/08/12,352
2022/08/13,307
2022/08/14,363
2022/08/15,180
2022/08/16,210
2022/08/17,673
2022/08/18,416
2022/08/19,411
2022/08/20,468
2022/08/21,380
2022/08/22,196
2022/08/23,683
2022/08/24,461
2022/08/25,-60393
2022/08/26,61168
2022/08/27,389
2022/08/28,337
2022/08/29,164
2022/08/30,577
2022/08/31,279
2022/09/01,304
2022/09/02,303
2022/09/03,243
2022/09/04,253
2022/09/05,144
2022/09/06,376
2022/09/07,232
2022/09/08,235
2022/09/09,202
2022/09/10,207
2022/09/11,157
2022/09/12,99
2022/09/13,267
2022/09/14,192
2022/09/15,170
2022/09/16,133
2022/09/17,145
2022/09/18,130
2022/09/19,150
2022/09/20,306
2022/09/21,203
2022/09/22,210
2022/09/23,240
2022/09/24,222
2022/09/25,221
2022/09/26,178
2022/09/27,572
2022/09/28,444
2022/09/29,438
2022/09/30,421
2022/10/01,378
2022/10/02,333
2022/10/03,207
