Datas,Ascoli Piceno
2021/10/20,8
2021/10/21,5
2021/10/22,10
2021/10/23,14
2021/10/24,2
2021/10/25,0
2021/10/26,15
2021/10/27,11
2021/10/28,14
2021/10/29,9
2021/10/30,13
2021/10/31,9
2021/11/01,1
2021/11/02,1
2021/11/03,16
2021/11/04,29
2021/11/05,21
2021/11/06,22
2021/11/07,25
2021/11/08,3
2021/11/09,29
2021/11/10,34
2021/11/11,38
2021/11/12,38
2021/11/13,33
2021/11/14,55
2021/11/15,2
2021/11/16,37
2021/11/17,51
2021/11/18,29
2021/11/19,72
2021/11/20,61
2021/11/21,66
2021/11/22,3
2021/11/23,60
2021/11/24,60
2021/11/25,93
2021/11/26,103
2021/11/27,75
2021/11/28,79
2021/11/29,4
2021/11/30,69
2021/12/01,69
2021/12/02,88
2021/12/03,75
2021/12/04,105
2021/12/05,78
2021/12/06,6
2021/12/07,71
2021/12/08,88
2021/12/09,17
2021/12/10,138
2021/12/11,94
2021/12/12,63
2021/12/13,2
2021/12/14,45
2021/12/15,97
2021/12/16,77
2021/12/17,64
2021/12/18,88
2021/12/19,67
2021/12/20,5
2021/12/21,69
2021/12/22,116
2021/12/23,88
2021/12/24,131
2021/12/25,90
2021/12/26,7
2021/12/27,10
2021/12/28,163
2021/12/29,181
2021/12/30,280
2021/12/31,299
2022/01/01,230
2022/01/02,38
2022/01/03,11
2022/01/04,351
2022/01/05,356
2022/01/06,412
2022/01/07,72
2022/01/08,395
2022/01/09,349
2022/01/10,53
2022/01/11,252
2022/01/12,397
2022/01/13,259
2022/01/14,518
2022/01/15,779
2022/01/16,759
2022/01/17,306
2022/01/18,1097
2022/01/19,913
2022/01/20,911
2022/01/21,888
2022/01/22,800
2022/01/23,798
2022/01/24,282
2022/01/25,990
2022/01/26,828
2022/01/27,703
2022/01/28,573
2022/01/29,695
2022/01/30,619
2022/01/31,239
2022/02/01,855
2022/02/02,541
2022/02/03,693
2022/02/04,660
2022/02/05,400
2022/02/06,363
2022/02/07,127
2022/02/08,473
2022/02/09,460
2022/02/10,414
2022/02/11,355
2022/02/12,353
2022/02/13,352
2022/02/14,129
2022/02/15,409
2022/02/16,309
2022/02/17,325
2022/02/18,244
2022/02/19,259
2022/02/20,269
2022/02/21,63
2022/02/22,263
2022/02/23,254
2022/02/24,262
2022/02/25,244
2022/02/26,200
2022/02/27,165
2022/02/28,91
2022/03/01,277
2022/03/02,153
2022/03/03,158
2022/03/04,244
2022/03/05,258
2022/03/06,319
2022/03/07,111
2022/03/08,397
2022/03/09,290
2022/03/10,300
2022/03/11,261
2022/03/12,244
2022/03/13,367
2022/03/14,171
2022/03/15,544
2022/03/16,426
2022/03/17,433
2022/03/18,447
2022/03/19,390
2022/03/20,377
2022/03/21,194
2022/03/22,582
2022/03/23,447
2022/03/24,442
2022/03/25,418
2022/03/26,405
2022/03/27,361
2022/03/28,89
2022/03/29,546
2022/03/30,381
2022/03/31,375
2022/04/01,381
2022/04/02,363
2022/04/03,320
2022/04/04,145
2022/04/05,456
2022/04/06,353
2022/04/07,326
2022/04/08,358
2022/04/09,330
2022/04/10,331
2022/04/11,140
2022/04/12,446
2022/04/13,233
2022/04/14,377
2022/04/15,362
2022/04/16,386
2022/04/17,337
2022/04/18,120
2022/04/19,188
2022/04/20,596
2022/04/21,396
2022/04/22,407
2022/04/23,435
2022/04/24,370
2022/04/25,179
2022/04/26,183
2022/04/27,537
2022/04/28,346
2022/04/29,335
2022/04/30,301
2022/05/01,231
2022/05/02,129
2022/05/03,373
2022/05/04,237
2022/05/05,317
2022/05/06,293
2022/05/07,232
2022/05/08,206
2022/05/09,103
2022/05/10,275
2022/05/11,209
2022/05/12,240
2022/05/13,213
2022/05/14,139
2022/05/15,141
2022/05/16,67
2022/05/17,222
2022/05/18,141
2022/05/19,150
2022/05/20,114
2022/05/21,114
2022/05/22,107
2022/05/23,61
2022/05/24,119
2022/05/25,89
2022/05/26,108
2022/05/27,72
2022/05/28,59
2022/05/29,38
2022/05/30,21
2022/05/31,73
2022/06/01,41
2022/06/02,48
2022/06/03,21
2022/06/04,77
2022/06/05,42
2022/06/06,18
2022/06/07,99
2022/06/08,60
2022/06/09,96
2022/06/10,53
2022/06/11,63
2022/06/12,63
2022/06/13,40
2022/06/14,139
2022/06/15,133
2022/06/16,104
2022/06/17,118
2022/06/18,89
2022/06/19,87
2022/06/20,45
2022/06/21,172
2022/06/22,155
2022/06/23,170
2022/06/24,175
2022/06/25,166
2022/06/26,187
2022/06/27,88
2022/06/28,327
2022/06/29,242
2022/06/30,295
2022/07/01,317
2022/07/02,296
2022/07/03,317
2022/07/04,171
2022/07/05,535
2022/07/06,497
2022/07/07,469
2022/07/08,457
2022/07/09,494
2022/07/10,455
2022/07/11,229
2022/07/12,695
2022/07/13,507
2022/07/14,569
2022/07/15,477
2022/07/16,449
2022/07/17,368
2022/07/18,172
2022/07/19,557
2022/07/20,377
2022/07/21,388
2022/07/22,353
2022/07/23,365
2022/07/24,320
2022/07/25,153
2022/07/26,432
2022/07/27,302
2022/07/28,343
2022/07/29,240
2022/07/30,215
2022/07/31,220
2022/08/01,96
2022/08/02,307
2022/08/03,207
2022/08/04,206
2022/08/05,196
2022/08/06,159
2022/08/07,165
2022/08/08,62
2022/08/09,202
2022/08/10,133
2022/08/11,152
2022/08/12,166
2022/08/13,121
2022/08/14,122
2022/08/15,72
2022/08/16,55
2022/08/17,220
2022/08/18,125
2022/08/19,127
2022/08/20,143
2022/08/21,133
2022/08/22,68
2022/08/23,187
2022/08/24,100
2022/08/25,124
2022/08/26,109
2022/08/27,113
2022/08/28,99
2022/08/29,39
2022/08/30,136
2022/08/31,88
2022/09/01,93
2022/09/02,77
2022/09/03,68
2022/09/04,72
2022/09/05,26
2022/09/06,94
2022/09/07,55
2022/09/08,81
2022/09/09,61
2022/09/10,55
2022/09/11,42
2022/09/12,29
2022/09/13,98
2022/09/14,52
2022/09/15,73
2022/09/16,56
2022/09/17,73
2022/09/18,57
2022/09/19,32
2022/09/20,100
2022/09/21,75
2022/09/22,90
2022/09/23,94
2022/09/24,99
2022/09/25,83
2022/09/26,57
2022/09/27,202
2022/09/28,166
2022/09/29,183
2022/09/30,149
2022/10/01,162
2022/10/02,125
2022/10/03,68
