Datas,Campobasso
2021/07/31,3
2021/08/01,7
2021/08/02,0
2021/08/03,1
2021/08/04,8
2021/08/05,5
2021/08/06,7
2021/08/07,8
2021/08/08,7
2021/08/09,2
2021/08/10,2
2021/08/11,6
2021/08/12,4
2021/08/13,10
2021/08/14,6
2021/08/15,15
2021/08/16,3
2021/08/17,10
2021/08/18,3
2021/08/19,10
2021/08/20,19
2021/08/21,2
2021/08/22,8
2021/08/23,2
2021/08/24,0
2021/08/25,15
2021/08/26,3
2021/08/27,27
2021/08/28,10
2021/08/29,12
2021/08/30,2
2021/08/31,0
2021/09/01,24
2021/09/02,7
2021/09/03,16
2021/09/04,7
2021/09/05,22
2021/09/06,3
2021/09/07,0
2021/09/08,13
2021/09/09,3
2021/09/10,6
2021/09/11,1
2021/09/12,17
2021/09/13,0
2021/09/14,0
2021/09/15,9
2021/09/16,7
2021/09/17,1
2021/09/18,3
2021/09/19,4
2021/09/20,0
2021/09/21,1
2021/09/22,0
2021/09/23,5
2021/09/24,6
2021/09/25,3
2021/09/26,2
2021/09/27,0
2021/09/28,0
2021/09/29,0
2021/09/30,3
2021/10/01,2
2021/10/02,2
2021/10/03,2
2021/10/04,1
2021/10/05,4
2021/10/06,6
2021/10/07,2
2021/10/08,2
2021/10/09,1
2021/10/10,3
2021/10/11,0
2021/10/12,0
2021/10/13,2
2021/10/14,7
2021/10/15,1
2021/10/16,1
2021/10/17,0
2021/10/18,0
2021/10/19,1
2021/10/20,6
2021/10/21,20
2021/10/22,7
2021/10/23,3
2021/10/24,2
2021/10/25,5
2021/10/26,1
2021/10/27,23
2021/10/28,10
2021/10/29,1
2021/10/30,0
2021/10/31,2
2021/11/01,1
2021/11/02,0
2021/11/03,0
2021/11/04,17
2021/11/05,3
2021/11/06,1
2021/11/07,15
2021/11/08,0
2021/11/09,0
2021/11/10,19
2021/11/11,8
2021/11/12,11
2021/11/13,10
2021/11/14,15
2021/11/15,1
2021/11/16,1
2021/11/17,5
2021/11/18,27
2021/11/19,10
2021/11/20,7
2021/11/21,29
2021/11/22,4
2021/11/23,1
2021/11/24,50
2021/11/25,23
2021/11/26,22
2021/11/27,20
2021/11/28,22
2021/11/29,3
2021/11/30,0
2021/12/01,22
2021/12/02,15
2021/12/03,10
2021/12/04,23
2021/12/05,10
2021/12/06,1
2021/12/07,1
2021/12/08,8
2021/12/09,9
2021/12/10,2
2021/12/11,17
2021/12/12,14
2021/12/13,0
2021/12/14,3
2021/12/15,33
2021/12/16,9
2021/12/17,26
2021/12/18,9
2021/12/19,12
2021/12/20,1
2021/12/21,6
2021/12/22,71
2021/12/23,44
2021/12/24,57
2021/12/25,38
2021/12/26,70
2021/12/27,9
2021/12/28,21
2021/12/29,129
2021/12/30,202
2021/12/31,256
2022/01/01,329
2022/01/02,240
2022/01/03,21
2022/01/04,119
2022/01/05,295
2022/01/06,195
2022/01/07,161
2022/01/08,111
2022/01/09,691
2022/01/10,233
2022/01/11,446
2022/01/12,573
2022/01/13,556
2022/01/14,460
2022/01/15,354
2022/01/16,341
2022/01/17,180
2022/01/18,314
2022/01/19,369
2022/01/20,290
2022/01/21,347
2022/01/22,273
