Datas,Pordenone
2021/08/26,4
2021/08/27,48
2021/08/28,26
2021/08/29,26
2021/08/30,4
2021/08/31,41
2021/09/01,28
2021/09/02,34
2021/09/03,36
2021/09/04,32
2021/09/05,31
2021/09/06,5
2021/09/07,32
2021/09/08,35
2021/09/09,17
2021/09/10,34
2021/09/11,25
2021/09/12,12
2021/09/13,1
2021/09/14,20
2021/09/15,29
2021/09/16,9
2021/09/17,22
2021/09/18,18
2021/09/19,16
2021/09/20,2
2021/09/21,8
2021/09/22,19
2021/09/23,20
2021/09/24,18
2021/09/25,19
2021/09/26,9
2021/09/27,4
2021/09/28,11
2021/09/29,18
2021/09/30,10
2021/10/01,27
2021/10/02,28
2021/10/03,8
2021/10/04,3
2021/10/05,12
2021/10/06,15
2021/10/07,9
2021/10/08,7
2021/10/09,10
2021/10/10,6
2021/10/11,2
2021/10/12,13
2021/10/13,11
2021/10/14,9
2021/10/15,14
2021/10/16,12
2021/10/17,9
2021/10/18,0
2021/10/19,16
2021/10/20,15
2021/10/21,20
2021/10/22,25
2021/10/23,18
2021/10/24,13
2021/10/25,1
2021/10/26,34
2021/10/27,18
2021/10/28,25
2021/10/29,32
2021/10/30,25
2021/10/31,28
2021/11/01,7
2021/11/02,6
2021/11/03,22
2021/11/04,52
2021/11/05,61
2021/11/06,47
2021/11/07,22
2021/11/08,39
2021/11/09,45
2021/11/10,67
2021/11/11,60
2021/11/12,87
2021/11/13,57
2021/11/14,77
2021/11/15,30
2021/11/16,58
2021/11/17,92
2021/11/18,71
2021/11/19,86
2021/11/20,107
2021/11/21,103
2021/11/22,17
2021/11/23,103
2021/11/24,146
2021/11/25,147
2021/11/26,138
2021/11/27,117
2021/11/28,115
2021/11/29,38
2021/11/30,82
2021/12/01,88
2021/12/02,199
2021/12/03,219
2021/12/04,191
2021/12/05,159
2021/12/06,112
2021/12/07,165
2021/12/08,202
2021/12/09,119
2021/12/10,173
2021/12/11,197
2021/12/12,159
2021/12/13,82
2021/12/14,141
2021/12/15,213
2021/12/16,226
2021/12/17,194
2021/12/18,207
2021/12/19,157
2021/12/20,112
2021/12/21,147
2021/12/22,242
2021/12/23,261
2021/12/24,260
2021/12/25,307
2021/12/26,61
2021/12/27,44
2021/12/28,302
2021/12/29,448
2021/12/30,621
2021/12/31,697
2022/01/01,707
2022/01/02,226
2022/01/03,159
2022/01/04,1203
2022/01/05,1068
2022/01/06,1175
2022/01/07,529
2022/01/08,1320
2022/01/09,842
2022/01/10,474
2022/01/11,1129
2022/01/12,1349
2022/01/13,1087
2022/01/14,1192
2022/01/15,1224
2022/01/16,899
2022/01/17,408
2022/01/18,1346
2022/01/19,1608
2022/01/20,1665
2022/01/21,1314
2022/01/22,1618
2022/01/23,864
2022/01/24,579
2022/01/25,1414
2022/01/26,1165
2022/01/27,1715
2022/01/28,1414
2022/01/29,1093
2022/01/30,723
2022/01/31,259
2022/02/01,1089
2022/02/02,985
2022/02/03,852
2022/02/04,755
2022/02/05,759
2022/02/06,407
2022/02/07,208
2022/02/08,699
2022/02/09,502
2022/02/10,475
2022/02/11,401
2022/02/12,386
2022/02/13,241
2022/02/14,135
2022/02/15,372
2022/02/16,272
2022/02/17,312
2022/02/18,206
2022/02/19,231
2022/02/20,144
2022/02/21,73
2022/02/22,293
2022/02/23,238
2022/02/24,193
2022/02/25,153
2022/02/26,176
2022/02/27,78
2022/02/28,37
2022/03/01,173
2022/03/02,111
2022/03/03,118
2022/03/04,106
2022/03/05,174
2022/03/06,108
2022/03/07,49
2022/03/08,188
2022/03/09,170
2022/03/10,188
2022/03/11,162
2022/03/12,185
2022/03/13,146
2022/03/14,63
2022/03/15,296
2022/03/16,273
2022/03/17,309
2022/03/18,232
2022/03/19,283
2022/03/20,196
2022/03/21,62
2022/03/22,315
2022/03/23,268
2022/03/24,285
2022/03/25,224
2022/03/26,268
2022/03/27,180
2022/03/28,60
2022/03/29,336
2022/03/30,277
2022/03/31,175
2022/04/01,259
2022/04/02,239
2022/04/03,155
2022/04/04,67
2022/04/05,314
2022/04/06,249
2022/04/07,240
2022/04/08,223
2022/04/09,208
2022/04/10,178
2022/04/11,52
2022/04/12,321
2022/04/13,270
2022/04/14,297
2022/04/15,243
2022/04/16,252
2022/04/17,164
2022/04/18,31
2022/04/19,43
2022/04/20,331
2022/04/21,320
2022/04/22,256
2022/04/23,253
2022/04/24,140
2022/04/25,91
2022/04/26,40
2022/04/27,372
2022/04/28,271
2022/04/29,193
2022/04/30,188
2022/05/01,122
2022/05/02,51
2022/05/03,288
2022/05/04,164
2022/05/05,167
2022/05/06,153
2022/05/07,153
2022/05/08,103
2022/05/09,21
2022/05/10,278
2022/05/11,165
2022/05/12,134
2022/05/13,156
2022/05/14,149
2022/05/15,98
2022/05/16,18
2022/05/17,148
2022/05/18,143
2022/05/19,103
2022/05/20,107
2022/05/21,81
2022/05/22,57
2022/05/23,15
2022/05/24,100
2022/05/25,83
2022/05/26,67
2022/05/27,65
2022/05/28,63
2022/05/29,43
2022/05/30,12
2022/05/31,66
2022/06/01,50
2022/06/02,60
2022/06/03,11
2022/06/04,81
2022/06/05,48
2022/06/06,20
2022/06/07,123
2022/06/08,84
2022/06/09,120
2022/06/10,121
2022/06/11,127
2022/06/12,80
2022/06/13,28
2022/06/14,242
2022/06/15,185
2022/06/16,218
2022/06/17,198
2022/06/18,256
2022/06/19,192
2022/06/20,26
2022/06/21,420
2022/06/22,371
2022/06/23,390
2022/06/24,276
2022/06/25,460
2022/06/26,259
2022/06/27,52
2022/06/28,560
2022/06/29,298
2022/06/30,613
2022/07/01,449
2022/07/02,447
2022/07/03,234
2022/07/04,124
2022/07/05,755
2022/07/06,535
2022/07/07,616
2022/07/08,524
2022/07/09,562
2022/07/10,296
2022/07/11,166
2022/07/12,914
2022/07/13,663
2022/07/14,655
2022/07/15,544
2022/07/16,545
2022/07/17,307
2022/07/18,41
2022/07/19,688
2022/07/20,622
2022/07/21,479
2022/07/22,387
2022/07/23,406
2022/07/24,249
2022/07/25,72
2022/07/26,644
2022/07/27,456
2022/07/28,353
2022/07/29,308
2022/07/30,303
2022/07/31,165
2022/08/01,85
2022/08/02,409
2022/08/03,278
2022/08/04,263
2022/08/05,230
2022/08/06,238
2022/08/07,103
2022/08/08,60
2022/08/09,259
2022/08/10,205
2022/08/11,163
2022/08/12,128
2022/08/13,148
2022/08/14,83
2022/08/15,58
2022/08/16,26
2022/08/17,270
2022/08/18,199
2022/08/19,156
2022/08/20,157
2022/08/21,94
2022/08/22,23
2022/08/23,213
2022/08/24,171
2022/08/25,135
2022/08/26,151
2022/08/27,153
2022/08/28,84
2022/08/29,11
2022/08/30,189
2022/08/31,145
2022/09/01,141
2022/09/02,120
2022/09/03,97
2022/09/04,64
2022/09/05,30
2022/09/06,165
2022/09/07,108
2022/09/08,105
2022/09/09,107
2022/09/10,94
2022/09/11,55
2022/09/12,24
2022/09/13,143
2022/09/14,111
2022/09/15,128
2022/09/16,147
2022/09/17,129
2022/09/18,67
2022/09/19,29
2022/09/20,225
2022/09/21,161
2022/09/22,145
2022/09/23,134
2022/09/24,165
2022/09/25,93
2022/09/26,75
2022/09/27,356
2022/09/28,278
2022/09/29,280
2022/09/30,209
2022/10/01,292
2022/10/02,143
2022/10/03,66
