Datas,Pavia
2022/01/05,2708
2022/01/06,2758
2022/01/07,650
2022/01/08,2729
2022/01/09,1768
2022/01/10,735
2022/01/11,2525
2022/01/12,2127
2022/01/13,2020
2022/01/14,1855
2022/01/15,1722
2022/01/16,1383
2022/01/17,555
2022/01/18,2204
2022/01/19,2104
2022/01/20,1777
2022/01/21,1837
2022/01/22,1598
2022/01/23,1257
2022/01/24,489
2022/01/25,1701
2022/01/26,1588
2022/01/27,1445
2022/01/28,1152
2022/01/29,1130
2022/01/30,723
2022/01/31,318
2022/02/01,1247
2022/02/02,808
2022/02/03,783
2022/02/04,618
2022/02/05,658
2022/02/06,447
2022/02/07,192
2022/02/08,831
2022/02/09,516
2022/02/10,477
2022/02/11,410
2022/02/12,368
2022/02/13,267
2022/02/14,119
2022/02/15,526
2022/02/16,366
2022/02/17,361
2022/02/18,338
2022/02/19,318
2022/02/20,237
2022/02/21,112
2022/02/22,379
2022/02/23,332
2022/02/24,295
2022/02/25,262
2022/02/26,228
2022/02/27,166
2022/02/28,96
2022/03/01,335
2022/03/02,265
2022/03/03,267
2022/03/04,228
2022/03/05,208
2022/03/06,194
2022/03/07,99
2022/03/08,366
2022/03/09,274
2022/03/10,286
2022/03/11,304
2022/03/12,290
2022/03/13,196
2022/03/14,113
2022/03/15,497
2022/03/16,408
2022/03/17,407
2022/03/18,454
2022/03/19,408
2022/03/20,292
2022/03/21,141
2022/03/22,529
2022/03/23,365
2022/03/24,476
2022/03/25,431
2022/03/26,469
2022/03/27,343
2022/03/28,157
2022/03/29,687
2022/03/30,510
2022/03/31,509
2022/04/01,466
2022/04/02,448
2022/04/03,315
2022/04/04,158
2022/04/05,672
2022/04/06,441
2022/04/07,496
2022/04/08,438
2022/04/09,460
2022/04/10,342
2022/04/11,142
2022/04/12,667
2022/04/13,441
2022/04/14,471
2022/04/15,439
2022/04/16,430
2022/04/17,360
2022/04/18,114
2022/04/19,184
2022/04/20,715
2022/04/21,537
2022/04/22,539
2022/04/23,483
2022/04/24,369
2022/04/25,150
2022/04/26,224
2022/04/27,716
2022/04/28,506
2022/04/29,468
2022/04/30,392
2022/05/01,336
2022/05/02,159
2022/05/03,605
2022/05/04,409
2022/05/05,354
2022/05/06,359
2022/05/07,307
2022/05/08,97
2022/05/09,169
2022/05/10,541
2022/05/11,349
2022/05/12,339
2022/05/13,307
2022/05/14,294
2022/05/15,198
2022/05/16,79
2022/05/17,361
2022/05/18,229
2022/05/19,218
2022/05/20,197
2022/05/21,184
2022/05/22,130
2022/05/23,60
2022/05/24,231
2022/05/25,138
2022/05/26,155
2022/05/27,134
2022/05/28,145
2022/05/29,84
2022/05/30,47
2022/05/31,173
2022/06/01,146
2022/06/02,131
2022/06/03,45
2022/06/04,179
2022/06/05,109
2022/06/06,58
2022/06/07,235
2022/06/08,160
2022/06/09,162
2022/06/10,172
2022/06/11,171
2022/06/12,117
2022/06/13,96
2022/06/14,316
2022/06/15,221
2022/06/16,312
2022/06/17,248
2022/06/18,267
2022/06/19,205
2022/06/20,153
2022/06/21,486
2022/06/22,421
