Datas,Bologna
2021/11/23,269
2021/11/24,223
2021/11/25,248
2021/11/26,333
2021/11/27,357
2021/11/28,359
2021/11/29,305
2021/11/30,353
2021/12/01,284
2021/12/02,238
2021/12/03,407
2021/12/04,424
2021/12/05,443
2021/12/06,259
2021/12/07,437
2021/12/08,280
2021/12/09,340
2021/12/10,361
2021/12/11,457
2021/12/12,365
2021/12/13,365
2021/12/14,568
2021/12/15,424
2021/12/16,472
2021/12/17,583
2021/12/18,592
2021/12/19,488
2021/12/20,556
2021/12/21,471
2021/12/22,394
2021/12/23,459
2021/12/24,769
2021/12/25,787
2021/12/26,636
2021/12/27,821
2021/12/28,1080
2021/12/29,397
2021/12/30,972
2021/12/31,1522
2022/01/01,3217
2022/01/02,1448
2022/01/03,2250
2022/01/04,2484
2022/01/05,2803
2022/01/06,7013
2022/01/07,3740
2022/01/08,4223
2022/01/09,3799
2022/01/10,4061
2022/01/11,3023
2022/01/12,4513
2022/01/13,3581
2022/01/14,4981
2022/01/15,4095
2022/01/16,3641
2022/01/17,3033
2022/01/18,3949
2022/01/19,3793
2022/01/20,4689
2022/01/21,4222
2022/01/22,3944
2022/01/23,4624
2022/01/24,3879
2022/01/25,3253
2022/01/26,4281
2022/01/27,3945
2022/01/28,3896
2022/01/29,3774
2022/01/30,3024
2022/01/31,1702
2022/02/01,1996
2022/02/02,1928
2022/02/03,2708
2022/02/04,2383
2022/02/05,1832
2022/02/06,1581
2022/02/07,1399
2022/02/08,1052
2022/02/09,1644
2022/02/10,1491
2022/02/11,1243
2022/02/12,990
2022/02/13,1200
2022/02/14,608
2022/02/15,686
2022/02/16,1032
2022/02/17,828
2022/02/18,812
2022/02/19,884
2022/02/20,646
2022/02/21,470
2022/02/22,499
2022/02/23,806
2022/02/24,651
2022/02/25,726
2022/02/26,487
2022/02/27,655
2022/02/28,309
2022/03/01,436
2022/03/02,586
2022/03/03,685
2022/03/04,523
2022/03/05,479
2022/03/06,412
2022/03/07,636
2022/03/08,523
2022/03/09,571
2022/03/10,800
2022/03/11,681
2022/03/12,664
2022/03/13,708
2022/03/14,365
2022/03/15,773
2022/03/16,962
2022/03/17,981
2022/03/18,944
2022/03/19,1086
2022/03/20,999
2022/03/21,476
2022/03/22,734
2022/03/23,1041
2022/03/24,1157
2022/03/25,1048
2022/03/26,965
2022/03/27,747
2022/03/28,925
2022/03/29,868
2022/03/30,1308
2022/03/31,1168
2022/04/01,1027
2022/04/02,1021
2022/04/03,713
2022/04/04,786
2022/04/05,913
2022/04/06,1221
2022/04/07,1090
2022/04/08,1162
2022/04/09,957
2022/04/10,1016
2022/04/11,672
2022/04/12,755
2022/04/13,1163
2022/04/14,1224
2022/04/15,844
2022/04/16,1044
2022/04/17,1022
2022/04/18,577
2022/04/19,423
2022/04/20,982
2022/04/21,1168
2022/04/22,1147
2022/04/23,1073
2022/04/24,1068
2022/04/25,794
2022/04/26,419
2022/04/27,847
2022/04/28,1254
2022/04/29,1288
2022/04/30,941
2022/05/01,606
2022/05/02,594
2022/05/03,595
2022/05/04,922
2022/05/05,1132
2022/05/06,885
2022/05/07,639
2022/05/08,678
2022/05/09,373
2022/05/10,656
2022/05/11,1064
2022/05/12,964
2022/05/13,806
2022/05/14,853
2022/05/15,510
2022/05/16,483
2022/05/17,772
2022/05/18,578
2022/05/19,800
2022/05/20,611
2022/05/21,494
2022/05/22,368
2022/05/23,295
2022/05/24,322
2022/05/25,570
2022/05/26,446
2022/05/27,458
2022/05/28,434
2022/05/29,324
2022/05/30,194
2022/05/31,344
2022/06/01,326
2022/06/02,1
2022/06/03,746
2022/06/04,302
2022/06/05,449
2022/06/06,300
2022/06/07,430
2022/06/08,591
2022/06/09,549
2022/06/10,453
2022/06/11,409
2022/06/12,382
2022/06/13,312
2022/06/14,509
2022/06/15,649
2022/06/16,980
2022/06/17,567
2022/06/18,856
2022/06/19,661
2022/06/20,416
2022/06/21,969
2022/06/22,1116
2022/06/23,914
2022/06/24,1261
2022/06/25,1013
2022/06/26,965
2022/06/27,555
2022/06/28,1251
2022/06/29,1327
2022/06/30,1414
2022/07/01,1506
2022/07/02,1368
2022/07/03,1434
2022/07/04,811
2022/07/05,1399
2022/07/06,2244
2022/07/07,2081
2022/07/08,1692
2022/07/09,1945
2022/07/10,1507
2022/07/11,797
2022/07/12,1448
2022/07/13,2325
2022/07/14,1868
2022/07/15,1549
2022/07/16,1716
2022/07/17,1203
2022/07/18,815
2022/07/19,1549
2022/07/20,1503
2022/07/21,1231
2022/07/22,1379
2022/07/23,901
2022/07/24,723
2022/07/25,749
2022/07/26,1093
2022/07/27,1048
2022/07/28,1086
2022/07/29,970
2022/07/30,868
2022/07/31,717
2022/08/01,347
2022/08/02,699
2022/08/03,757
2022/08/04,716
2022/08/05,384
2022/08/06,517
2022/08/07,470
2022/08/08,222
2022/08/09,389
2022/08/10,491
2022/08/11,377
2022/08/12,319
2022/08/13,329
2022/08/14,276
2022/08/15,134
2022/08/16,129
2022/08/17,329
2022/08/18,375
2022/08/19,347
2022/08/20,277
2022/08/21,349
2022/08/22,182
2022/08/23,354
2022/08/24,421
2022/08/25,326
2022/08/26,343
2022/08/27,283
2022/08/28,323
2022/08/29,151
2022/08/30,318
2022/08/31,331
2022/09/01,351
2022/09/02,263
2022/09/03,250
2022/09/04,208
2022/09/05,49
