Datas,Ravenna
2021/08/31,23
2021/09/01,49
2021/09/02,31
2021/09/03,48
2021/09/04,66
2021/09/05,46
2021/09/06,54
2021/09/07,29
2021/09/08,47
2021/09/09,28
2021/09/10,35
2021/09/11,27
2021/09/12,33
2021/09/13,42
2021/09/14,14
2021/09/15,38
2021/09/16,23
2021/09/17,40
2021/09/18,43
2021/09/19,44
2021/09/20,27
2021/09/21,22
2021/09/22,37
2021/09/23,-16
2021/09/24,75
2021/09/25,32
2021/09/26,52
2021/09/27,29
2021/09/28,24
2021/09/29,53
2021/09/30,39
2021/10/01,49
2021/10/02,35
2021/10/03,29
2021/10/04,17
2021/10/05,83
2021/10/06,61
2021/10/07,43
2021/10/08,53
2021/10/09,49
2021/10/10,41
2021/10/11,32
2021/10/12,43
2021/10/13,82
2021/10/14,41
2021/10/15,27
2021/10/16,55
2021/10/17,41
2021/10/18,33
2021/10/19,23
2021/10/20,63
2021/10/21,68
2021/10/22,69
2021/10/23,62
2021/10/24,37
2021/10/25,38
2021/10/26,40
2021/10/27,41
2021/10/28,39
2021/10/29,49
2021/10/30,26
2021/10/31,42
2021/11/01,32
2021/11/02,41
2021/11/03,49
2021/11/04,44
2021/11/05,67
2021/11/06,56
2021/11/07,76
2021/11/08,59
2021/11/09,38
2021/11/10,105
2021/11/11,69
2021/11/12,84
2021/11/13,83
2021/11/14,102
2021/11/15,58
2021/11/16,58
2021/11/17,133
2021/11/18,104
2021/11/19,164
2021/11/20,134
2021/11/21,125
2021/11/22,94
2021/11/23,76
2021/11/24,182
2021/11/25,130
2021/11/26,140
2021/11/27,147
2021/11/28,134
2021/11/29,110
2021/11/30,108
2021/12/01,160
2021/12/02,200
2021/12/03,172
2021/12/04,198
2021/12/05,185
2021/12/06,173
2021/12/07,71
2021/12/08,184
2021/12/09,204
2021/12/10,126
2021/12/11,223
2021/12/12,202
2021/12/13,186
2021/12/14,122
2021/12/15,301
2021/12/16,193
2021/12/17,202
2021/12/18,213
2021/12/19,191
2021/12/20,271
2021/12/21,124
2021/12/22,197
2021/12/23,306
2021/12/24,357
2021/12/25,370
2021/12/26,278
2021/12/27,321
2021/12/28,207
2021/12/29,357
2021/12/30,1043
2021/12/31,1239
2022/01/01,1168
2022/01/02,1179
2022/01/03,875
2022/01/04,815
2022/01/05,1680
2022/01/06,3139
2022/01/07,1890
2022/01/08,1251
2022/01/09,2551
2022/01/10,1193
2022/01/11,1419
2022/01/12,1434
2022/01/13,2604
2022/01/14,1816
2022/01/15,1863
2022/01/16,1601
2022/01/17,961
2022/01/18,1463
2022/01/19,2037
2022/01/20,2170
2022/01/21,1883
2022/01/22,1921
2022/01/23,1640
2022/01/24,1880
2022/01/25,1222
2022/01/26,1381
2022/01/27,2213
2022/01/28,1498
2022/01/29,1476
2022/01/30,1149
2022/01/31,1004
2022/02/01,376
2022/02/02,1110
2022/02/03,1069
2022/02/04,901
2022/02/05,766
2022/02/06,709
2022/02/07,472
2022/02/08,417
2022/02/09,736
2022/02/10,598
2022/02/11,501
2022/02/12,453
2022/02/13,383
2022/02/14,277
2022/02/15,231
2022/02/16,432
2022/02/17,319
2022/02/18,351
2022/02/19,324
2022/02/20,324
2022/02/21,213
2022/02/22,217
2022/02/23,325
2022/02/24,264
2022/02/25,264
2022/02/26,221
2022/02/27,235
2022/02/28,128
2022/03/01,148
2022/03/02,242
2022/03/03,207
2022/03/04,221
2022/03/05,218
2022/03/06,245
2022/03/07,186
2022/03/08,131
2022/03/09,224
2022/03/10,175
2022/03/11,301
2022/03/12,253
2022/03/13,233
2022/03/14,212
2022/03/15,139
2022/03/16,291
2022/03/17,382
2022/03/18,444
2022/03/19,343
2022/03/20,369
2022/03/21,215
2022/03/22,207
2022/03/23,405
2022/03/24,460
2022/03/25,351
2022/03/26,381
2022/03/27,359
2022/03/28,328
2022/03/29,316
2022/03/30,532
2022/03/31,364
2022/04/01,542
2022/04/02,451
2022/04/03,508
2022/04/04,287
2022/04/05,314
2022/04/06,504
2022/04/07,524
2022/04/08,483
2022/04/09,510
2022/04/10,490
2022/04/11,266
2022/04/12,367
2022/04/13,565
2022/04/14,422
2022/04/15,492
2022/04/16,469
2022/04/17,502
2022/04/18,263
2022/04/19,248
2022/04/20,314
2022/04/21,501
2022/04/22,483
2022/04/23,419
2022/04/24,589
2022/04/25,222
2022/04/26,273
2022/04/27,261
2022/04/28,423
2022/04/29,534
2022/04/30,441
2022/05/01,344
2022/05/02,259
2022/05/03,189
2022/05/04,381
2022/05/05,429
2022/05/06,335
2022/05/07,331
2022/05/08,348
2022/05/09,211
2022/05/10,178
2022/05/11,310
2022/05/12,322
2022/05/13,272
2022/05/14,273
2022/05/15,235
2022/05/16,193
2022/05/17,144
2022/05/18,246
2022/05/19,263
2022/05/20,191
2022/05/21,184
2022/05/22,189
2022/05/23,108
2022/05/24,102
2022/05/25,198
2022/05/26,175
2022/05/27,140
2022/05/28,147
2022/05/29,124
2022/05/30,84
2022/05/31,76
2022/06/01,141
2022/06/02,1
2022/06/03,266
2022/06/04,130
2022/06/05,193
2022/06/06,100
2022/06/07,126
2022/06/08,195
2022/06/09,211
2022/06/10,209
2022/06/11,207
2022/06/12,231
2022/06/13,136
2022/06/14,203
2022/06/15,314
2022/06/16,382
2022/06/17,345
2022/06/18,359
2022/06/19,308
2022/06/20,207
2022/06/21,229
2022/06/22,443
2022/06/23,463
2022/06/24,416
2022/06/25,480
2022/06/26,510
2022/06/27,301
2022/06/28,468
2022/06/29,677
2022/06/30,670
2022/07/01,716
2022/07/02,640
2022/07/03,660
2022/07/04,420
2022/07/05,647
2022/07/06,727
2022/07/07,1007
2022/07/08,785
2022/07/09,679
2022/07/10,658
2022/07/11,429
2022/07/12,576
2022/07/13,932
2022/07/14,883
2022/07/15,816
2022/07/16,640
2022/07/17,643
2022/07/18,419
2022/07/19,468
2022/07/20,707
2022/07/21,700
2022/07/22,534
2022/07/23,486
2022/07/24,474
2022/07/25,279
2022/07/26,356
2022/07/27,531
2022/07/28,514
2022/07/29,425
2022/07/30,373
2022/07/31,370
2022/08/01,231
2022/08/02,288
2022/08/03,351
2022/08/04,301
2022/08/05,376
2022/08/06,213
2022/08/07,250
2022/08/08,153
2022/08/09,0
2022/08/10,422
2022/08/11,200
2022/08/12,210
2022/08/13,179
2022/08/14,168
2022/08/15,99
2022/08/16,85
2022/08/17,134
2022/08/18,218
2022/08/19,214
2022/08/20,174
2022/08/21,158
2022/08/22,101
2022/08/23,128
2022/08/24,145
2022/08/25,177
2022/08/26,142
2022/08/27,161
2022/08/28,197
2022/08/29,103
2022/08/30,167
2022/08/31,230
2022/09/01,177
2022/09/02,197
2022/09/03,185
2022/09/04,150
2022/09/05,109
2022/09/06,123
2022/09/07,162
2022/09/08,191
2022/09/09,146
2022/09/10,131
2022/09/11,114
2022/09/12,72
2022/09/13,0
2022/09/14,249
2022/09/15,139
2022/09/16,124
2022/09/17,135
2022/09/18,99
2022/09/19,77
2022/09/20,105
2022/09/21,184
2022/09/22,163
2022/09/23,159
2022/09/24,132
2022/09/25,160
2022/09/26,139
2022/09/27,158
2022/09/28,298
2022/09/29,321
2022/09/30,317
2022/10/01,294
2022/10/02,320
2022/10/03,193
