Datas,Lecce
2021/06/22,13
2021/06/23,4
2021/06/24,4
2021/06/25,9
2021/06/26,3
2021/06/27,6
2021/06/28,2
2021/06/29,3
2021/06/30,9
2021/07/01,22
2021/07/02,18
2021/07/03,23
2021/07/04,7
2021/07/05,9
2021/07/06,11
2021/07/07,15
2021/07/08,6
2021/07/09,12
2021/07/10,12
2021/07/11,11
2021/07/12,9
2021/07/13,39
2021/07/14,20
2021/07/15,15
2021/07/16,12
2021/07/17,29
2021/07/18,11
2021/07/19,22
2021/07/20,22
2021/07/21,36
2021/07/22,25
2021/07/23,23
2021/07/24,49
2021/07/25,72
2021/07/26,12
2021/07/27,27
2021/07/28,42
2021/07/29,32
2021/07/30,70
2021/07/31,32
2021/08/01,58
2021/08/02,4
2021/08/03,61
2021/08/04,44
2021/08/05,92
2021/08/06,29
2021/08/07,118
2021/08/08,44
2021/08/09,32
2021/08/10,82
2021/08/11,71
2021/08/12,145
2021/08/13,76
2021/08/14,86
2021/08/15,41
2021/08/16,31
2021/08/17,59
2021/08/18,92
2021/08/19,61
2021/08/20,87
2021/08/21,82
2021/08/22,66
2021/08/23,46
2021/08/24,46
2021/08/25,50
2021/08/26,70
2021/08/27,83
2021/08/28,68
2021/08/29,64
2021/08/30,43
2021/08/31,65
2021/09/01,80
2021/09/02,63
2021/09/03,115
2021/09/04,55
2021/09/05,43
2021/09/06,70
2021/09/07,40
2021/09/08,60
2021/09/09,61
2021/09/10,49
2021/09/11,45
2021/09/12,33
2021/09/13,49
2021/09/14,33
2021/09/15,73
2021/09/16,59
2021/09/17,56
2021/09/18,25
2021/09/19,51
2021/09/20,17
2021/09/21,47
2021/09/22,40
2021/09/23,41
2021/09/24,59
2021/09/25,24
2021/09/26,61
2021/09/27,22
2021/09/28,25
2021/09/29,40
2021/09/30,10
2021/10/01,46
2021/10/02,29
2021/10/03,16
2021/10/04,24
2021/10/05,9
2021/10/06,30
2021/10/07,18
2021/10/08,19
2021/10/09,24
2021/10/10,20
2021/10/11,7
2021/10/12,23
2021/10/13,19
2021/10/14,19
2021/10/15,17
2021/10/16,43
2021/10/17,20
2021/10/18,12
2021/10/19,25
2021/10/20,58
2021/10/21,20
2021/10/22,53
2021/10/23,29
2021/10/24,35
2021/10/25,12
2021/10/26,37
2021/10/27,46
2021/10/28,42
2021/10/29,36
2021/10/30,33
2021/10/31,34
2021/11/01,13
2021/11/02,36
2021/11/03,24
2021/11/04,47
2021/11/05,37
2021/11/06,33
2021/11/07,26
2021/11/08,47
2021/11/09,39
2021/11/10,30
2021/11/11,41
2021/11/12,27
2021/11/13,63
2021/11/14,25
2021/11/15,23
2021/11/16,16
2021/11/17,59
2021/11/18,64
2021/11/19,30
2021/11/20,44
2021/11/21,24
2021/11/22,37
2021/11/23,47
2021/11/24,53
2021/11/25,36
2021/11/26,57
2021/11/27,54
2021/11/28,25
2021/11/29,66
2021/11/30,64
2021/12/01,40
2021/12/02,76
2021/12/03,43
2021/12/04,50
2021/12/05,25
2021/12/06,32
2021/12/07,74
2021/12/08,80
2021/12/09,30
2021/12/10,80
2021/12/11,64
2021/12/12,86
2021/12/13,48
2021/12/14,111
2021/12/15,96
2021/12/16,111
2021/12/17,100
2021/12/18,77
2021/12/19,98
2021/12/20,82
2021/12/21,199
2021/12/22,124
2021/12/23,223
2021/12/24,157
2021/12/25,332
2021/12/26,220
2021/12/27,162
2021/12/28,507
2021/12/29,630
2021/12/30,1003
2021/12/31,1217
2022/01/01,698
2022/01/02,815
2022/01/03,745
2022/01/04,884
2022/01/05,933
2022/01/06,1022
2022/01/07,1265
2022/01/08,1953
2022/01/09,1197
2022/01/10,620
2022/01/11,1451
2022/01/12,1000
2022/01/13,614
2022/01/14,3872
2022/01/15,3853
2022/01/16,2929
2022/01/17,1318
2022/01/18,4693
2022/01/19,3049
2022/01/20,3113
2022/01/21,2550
2022/01/22,2383
2022/01/23,1846
2022/01/24,801
2022/01/25,2136
2022/01/26,1618
2022/01/27,1521
2022/01/28,1581
2022/01/29,2400
2022/01/30,482
2022/01/31,594
2022/02/01,1925
2022/02/02,1726
2022/02/03,1723
2022/02/04,1700
2022/02/05,1582
2022/02/06,1317
2022/02/07,645
2022/02/08,2438
2022/02/09,1278
2022/02/10,1482
2022/02/11,1340
2022/02/12,1243
2022/02/13,1132
2022/02/14,632
2022/02/15,1559
2022/02/16,1155
2022/02/17,1112
2022/02/18,1147
2022/02/19,1104
2022/02/20,994
2022/02/21,554
2022/02/22,1419
2022/02/23,1031
2022/02/24,1065
2022/02/25,1019
2022/02/26,896
2022/02/27,835
2022/02/28,513
2022/03/01,1272
2022/03/02,1052
2022/03/03,1170
2022/03/04,1204
2022/03/05,1201
2022/03/06,925
2022/03/07,652
2022/03/08,1888
2022/03/09,1305
2022/03/10,1488
2022/03/11,1464
2022/03/12,1697
2022/03/13,1496
2022/03/14,1118
2022/03/15,2559
2022/03/16,2111
2022/03/17,2683
2022/03/18,2616
2022/03/19,2177
2022/03/20,2139
2022/03/21,1065
2022/03/22,3339
2022/03/23,2018
2022/03/24,2262
2022/03/25,2095
2022/03/26,2130
2022/03/27,1714
2022/03/28,816
2022/03/29,2838
2022/03/30,1863
2022/03/31,1838
2022/04/01,1595
2022/04/02,1588
2022/04/03,1236
2022/04/04,620
2022/04/05,1759
2022/04/06,1188
2022/04/07,1108
2022/04/08,1074
2022/04/09,1048
2022/04/10,853
2022/04/11,422
2022/04/12,1459
2022/04/13,717
2022/04/14,986
2022/04/15,808
2022/04/16,956
2022/04/17,727
2022/04/18,298
2022/04/19,498
2022/04/20,1681
2022/04/21,1094
2022/04/22,1112
2022/04/23,1071
2022/04/24,805
2022/04/25,395
2022/04/26,573
2022/04/27,1370
2022/04/28,831
2022/04/29,756
2022/04/30,853
2022/05/01,503
2022/05/02,456
2022/05/03,876
2022/05/04,574
2022/05/05,671
2022/05/06,554
2022/05/07,531
2022/05/08,421
2022/05/09,279
2022/05/10,846
2022/05/11,564
2022/05/12,536
2022/05/13,572
2022/05/14,494
2022/05/15,391
2022/05/16,202
2022/05/17,685
2022/05/18,400
2022/05/19,394
2022/05/20,365
2022/05/21,328
2022/05/22,256
2022/05/23,125
2022/05/24,482
2022/05/25,336
2022/05/26,323
2022/05/27,341
2022/05/28,243
2022/05/29,236
2022/05/30,102
2022/05/31,386
2022/06/01,276
2022/06/02,253
2022/06/03,108
2022/06/04,317
2022/06/05,182
2022/06/06,147
2022/06/07,321
2022/06/08,262
