Datas,Messina
2021/11/03,8
2021/11/04,91
2021/11/05,5
2021/11/06,7
2021/11/07,57
2021/11/08,455
2021/11/09,134
2021/11/10,134
2021/11/11,132
2021/11/12,124
2021/11/13,21
2021/11/14,91
2021/11/15,135
2021/11/16,20
2021/11/17,93
2021/11/18,133
2021/11/19,146
2021/11/20,130
2021/11/21,206
2021/11/22,55
2021/11/23,40
2021/11/24,128
2021/11/25,129
2021/11/26,121
2021/11/27,174
2021/11/28,110
2021/11/29,94
2021/11/30,12
2021/12/01,196
2021/12/02,105
2021/12/03,193
2021/12/04,65
2021/12/05,134
2021/12/06,88
2021/12/07,213
2021/12/08,23
2021/12/09,210
2021/12/10,250
2021/12/11,29
2021/12/12,354
2021/12/13,73
2021/12/14,117
2021/12/15,352
2021/12/16,241
2021/12/17,266
2021/12/18,336
2021/12/19,242
2021/12/20,18
2021/12/21,264
2021/12/22,193
2021/12/23,393
2021/12/24,257
2021/12/25,388
2021/12/26,332
2021/12/27,299
2021/12/28,469
2021/12/29,478
2021/12/30,651
2021/12/31,771
2022/01/01,607
2022/01/02,604
2022/01/03,501
2022/01/04,1222
2022/01/05,1491
2022/01/06,1502
2022/01/07,1575
2022/01/08,1803
2022/01/09,1845
2022/01/10,1438
2022/01/11,1562
2022/01/12,1111
2022/01/13,998
2022/01/14,674
2022/01/15,725
2022/01/16,581
2022/01/17,197
2022/01/18,583
2022/01/19,586
2022/01/20,586
2022/01/21,511
2022/01/22,945
2022/01/23,547
2022/01/24,574
2022/01/25,857
2022/01/26,1026
2022/01/27,1011
2022/01/28,933
2022/01/29,1047
2022/01/30,1010
2022/01/31,791
2022/02/01,859
2022/02/02,1346
2022/02/03,801
2022/02/04,1097
2022/02/05,1420
2022/02/06,1037
2022/02/07,660
2022/02/08,890
2022/02/09,719
2022/02/10,1828
2022/02/11,900
2022/02/12,1060
2022/02/13,994
2022/02/14,341
2022/02/15,1003
2022/02/16,1356
2022/02/17,559
2022/02/18,861
2022/02/19,1175
2022/02/20,705
2022/02/21,355
2022/02/22,1021
2022/02/23,919
2022/02/24,964
2022/02/25,775
2022/02/26,805
2022/02/27,824
2022/02/28,601
2022/03/01,613
2022/03/02,786
2022/03/03,996
2022/03/04,362
2022/03/05,970
2022/03/06,749
2022/03/07,649
2022/03/08,1047
2022/03/09,779
2022/03/10,936
2022/03/11,855
2022/03/12,692
2022/03/13,1321
2022/03/14,227
2022/03/15,1385
2022/03/16,972
2022/03/17,2127
2022/03/18,1468
2022/03/19,1787
2022/03/20,1303
2022/03/21,778
2022/03/22,1564
2022/03/23,1461
2022/03/24,1393
2022/03/25,1001
2022/03/26,1340
2022/03/27,1075
2022/03/28,1035
2022/03/29,999
2022/03/30,1311
2022/03/31,1102
2022/04/01,1286
2022/04/02,784
2022/04/03,1510
2022/04/04,487
2022/04/05,1230
2022/04/06,931
2022/04/07,573
2022/04/08,1281
2022/04/09,608
2022/04/10,1102
2022/04/11,459
2022/04/12,1078
2022/04/13,792
2022/04/14,518
2022/04/15,817
2022/04/16,1174
2022/04/17,800
2022/04/18,280
2022/04/19,465
2022/04/20,1054
2022/04/21,1416
2022/04/22,982
2022/04/23,1012
2022/04/24,846
2022/04/25,189
2022/04/26,651
2022/04/27,813
2022/04/28,971
2022/04/29,429
2022/04/30,340
2022/05/01,962
2022/05/02,283
2022/05/03,718
2022/05/04,386
2022/05/05,678
2022/05/06,514
2022/05/07,312
2022/05/08,528
2022/05/09,234
2022/05/10,436
2022/05/11,611
2022/05/12,121
2022/05/13,357
2022/05/14,312
2022/05/15,585
2022/05/16,44
2022/05/17,451
2022/05/18,372
2022/05/19,379
2022/05/20,200
2022/05/21,217
2022/05/22,455
2022/05/23,154
2022/05/24,484
2022/05/25,264
2022/05/26,247
2022/05/27,148
2022/05/28,251
2022/05/29,137
2022/05/30,148
2022/05/31,413
2022/06/01,202
2022/06/02,277
2022/06/03,38
2022/06/04,462
2022/06/05,270
2022/06/06,55
2022/06/07,311
2022/06/08,309
2022/06/09,333
2022/06/10,339
2022/06/11,317
2022/06/12,305
2022/06/13,50
2022/06/14,356
2022/06/15,579
2022/06/16,287
2022/06/17,488
2022/06/18,12
2022/06/19,669
2022/06/20,93
2022/06/21,560
2022/06/22,421
2022/06/23,972
2022/06/24,750
2022/06/25,484
2022/06/26,657
2022/06/27,110
2022/06/28,903
2022/06/29,814
2022/06/30,1122
2022/07/01,697
2022/07/02,1142
2022/07/03,920
2022/07/04,734
2022/07/05,1175
2022/07/06,1593
2022/07/07,1404
2022/07/08,1653
2022/07/09,1202
2022/07/10,1233
2022/07/11,617
2022/07/12,1806
2022/07/13,1772
2022/07/14,1000
