Datas,Perugia
2021/11/21,84
2021/11/22,6
2021/11/23,58
2021/11/24,90
2021/11/25,68
2021/11/26,55
2021/11/27,82
2021/11/28,59
2021/11/29,10
2021/11/30,56
2021/12/01,85
2021/12/02,74
2021/12/03,115
2021/12/04,110
2021/12/05,101
2021/12/06,31
2021/12/07,121
2021/12/08,101
2021/12/09,44
2021/12/10,170
2021/12/11,141
2021/12/12,87
2021/12/13,79
2021/12/14,208
2021/12/15,166
2021/12/16,192
2021/12/17,270
2021/12/18,272
2021/12/19,230
2021/12/20,57
2021/12/21,403
2021/12/22,484
2021/12/23,728
2021/12/24,930
2021/12/25,749
2021/12/26,158
2021/12/27,776
2021/12/28,1971
2021/12/29,2353
2021/12/30,2299
2021/12/31,2005
2022/01/01,2562
2022/01/02,469
2022/01/03,946
2022/01/04,2603
2022/01/05,2668
2022/01/06,2218
2022/01/07,664
2022/01/08,2577
2022/01/09,1796
2022/01/10,761
2022/01/11,2070
2022/01/12,1861
2022/01/13,1421
2022/01/14,1469
2022/01/15,1390
2022/01/16,1385
2022/01/17,550
2022/01/18,1727
2022/01/19,1690
2022/01/20,1612
2022/01/21,1685
2022/01/22,1646
2022/01/23,1416
2022/01/24,576
2022/01/25,1677
2022/01/26,1622
2022/01/27,1370
2022/01/28,1461
2022/01/29,1271
2022/01/30,1237
2022/01/31,459
2022/02/01,1482
2022/02/02,1414
2022/02/03,1164
2022/02/04,1031
2022/02/05,972
2022/02/06,983
2022/02/07,404
2022/02/08,842
2022/02/09,1205
2022/02/10,898
2022/02/11,756
2022/02/12,629
2022/02/13,599
2022/02/14,284
2022/02/15,731
2022/02/16,720
2022/02/17,732
2022/02/18,607
2022/02/19,623
2022/02/20,583
2022/02/21,285
2022/02/22,715
2022/02/23,646
2022/02/24,551
2022/02/25,618
2022/02/26,504
2022/02/27,476
2022/02/28,252
2022/03/01,648
2022/03/02,656
2022/03/03,663
2022/03/04,791
2022/03/05,733
2022/03/06,846
2022/03/07,402
2022/03/08,1180
2022/03/09,1182
2022/03/10,1169
2022/03/11,1322
2022/03/12,1220
2022/03/13,1325
2022/03/14,649
2022/03/15,1939
2022/03/16,1690
2022/03/17,1797
2022/03/18,1614
2022/03/19,1381
2022/03/20,1445
2022/03/21,601
2022/03/22,1737
2022/03/23,1569
2022/03/24,1336
2022/03/25,1371
2022/03/26,1249
2022/03/27,1147
2022/03/28,601
2022/03/29,1599
2022/03/30,1377
2022/03/31,1141
2022/04/01,1217
2022/04/02,997
2022/04/03,886
2022/04/04,429
2022/04/05,1165
2022/04/06,1090
2022/04/07,968
2022/04/08,947
2022/04/09,826
2022/04/10,843
2022/04/11,517
2022/04/12,950
2022/04/13,1029
2022/04/14,894
2022/04/15,804
2022/04/16,883
2022/04/17,708
2022/04/18,349
2022/04/19,369
2022/04/20,1151
2022/04/21,1080
2022/04/22,1013
2022/04/23,1026
2022/04/24,806
2022/04/25,410
2022/04/26,358
2022/04/27,786
2022/04/28,1200
2022/04/29,823
2022/04/30,712
2022/05/01,632
2022/05/02,297
2022/05/03,730
2022/05/04,672
2022/05/05,660
2022/05/06,702
2022/05/07,518
2022/05/08,519
2022/05/09,281
2022/05/10,584
2022/05/11,562
2022/05/12,599
2022/05/13,486
2022/05/14,437
2022/05/15,444
2022/05/16,191
2022/05/17,467
2022/05/18,458
2022/05/19,435
2022/05/20,378
2022/05/21,357
2022/05/22,291
2022/05/23,160
2022/05/24,350
2022/05/25,302
2022/05/26,295
2022/05/27,319
2022/05/28,152
2022/05/29,358
2022/05/30,124
2022/05/31,279
2022/06/01,304
2022/06/02,294
2022/06/03,153
2022/06/04,260
2022/06/05,224
2022/06/06,147
2022/06/07,357
2022/06/08,328
2022/06/09,346
2022/06/10,300
2022/06/11,272
2022/06/12,283
2022/06/13,128
2022/06/14,406
2022/06/15,425
2022/06/16,364
2022/06/17,428
2022/06/18,452
2022/06/19,390
2022/06/20,225
2022/06/21,589
2022/06/22,576
2022/06/23,693
2022/06/24,710
2022/06/25,699
2022/06/26,701
2022/06/27,442
2022/06/28,1041
2022/06/29,950
2022/06/30,1187
2022/07/01,1109
2022/07/02,1122
2022/07/03,1114
2022/07/04,495
2022/07/05,1532
2022/07/06,1452
2022/07/07,1472
2022/07/08,1355
2022/07/09,1338
2022/07/10,1259
2022/07/11,640
2022/07/12,1569
2022/07/13,1607
2022/07/14,1522
2022/07/15,1336
2022/07/16,1210
2022/07/17,955
2022/07/18,550
2022/07/19,1485
2022/07/20,1236
2022/07/21,1180
2022/07/22,996
2022/07/23,899
2022/07/24,916
2022/07/25,438
2022/07/26,1025
2022/07/27,914
2022/07/28,866
2022/07/29,693
2022/07/30,687
2022/07/31,610
2022/08/01,338
2022/08/02,856
2022/08/03,653
2022/08/04,603
2022/08/05,512
2022/08/06,512
2022/08/07,442
2022/08/08,212
2022/08/09,482
2022/08/10,476
2022/08/11,413
2022/08/12,358
2022/08/13,321
2022/08/14,261
2022/08/15,184
2022/08/16,127
2022/08/17,385
2022/08/18,342
2022/08/19,301
2022/08/20,293
2022/08/21,255
2022/08/22,159
2022/08/23,355
2022/08/24,291
2022/08/25,268
2022/08/26,219
2022/08/27,245
2022/08/28,205
2022/08/29,119
2022/08/30,256
2022/08/31,258
2022/09/01,251
2022/09/02,163
2022/09/03,227
2022/09/04,183
2022/09/05,73
2022/09/06,246
2022/09/07,207
2022/09/08,226
2022/09/09,180
2022/09/10,264
2022/09/11,201
2022/09/12,119
2022/09/13,236
2022/09/14,261
2022/09/15,279
2022/09/16,283
2022/09/17,244
2022/09/18,283
2022/09/19,116
2022/09/20,345
2022/09/21,362
2022/09/22,353
2022/09/23,347
2022/09/24,343
2022/09/25,348
2022/09/26,229
2022/09/27,606
2022/09/28,594
2022/09/29,666
2022/09/30,582
2022/10/01,0
2022/10/02,841
2022/10/03,367
