Datas,Massa Carrara
2021/08/28,26
2021/08/29,21
2021/08/30,23
2021/08/31,9
2021/09/01,24
2021/09/02,12
2021/09/03,20
2021/09/04,10
2021/09/05,27
2021/09/06,23
2021/09/07,2
2021/09/08,26
2021/09/09,20
2021/09/10,11
2021/09/11,17
2021/09/12,16
2021/09/13,9
2021/09/14,3
2021/09/15,10
2021/09/16,13
2021/09/17,10
2021/09/18,10
2021/09/19,15
2021/09/20,7
2021/09/21,8
2021/09/22,13
2021/09/23,13
2021/09/24,0
2021/09/25,5
2021/09/26,4
2021/09/27,2
2021/09/28,6
2021/09/29,19
2021/09/30,16
2021/10/01,13
2021/10/02,14
2021/10/03,17
2021/10/04,7
2021/10/05,1
2021/10/06,8
2021/10/07,6
2021/10/08,9
2021/10/09,7
2021/10/10,10
2021/10/11,6
2021/10/12,1
2021/10/13,5
2021/10/14,6
2021/10/15,11
2021/10/16,10
2021/10/17,10
2021/10/18,3
2021/10/19,7
2021/10/20,20
2021/10/21,23
2021/10/22,18
2021/10/23,11
2021/10/24,18
2021/10/25,16
2021/10/26,5
2021/10/27,24
2021/10/28,15
2021/10/29,17
2021/10/30,15
2021/10/31,19
2021/11/01,16
2021/11/02,4
2021/11/03,16
2021/11/04,28
2021/11/05,23
2021/11/06,22
2021/11/07,15
2021/11/08,21
2021/11/09,9
2021/11/10,25
2021/11/11,28
2021/11/12,25
2021/11/13,16
2021/11/14,19
2021/11/15,18
2021/11/16,6
2021/11/17,18
2021/11/18,25
2021/11/19,30
2021/11/20,33
2021/11/21,26
2021/11/22,17
2021/11/23,12
2021/11/24,29
2021/11/25,32
2021/11/26,39
2021/11/27,24
2021/11/28,56
2021/11/29,36
2021/11/30,15
2021/12/01,42
2021/12/02,33
2021/12/03,67
2021/12/04,61
2021/12/05,46
2021/12/06,67
2021/12/07,19
2021/12/08,34
2021/12/09,43
2021/12/10,38
2021/12/11,49
2021/12/12,47
2021/12/13,44
2021/12/14,14
2021/12/15,50
2021/12/16,57
2021/12/17,59
2021/12/18,65
2021/12/19,72
2021/12/20,65
2021/12/21,38
2021/12/22,114
2021/12/23,149
2021/12/24,160
2021/12/25,148
2021/12/26,101
2021/12/27,176
2021/12/28,174
2021/12/29,221
2021/12/30,553
2021/12/31,686
2022/01/01,676
2022/01/02,319
2022/01/03,181
2022/01/04,776
2022/01/05,766
2022/01/06,783
2022/01/07,232
2022/01/08,740
2022/01/09,621
2022/01/10,276
2022/01/11,722
2022/01/12,714
2022/01/13,528
2022/01/14,529
2022/01/15,473
2022/01/16,464
2022/01/17,231
2022/01/18,593
2022/01/19,567
2022/01/20,526
2022/01/21,450
2022/01/22,432
2022/01/23,411
2022/01/24,159
2022/01/25,556
2022/01/26,424
2022/01/27,438
2022/01/28,402
2022/01/29,353
2022/01/30,351
2022/01/31,160
2022/02/01,421
2022/02/02,270
2022/02/03,299
2022/02/04,264
2022/02/05,276
2022/02/06,234
2022/02/07,104
2022/02/08,304
2022/02/09,220
2022/02/10,179
2022/02/11,221
2022/02/12,172
2022/02/13,176
2022/02/14,81
2022/02/15,203
2022/02/16,142
2022/02/17,153
2022/02/18,177
2022/02/19,142
2022/02/20,149
2022/02/21,49
2022/02/22,247
2022/02/23,156
2022/02/24,198
2022/02/25,117
2022/02/26,117
2022/02/27,107
2022/02/28,43
2022/03/01,181
2022/03/02,108
2022/03/03,174
2022/03/04,173
2022/03/05,145
2022/03/06,136
2022/03/07,105
2022/03/08,219
2022/03/09,174
2022/03/10,251
2022/03/11,211
2022/03/12,218
2022/03/13,199
2022/03/14,92
2022/03/15,386
2022/03/16,283
2022/03/17,293
2022/03/18,314
2022/03/19,321
2022/03/20,276
2022/03/21,114
2022/03/22,470
2022/03/23,376
2022/03/24,334
2022/03/25,334
2022/03/26,278
2022/03/27,281
2022/03/28,97
2022/03/29,462
2022/03/30,321
2022/03/31,272
2022/04/01,278
2022/04/02,278
2022/04/03,222
2022/04/04,101
2022/04/05,382
2022/04/06,282
2022/04/07,309
2022/04/08,290
2022/04/09,300
2022/04/10,254
2022/04/11,96
2022/04/12,408
2022/04/13,257
2022/04/14,233
2022/04/15,204
2022/04/16,243
2022/04/17,200
2022/04/18,33
2022/04/19,59
2022/04/20,435
2022/04/21,276
2022/04/22,239
2022/04/23,235
2022/04/24,186
2022/04/25,100
2022/04/26,46
2022/04/27,314
2022/04/28,189
2022/04/29,192
2022/04/30,123
2022/05/01,128
2022/05/02,37
2022/05/03,200
2022/05/04,126
2022/05/05,150
2022/05/06,117
2022/05/07,96
2022/05/08,100
2022/05/09,41
2022/05/10,177
2022/05/11,158
2022/05/12,127
2022/05/13,69
2022/05/14,125
2022/05/15,122
2022/05/16,23
2022/05/17,139
2022/05/18,79
2022/05/19,110
2022/05/20,94
2022/05/21,71
2022/05/22,48
2022/05/23,15
2022/05/24,87
2022/05/25,67
2022/05/26,65
2022/05/27,43
2022/05/28,56
2022/05/29,28
2022/05/30,21
2022/05/31,61
2022/06/01,46
2022/06/02,53
2022/06/03,9
2022/06/04,59
2022/06/05,32
2022/06/06,10
2022/06/07,79
2022/06/08,64
2022/06/09,67
2022/06/10,44
2022/06/11,55
2022/06/12,66
2022/06/13,34
2022/06/14,94
2022/06/15,80
2022/06/16,74
2022/06/17,95
2022/06/18,91
2022/06/19,90
2022/06/20,22
2022/06/21,206
2022/06/22,168
2022/06/23,142
2022/06/24,157
2022/06/25,171
2022/06/26,120
2022/06/27,72
2022/06/28,270
2022/06/29,218
2022/06/30,205
2022/07/01,199
2022/07/02,206
2022/07/03,163
2022/07/04,61
2022/07/05,350
2022/07/06,237
2022/07/07,254
2022/07/08,228
2022/07/09,233
2022/07/10,169
2022/07/11,50
2022/07/12,327
2022/07/13,276
2022/07/14,311
2022/07/15,278
2022/07/16,252
2022/07/17,196
2022/07/18,79
2022/07/19,355
2022/07/20,230
2022/07/21,247
2022/07/22,201
2022/07/23,202
2022/07/24,165
2022/07/25,27
2022/07/26,321
2022/07/27,230
2022/07/28,208
2022/07/29,172
2022/07/30,185
2022/07/31,126
2022/08/01,74
2022/08/02,229
2022/08/03,192
2022/08/04,136
2022/08/05,116
2022/08/06,108
2022/08/07,124
2022/08/08,40
2022/08/09,173
2022/08/10,127
2022/08/11,129
2022/08/12,108
2022/08/13,101
2022/08/14,77
2022/08/15,26
2022/08/16,39
2022/08/17,161
2022/08/18,97
2022/08/19,87
2022/08/20,95
2022/08/21,63
2022/08/22,24
2022/08/23,137
2022/08/24,84
2022/08/25,87
2022/08/26,92
2022/08/27,86
2022/08/28,69
2022/08/29,20
2022/08/30,111
2022/08/31,67
2022/09/01,49
2022/09/02,81
2022/09/03,62
2022/09/04,50
2022/09/05,18
2022/09/06,95
2022/09/07,60
2022/09/08,73
2022/09/09,53
2022/09/10,75
2022/09/11,47
2022/09/12,20
2022/09/13,68
2022/09/14,42
2022/09/15,50
2022/09/16,44
2022/09/17,54
2022/09/18,40
2022/09/19,18
2022/09/20,86
2022/09/21,78
2022/09/22,65
2022/09/23,60
2022/09/24,55
2022/09/25,62
2022/09/26,19
2022/09/27,109
2022/09/28,121
2022/09/29,122
2022/09/30,86
2022/10/01,81
2022/10/02,86
2022/10/03,27
