Datas,Viterbo
2022/03/20,375
2022/03/21,143
2022/03/22,672
2022/03/23,391
2022/03/24,475
2022/03/25,416
2022/03/26,413
2022/03/27,361
2022/03/28,103
2022/03/29,577
2022/03/30,333
2022/03/31,378
2022/04/01,297
2022/04/02,297
2022/04/03,266
2022/04/04,107
2022/04/05,587
2022/04/06,320
2022/04/07,365
2022/04/08,268
2022/04/09,366
2022/04/10,312
2022/04/11,123
2022/04/12,479
2022/04/13,325
2022/04/14,377
2022/04/15,271
2022/04/16,269
2022/04/17,257
2022/04/18,63
2022/04/19,92
2022/04/20,579
2022/04/21,337
2022/04/22,327
2022/04/23,322
2022/04/24,298
2022/04/25,41
2022/04/26,130
2022/04/27,445
2022/04/28,228
2022/04/29,266
2022/04/30,181
2022/05/01,159
2022/05/02,104
2022/05/03,244
2022/05/04,152
2022/05/05,220
2022/05/06,162
2022/05/07,133
2022/05/08,109
2022/05/09,22
2022/05/10,260
2022/05/11,148
2022/05/12,143
2022/05/13,110
2022/05/14,111
2022/05/15,91
2022/05/16,32
2022/05/17,165
2022/05/18,80
2022/05/19,136
2022/05/20,106
2022/05/21,78
2022/05/22,66
2022/05/23,29
2022/05/24,155
2022/05/25,226
2022/05/26,122
2022/05/27,92
2022/05/28,78
2022/05/29,75
2022/05/30,12
2022/05/31,133
2022/06/01,71
2022/06/02,126
2022/06/03,20
2022/06/04,131
2022/06/05,89
2022/06/06,16
2022/06/07,163
2022/06/08,103
2022/06/09,99
2022/06/10,95
2022/06/11,105
2022/06/12,93
2022/06/13,23
2022/06/14,175
2022/06/15,98
2022/06/16,143
2022/06/17,159
2022/06/18,147
2022/06/19,146
2022/06/20,34
2022/06/21,267
2022/06/22,197
2022/06/23,212
2022/06/24,210
2022/06/25,250
2022/06/26,239
2022/06/27,48
2022/06/28,412
2022/06/29,249
2022/06/30,403
2022/07/01,321
2022/07/02,330
2022/07/03,317
2022/07/04,61
2022/07/05,550
2022/07/06,535
2022/07/07,426
2022/07/08,359
2022/07/09,354
2022/07/10,359
2022/07/11,52
2022/07/12,595
2022/07/13,416
2022/07/14,412
2022/07/15,361
2022/07/16,377
2022/07/17,316
2022/07/18,57
2022/07/19,566
2022/07/20,280
2022/07/21,354
2022/07/22,251
2022/07/23,216
2022/07/24,223
2022/07/25,68
2022/07/26,338
2022/07/27,258
2022/07/28,228
2022/07/29,156
2022/07/30,174
2022/07/31,183
2022/08/01,38
2022/08/02,296
2022/08/03,167
2022/08/04,177
2022/08/05,177
2022/08/06,156
2022/08/07,150
2022/08/08,25
2022/08/09,185
2022/08/10,120
2022/08/11,114
2022/08/12,110
2022/08/13,115
2022/08/14,85
2022/08/15,37
2022/08/16,23
2022/08/17,143
2022/08/18,82
2022/08/19,96
2022/08/20,91
2022/08/21,84
2022/08/22,24
2022/08/23,122
2022/08/24,106
2022/08/25,85
2022/08/26,63
2022/08/27,81
2022/08/28,85
2022/08/29,19
2022/08/30,119
2022/08/31,58
2022/09/01,87
2022/09/02,65
2022/09/03,69
2022/09/04,57
2022/09/05,11
2022/09/06,126
2022/09/07,75
2022/09/08,76
2022/09/09,64
2022/09/10,74
2022/09/11,77
2022/09/12,16
2022/09/13,118
2022/09/14,73
2022/09/15,101
2022/09/16,95
2022/09/17,69
2022/09/18,93
2022/09/19,12
2022/09/20,150
2022/09/21,74
2022/09/22,111
2022/09/23,75
2022/09/24,96
2022/09/25,106
2022/09/26,13
2022/09/27,206
2022/09/28,168
2022/09/29,172
2022/09/30,142
2022/10/01,149
2022/10/02,141
2022/10/03,29
