Datas,Benevento
2022/05/23,31
2022/05/24,190
2022/05/25,113
2022/05/26,112
2022/05/27,118
2022/05/28,131
2022/05/29,68
2022/05/30,18
2022/05/31,158
2022/06/01,86
2022/06/02,86
2022/06/03,23
2022/06/04,131
2022/06/05,45
2022/06/06,22
2022/06/07,105
2022/06/08,63
2022/06/09,57
2022/06/10,57
2022/06/11,70
2022/06/12,76
2022/06/13,11
2022/06/14,116
2022/06/15,58
2022/06/16,89
2022/06/17,101
2022/06/18,101
2022/06/19,97
2022/06/20,22
2022/06/21,175
2022/06/22,149
2022/06/23,165
2022/06/24,180
2022/06/25,186
2022/06/26,160
2022/06/27,40
2022/06/28,322
2022/06/29,243
2022/06/30,313
2022/07/01,283
2022/07/02,306
2022/07/03,299
2022/07/04,93
2022/07/05,534
2022/07/06,397
2022/07/07,360
2022/07/08,406
2022/07/09,411
2022/07/10,396
2022/07/11,111
2022/07/12,740
2022/07/13,459
2022/07/14,532
2022/07/15,481
2022/07/16,456
2022/07/17,309
2022/07/18,91
2022/07/19,754
2022/07/20,601
2022/07/21,434
2022/07/22,426
2022/07/23,394
2022/07/24,287
2022/07/25,109
2022/07/26,594
2022/07/27,322
2022/07/28,279
2022/07/29,267
2022/07/30,270
2022/07/31,255
2022/08/01,55
2022/08/02,380
2022/08/03,221
2022/08/04,189
2022/08/05,209
2022/08/06,208
2022/08/07,138
2022/08/08,46
2022/08/09,277
2022/08/10,160
2022/08/11,165
2022/08/12,153
2022/08/13,157
2022/08/14,116
2022/08/15,33
2022/08/16,39
2022/08/17,264
2022/08/18,152
2022/08/19,207
2022/08/20,160
2022/08/21,125
2022/08/22,37
2022/08/23,283
2022/08/24,158
2022/08/25,183
2022/08/26,171
2022/08/27,160
2022/08/28,117
2022/08/29,41
2022/08/30,193
2022/08/31,105
2022/09/01,109
2022/09/02,179
2022/09/03,105
2022/09/04,84
2022/09/05,20
2022/09/06,200
2022/09/07,106
2022/09/08,115
2022/09/09,87
2022/09/10,105
2022/09/11,74
2022/09/12,22
2022/09/13,187
2022/09/14,133
2022/09/15,86
2022/09/16,67
2022/09/17,116
2022/09/18,65
2022/09/19,8
2022/09/20,189
2022/09/21,99
2022/09/22,109
2022/09/23,98
2022/09/24,113
2022/09/25,96
2022/09/26,42
2022/09/27,220
2022/09/28,142
2022/09/29,163
2022/09/30,147
2022/10/01,161
2022/10/02,133
2022/10/03,28
