Datas,Grosseto
2022/02/02,532
2022/02/03,487
2022/02/04,468
2022/02/05,424
2022/02/06,462
2022/02/07,177
2022/02/08,475
2022/02/09,269
2022/02/10,347
2022/02/11,303
2022/02/12,274
2022/02/13,225
2022/02/14,115
2022/02/15,315
2022/02/16,317
2022/02/17,256
2022/02/18,246
2022/02/19,227
2022/02/20,177
2022/02/21,117
2022/02/22,251
2022/02/23,232
2022/02/24,226
2022/02/25,210
2022/02/26,146
2022/02/27,158
2022/02/28,77
2022/03/01,221
2022/03/02,183
2022/03/03,236
2022/03/04,202
2022/03/05,257
2022/03/06,242
2022/03/07,134
2022/03/08,366
2022/03/09,308
2022/03/10,364
2022/03/11,338
2022/03/12,391
2022/03/13,335
2022/03/14,142
2022/03/15,512
2022/03/16,446
2022/03/17,479
2022/03/18,480
2022/03/19,468
2022/03/20,346
2022/03/21,199
2022/03/22,522
2022/03/23,406
2022/03/24,381
2022/03/25,393
2022/03/26,359
2022/03/27,274
2022/03/28,153
2022/03/29,480
2022/03/30,375
2022/03/31,358
2022/04/01,335
2022/04/02,316
2022/04/03,227
2022/04/04,152
2022/04/05,368
2022/04/06,296
2022/04/07,305
2022/04/08,277
2022/04/09,267
2022/04/10,204
2022/04/11,135
2022/04/12,375
2022/04/13,241
2022/04/14,269
2022/04/15,252
2022/04/16,239
2022/04/17,209
2022/04/18,58
2022/04/19,92
2022/04/20,381
2022/04/21,256
2022/04/22,288
2022/04/23,258
2022/04/24,194
2022/04/25,112
2022/04/26,79
2022/04/27,388
2022/04/28,241
2022/04/29,197
2022/04/30,185
2022/05/01,145
2022/05/02,40
2022/05/03,226
2022/05/04,146
2022/05/05,175
2022/05/06,122
2022/05/07,130
2022/05/08,101
2022/05/09,61
2022/05/10,193
2022/05/11,140
2022/05/12,132
2022/05/13,98
2022/05/14,113
2022/05/15,105
2022/05/16,46
2022/05/17,175
2022/05/18,112
2022/05/19,136
2022/05/20,116
2022/05/21,111
2022/05/22,90
2022/05/23,29
2022/05/24,149
2022/05/25,91
2022/05/26,81
2022/05/27,74
2022/05/28,89
2022/05/29,51
2022/05/30,26
2022/05/31,118
2022/06/01,82
2022/06/02,76
2022/06/03,29
2022/06/04,89
2022/06/05,45
2022/06/06,23
2022/06/07,111
2022/06/08,66
2022/06/09,74
2022/06/10,52
2022/06/11,57
2022/06/12,60
2022/06/13,25
2022/06/14,105
2022/06/15,70
2022/06/16,88
