Datas,Barletta-Andria-Trani
2022/04/06,397
2022/04/07,394
2022/04/08,405
2022/04/09,407
2022/04/10,287
2022/04/11,134
2022/04/12,521
2022/04/13,292
2022/04/14,340
2022/04/15,334
2022/04/16,391
2022/04/17,204
2022/04/18,118
2022/04/19,168
2022/04/20,510
2022/04/21,295
2022/04/22,342
2022/04/23,393
2022/04/24,322
2022/04/25,117
2022/04/26,216
2022/04/27,498
2022/04/28,261
2022/04/29,280
2022/04/30,267
2022/05/01,176
2022/05/02,128
2022/05/03,313
2022/05/04,170
2022/05/05,246
2022/05/06,182
2022/05/07,172
2022/05/08,119
2022/05/09,64
2022/05/10,239
2022/05/11,140
2022/05/12,163
2022/05/13,142
2022/05/14,147
2022/05/15,101
2022/05/16,42
2022/05/17,205
2022/05/18,130
2022/05/19,127
2022/05/20,127
2022/05/21,114
2022/05/22,73
2022/05/23,44
2022/05/24,169
2022/05/25,79
2022/05/26,97
2022/05/27,86
2022/05/28,62
2022/05/29,61
2022/05/30,33
2022/05/31,100
2022/06/01,70
2022/06/02,95
2022/06/03,37
2022/06/04,115
2022/06/05,80
2022/06/06,54
2022/06/07,161
2022/06/08,126
2022/06/09,134
2022/06/10,108
2022/06/11,142
2022/06/12,107
2022/06/13,73
2022/06/14,307
2022/06/15,222
2022/06/16,192
2022/06/17,236
2022/06/18,237
2022/06/19,235
2022/06/20,183
2022/06/21,406
2022/06/22,401
2022/06/23,430
2022/06/24,346
2022/06/25,412
2022/06/26,290
2022/06/27,181
2022/06/28,709
2022/06/29,623
2022/06/30,468
2022/07/01,568
2022/07/02,619
2022/07/03,486
2022/07/04,318
2022/07/05,941
2022/07/06,722
2022/07/07,743
2022/07/08,767
2022/07/09,680
2022/07/10,472
2022/07/11,246
2022/07/12,873
2022/07/13,754
2022/07/14,776
2022/07/15,725
2022/07/16,539
2022/07/17,418
2022/07/18,222
2022/07/19,779
2022/07/20,528
2022/07/21,527
2022/07/22,469
2022/07/23,389
2022/07/24,301
2022/07/25,139
2022/07/26,589
2022/07/27,305
2022/07/28,304
2022/07/29,252
2022/07/30,245
2022/07/31,187
2022/08/01,90
2022/08/02,296
2022/08/03,229
2022/08/04,213
2022/08/05,184
2022/08/06,176
2022/08/07,111
2022/08/08,46
2022/08/09,171
2022/08/10,155
2022/08/11,125
2022/08/12,126
2022/08/13,135
2022/08/14,70
2022/08/15,37
2022/08/16,32
2022/08/17,127
2022/08/18,87
2022/08/19,94
2022/08/20,88
2022/08/21,42
2022/08/22,45
2022/08/23,128
2022/08/24,109
2022/08/25,77
2022/08/26,68
2022/08/27,60
2022/08/28,43
2022/08/29,19
2022/08/30,72
2022/08/31,49
2022/09/01,59
2022/09/02,51
2022/09/03,66
2022/09/04,29
2022/09/05,15
2022/09/06,75
