Datas,Genova
2021/06/19,3
2021/06/20,9
2021/06/21,4
2021/06/22,5
2021/06/23,7
2021/06/24,3
2021/06/25,2
2021/06/26,3
2021/06/27,5
2021/06/28,0
2021/06/29,4
2021/06/30,9
2021/07/01,6
2021/07/02,6
2021/07/03,4
2021/07/04,6
2021/07/05,9
2021/07/06,1
2021/07/07,13
2021/07/08,7
2021/07/09,11
2021/07/10,8
2021/07/11,9
2021/07/12,1
2021/07/13,10
2021/07/14,20
2021/07/15,9
2021/07/16,24
2021/07/17,22
2021/07/18,36
2021/07/19,20
2021/07/20,26
2021/07/21,62
2021/07/22,56
2021/07/23,57
2021/07/24,82
2021/07/25,41
2021/07/26,37
2021/07/27,37
2021/07/28,56
2021/07/29,50
2021/07/30,40
2021/07/31,59
2021/08/01,85
2021/08/02,30
2021/08/03,28
2021/08/04,48
2021/08/05,55
2021/08/06,60
2021/08/07,41
2021/08/08,53
2021/08/09,42
2021/08/10,29
2021/08/11,62
2021/08/12,53
2021/08/13,50
2021/08/14,98
2021/08/15,62
2021/08/16,45
2021/08/17,40
2021/08/18,50
2021/08/19,83
2021/08/20,92
2021/08/21,70
2021/08/22,75
2021/08/23,34
2021/08/24,65
2021/08/25,84
2021/08/26,49
2021/08/27,57
2021/08/28,78
2021/08/29,67
2021/08/30,28
2021/08/31,33
2021/09/01,40
2021/09/02,65
2021/09/03,62
2021/09/04,59
2021/09/05,49
2021/09/06,26
2021/09/07,-24
2021/09/08,67
2021/09/09,68
2021/09/10,53
2021/09/11,34
2021/09/12,33
2021/09/13,45
2021/09/14,37
2021/09/15,46
2021/09/16,38
2021/09/17,43
2021/09/18,28
2021/09/19,33
2021/09/20,33
2021/09/21,15
2021/09/22,37
2021/09/23,35
2021/09/24,30
2021/09/25,27
2021/09/26,43
2021/09/27,1
2021/09/28,23
2021/09/29,33
2021/09/30,25
2021/10/01,41
2021/10/02,27
2021/10/03,27
2021/10/04,13
2021/10/05,12
2021/10/06,18
2021/10/07,27
2021/10/08,34
2021/10/09,37
2021/10/10,32
2021/10/11,13
2021/10/12,23
2021/10/13,34
2021/10/14,17
2021/10/15,25
2021/10/16,23
2021/10/17,17
2021/10/18,27
2021/10/19,15
2021/10/20,27
2021/10/21,46
2021/10/22,37
2021/10/23,26
2021/10/24,24
2021/10/25,26
2021/10/26,18
2021/10/27,44
2021/10/28,71
2021/10/29,70
2021/10/30,29
2021/10/31,52
2021/11/01,43
2021/11/02,23
2021/11/03,48
2021/11/04,49
2021/11/05,70
2021/11/06,84
2021/11/07,60
2021/11/08,47
2021/11/09,60
2021/11/10,76
2021/11/11,112
2021/11/12,100
2021/11/13,113
2021/11/14,113
2021/11/15,71
2021/11/16,68
2021/11/17,107
2021/11/18,142
2021/11/19,196
2021/11/20,171
2021/11/21,177
2021/11/22,96
2021/11/23,121
2021/11/24,206
2021/11/25,190
2021/11/26,284
2021/11/27,138
2021/11/28,231
2021/11/29,72
2021/11/30,198
2021/12/01,226
2021/12/02,254
2021/12/03,274
2021/12/04,209
2021/12/05,229
2021/12/06,135
2021/12/07,177
2021/12/08,310
2021/12/09,159
2021/12/10,268
2021/12/11,268
2021/12/12,132
2021/12/13,247
2021/12/14,264
2021/12/15,294
2021/12/16,405
2021/12/17,381
2021/12/18,445
2021/12/19,173
2021/12/20,363
2021/12/21,292
2021/12/22,441
2021/12/23,492
2021/12/24,567
2021/12/25,606
2021/12/26,368
2021/12/27,133
2021/12/28,634
2021/12/29,721
2021/12/30,669
2021/12/31,994
2022/01/01,1233
2022/01/02,494
2022/01/03,179
2022/01/04,1137
2022/01/05,984
2022/01/06,1472
2022/01/07,725
2022/01/08,1224
2022/01/09,483
2022/01/10,10343
2022/01/11,4409
2022/01/12,3190
2022/01/13,3064
2022/01/14,3048
2022/01/15,3490
2022/01/16,2293
2022/01/17,1224
2022/01/18,4604
2022/01/19,3724
