Datas,Brindisi
2021/08/16,23
2021/08/17,13
2021/08/18,28
2021/08/19,30
2021/08/20,42
2021/08/21,16
2021/08/22,30
2021/08/23,7
2021/08/24,24
2021/08/25,15
2021/08/26,40
2021/08/27,20
2021/08/28,35
2021/08/29,16
2021/08/30,0
2021/08/31,25
2021/09/01,35
2021/09/02,28
2021/09/03,8
2021/09/04,28
2021/09/05,7
2021/09/06,0
2021/09/07,4
2021/09/08,16
2021/09/09,8
2021/09/10,24
2021/09/11,37
2021/09/12,8
2021/09/13,7
2021/09/14,18
2021/09/15,9
2021/09/16,40
2021/09/17,5
2021/09/18,28
2021/09/19,5
2021/09/20,2
2021/09/21,12
2021/09/22,15
2021/09/23,16
2021/09/24,11
2021/09/25,8
2021/09/26,16
2021/09/27,0
2021/09/28,9
2021/09/29,3
2021/09/30,19
2021/10/01,12
2021/10/02,8
2021/10/03,6
2021/10/04,6
2021/10/05,10
2021/10/06,22
2021/10/07,8
2021/10/08,6
2021/10/09,6
2021/10/10,5
2021/10/11,3
2021/10/12,8
2021/10/13,1
2021/10/14,7
2021/10/15,7
2021/10/16,7
2021/10/17,1
2021/10/18,0
2021/10/19,7
2021/10/20,5
2021/10/21,19
2021/10/22,30
2021/10/23,17
2021/10/24,12
2021/10/25,5
2021/10/26,18
2021/10/27,16
2021/10/28,27
2021/10/29,11
2021/10/30,2
2021/10/31,30
2021/11/01,2
2021/11/02,17
2021/11/03,26
2021/11/04,30
2021/11/05,23
2021/11/06,26
2021/11/07,26
2021/11/08,4
2021/11/09,23
2021/11/10,26
2021/11/11,21
2021/11/12,35
2021/11/13,15
2021/11/14,17
2021/11/15,1
2021/11/16,18
2021/11/17,18
2021/11/18,41
2021/11/19,18
2021/11/20,34
2021/11/21,8
2021/11/22,11
2021/11/23,13
2021/11/24,40
2021/11/25,38
2021/11/26,25
2021/11/27,23
2021/11/28,17
2021/11/29,10
2021/11/30,28
2021/12/01,54
2021/12/02,32
2021/12/03,8
2021/12/04,61
2021/12/05,28
2021/12/06,13
2021/12/07,21
2021/12/08,81
2021/12/09,21
2021/12/10,27
2021/12/11,75
2021/12/12,96
2021/12/13,29
2021/12/14,17
2021/12/15,131
2021/12/16,51
2021/12/17,100
2021/12/18,91
2021/12/19,88
2021/12/20,104
2021/12/21,57
2021/12/22,153
2021/12/23,147
2021/12/24,85
2021/12/25,263
2021/12/26,158
2021/12/27,85
2021/12/28,191
2021/12/29,328
2021/12/30,514
2021/12/31,611
2022/01/01,594
2022/01/02,325
2022/01/03,477
2022/01/04,520
2022/01/05,564
2022/01/06,568
2022/01/07,514
2022/01/08,699
2022/01/09,949
2022/01/10,56
2022/01/11,846
2022/01/12,478
2022/01/13,312
2022/01/14,2601
2022/01/15,2300
2022/01/16,1853
2022/01/17,566
2022/01/18,3309
2022/01/19,1832
2022/01/20,2020
2022/01/21,1489
2022/01/22,1356
2022/01/23,1103
2022/01/24,339
2022/01/25,1111
2022/01/26,802
2022/01/27,841
2022/01/28,758
2022/01/29,987
2022/01/30,189
2022/01/31,311
2022/02/01,838
2022/02/02,628
2022/02/03,608
2022/02/04,583
2022/02/05,542
2022/02/06,518
2022/02/07,193
2022/02/08,763
2022/02/09,456
2022/02/10,579
2022/02/11,445
2022/02/12,421
2022/02/13,383
2022/02/14,173
2022/02/15,516
2022/02/16,405
2022/02/17,367
2022/02/18,395
2022/02/19,334
2022/02/20,306
2022/02/21,123
2022/02/22,513
2022/02/23,289
2022/02/24,322
2022/02/25,317
2022/02/26,280
2022/02/27,200
2022/02/28,103
2022/03/01,306
2022/03/02,231
2022/03/03,323
2022/03/04,280
2022/03/05,287
2022/03/06,207
2022/03/07,101
2022/03/08,461
2022/03/09,328
2022/03/10,386
2022/03/11,388
2022/03/12,392
2022/03/13,381
2022/03/14,265
2022/03/15,699
2022/03/16,657
2022/03/17,845
2022/03/18,711
2022/03/19,644
2022/03/20,590
2022/03/21,264
2022/03/22,1073
2022/03/23,617
2022/03/24,805
2022/03/25,674
2022/03/26,674
2022/03/27,559
2022/03/28,275
2022/03/29,979
2022/03/30,727
2022/03/31,680
2022/04/01,723
2022/04/02,648
2022/04/03,473
2022/04/04,272
2022/04/05,888
2022/04/06,567
2022/04/07,576
2022/04/08,556
2022/04/09,535
2022/04/10,442
2022/04/11,163
2022/04/12,783
2022/04/13,408
2022/04/14,557
2022/04/15,441
2022/04/16,474
2022/04/17,429
2022/04/18,162
2022/04/19,216
2022/04/20,1039
2022/04/21,628
2022/04/22,639
2022/04/23,620
2022/04/24,577
2022/04/25,227
2022/04/26,322
2022/04/27,838
2022/04/28,489
2022/04/29,457
2022/04/30,471
2022/05/01,325
2022/05/02,227
2022/05/03,525
2022/05/04,321
2022/05/05,406
2022/05/06,295
2022/05/07,317
2022/05/08,230
2022/05/09,140
2022/05/10,368
2022/05/11,250
2022/05/12,261
2022/05/13,246
2022/05/14,223
2022/05/15,139
2022/05/16,89
2022/05/17,304
2022/05/18,174
2022/05/19,146
2022/05/20,142
2022/05/21,132
2022/05/22,126
2022/05/23,62
2022/05/24,189
2022/05/25,114
2022/05/26,139
2022/05/27,124
2022/05/28,118
2022/05/29,88
2022/05/30,39
2022/05/31,148
2022/06/01,101
2022/06/02,88
2022/06/03,32
2022/06/04,101
2022/06/05,74
2022/06/06,52
2022/06/07,109
2022/06/08,84
2022/06/09,110
2022/06/10,103
2022/06/11,92
2022/06/12,76
2022/06/13,54
2022/06/14,195
2022/06/15,162
2022/06/16,142
2022/06/17,180
2022/06/18,185
2022/06/19,178
2022/06/20,114
2022/06/21,312
2022/06/22,273
2022/06/23,311
2022/06/24,291
2022/06/25,316
2022/06/26,267
2022/06/27,135
2022/06/28,647
2022/06/29,625
2022/06/30,517
2022/07/01,607
2022/07/02,696
2022/07/03,641
2022/07/04,427
2022/07/05,1306
2022/07/06,920
2022/07/07,935
2022/07/08,927
2022/07/09,864
2022/07/10,766
2022/07/11,351
2022/07/12,1328
2022/07/13,822
2022/07/14,820
2022/07/15,804
2022/07/16,623
2022/07/17,480
2022/07/18,185
2022/07/19,911
2022/07/20,602
2022/07/21,596
2022/07/22,501
2022/07/23,491
2022/07/24,364
2022/07/25,141
2022/07/26,693
2022/07/27,423
2022/07/28,415
2022/07/29,367
2022/07/30,391
2022/07/31,295
2022/08/01,108
2022/08/02,551
2022/08/03,307
2022/08/04,322
2022/08/05,308
2022/08/06,244
2022/08/07,184
2022/08/08,87
2022/08/09,326
2022/08/10,214
2022/08/11,230
2022/08/12,200
2022/08/13,182
2022/08/14,138
2022/08/15,70
2022/08/16,62
2022/08/17,228
2022/08/18,166
2022/08/19,158
2022/08/20,174
2022/08/21,130
2022/08/22,93
2022/08/23,181
2022/08/24,160
2022/08/25,135
2022/08/26,115
2022/08/27,116
2022/08/28,94
2022/08/29,29
2022/08/30,161
2022/08/31,79
2022/09/01,73
2022/09/02,114
2022/09/03,126
2022/09/04,54
2022/09/05,31
2022/09/06,123
2022/09/07,84
2022/09/08,61
2022/09/09,81
2022/09/10,67
2022/09/11,54
2022/09/12,23
2022/09/13,111
2022/09/14,64
2022/09/15,94
2022/09/16,83
2022/09/17,59
2022/09/18,52
2022/09/19,23
2022/09/20,108
2022/09/21,91
2022/09/22,74
2022/09/23,86
2022/09/24,85
2022/09/25,81
2022/09/26,40
2022/09/27,152
2022/09/28,133
2022/09/29,150
2022/09/30,136
2022/10/01,122
2022/10/02,120
2022/10/03,57
