Datas,Sondrio
2021/09/14,8
2021/09/15,3
2021/09/16,6
2021/09/17,8
2021/09/18,8
2021/09/19,7
2021/09/20,1
2021/09/21,3
2021/09/22,9
2021/09/23,4
2021/09/24,13
2021/09/25,9
2021/09/26,5
2021/09/27,12
2021/09/28,3
2021/09/29,15
2021/09/30,14
2021/10/01,2
2021/10/02,8
2021/10/03,6
2021/10/04,5
2021/10/05,3
2021/10/06,10
2021/10/07,4
2021/10/08,2
2021/10/09,4
2021/10/10,4
2021/10/11,2
2021/10/12,1
2021/10/13,4
2021/10/14,2
2021/10/15,13
2021/10/16,1
2021/10/17,5
2021/10/18,1
2021/10/19,8
2021/10/20,12
2021/10/21,0
2021/10/22,4
2021/10/23,4
2021/10/24,2
2021/10/25,1
2021/10/26,6
2021/10/27,14
2021/10/28,8
2021/10/29,8
2021/10/30,20
2021/10/31,2
2021/11/01,6
2021/11/02,2
2021/11/03,3
2021/11/04,16
2021/11/05,14
2021/11/06,21
2021/11/07,10
2021/11/08,8
2021/11/09,10
2021/11/10,23
2021/11/11,30
2021/11/12,9
2021/11/13,20
2021/11/14,36
2021/11/15,24
2021/11/16,14
2021/11/17,24
2021/11/18,42
2021/11/19,9
2021/11/20,42
2021/11/21,15
2021/11/22,33
2021/11/23,8
2021/11/24,51
2021/11/25,34
2021/11/26,29
2021/11/27,35
2021/11/28,72
2021/11/29,11
2021/11/30,17
2021/12/01,26
2021/12/02,52
2021/12/03,40
2021/12/04,39
2021/12/05,49
2021/12/06,21
2021/12/07,16
2021/12/08,50
2021/12/09,45
2021/12/10,51
2021/12/11,36
2021/12/12,48
2021/12/13,52
2021/12/14,17
2021/12/15,54
2021/12/16,84
2021/12/17,81
2021/12/18,86
2021/12/19,63
2021/12/20,66
2021/12/21,42
2021/12/22,98
2021/12/23,145
2021/12/24,190
2021/12/25,162
2021/12/26,102
2021/12/27,136
2021/12/28,159
2021/12/29,314
2021/12/30,438
2021/12/31,560
2022/01/01,533
2022/01/02,298
2022/01/03,114
2022/01/04,721
2022/01/05,714
2022/01/06,852
2022/01/07,709
2022/01/08,679
2022/01/09,729
2022/01/10,535
2022/01/11,782
2022/01/12,735
2022/01/13,696
2022/01/14,961
2022/01/15,1046
2022/01/16,552
2022/01/17,161
2022/01/18,587
2022/01/19,663
2022/01/20,613
2022/01/21,540
2022/01/22,671
2022/01/23,427
2022/01/24,91
2022/01/25,426
2022/01/26,338
2022/01/27,514
2022/01/28,295
2022/01/29,325
2022/01/30,277
2022/01/31,43
2022/02/01,242
2022/02/02,195
2022/02/03,230
2022/02/04,155
2022/02/05,151
2022/02/06,155
2022/02/07,35
2022/02/08,154
2022/02/09,167
2022/02/10,129
2022/02/11,117
2022/02/12,94
2022/02/13,115
2022/02/14,16
2022/02/15,111
2022/02/16,66
2022/02/17,90
2022/02/18,92
2022/02/19,96
2022/02/20,54
2022/02/21,34
2022/02/22,108
2022/02/23,103
2022/02/24,65
2022/02/25,87
2022/02/26,81
2022/02/27,49
2022/02/28,29
2022/03/01,72
2022/03/02,80
2022/03/03,72
2022/03/04,99
2022/03/05,68
2022/03/06,56
2022/03/07,11
2022/03/08,75
2022/03/09,45
2022/03/10,95
2022/03/11,93
2022/03/12,73
2022/03/13,108
2022/03/14,16
2022/03/15,118
2022/03/16,101
2022/03/17,97
2022/03/18,123
2022/03/19,115
2022/03/20,154
2022/03/21,25
2022/03/22,150
2022/03/23,138
2022/03/24,133
2022/03/25,121
2022/03/26,125
2022/03/27,101
2022/03/28,15
2022/03/29,166
2022/03/30,89
2022/03/31,143
2022/04/01,121
2022/04/02,92
2022/04/03,88
2022/04/04,16
2022/04/05,123
2022/04/06,111
2022/04/07,135
2022/04/08,123
2022/04/09,144
2022/04/10,117
2022/04/11,18
2022/04/12,155
2022/04/13,107
2022/04/14,152
2022/04/15,132
2022/04/16,150
2022/04/17,108
2022/04/18,24
2022/04/19,43
2022/04/20,186
2022/04/21,154
2022/04/22,175
2022/04/23,144
2022/04/24,110
2022/04/25,39
2022/04/26,30
2022/04/27,185
2022/04/28,178
2022/04/29,216
2022/04/30,154
2022/05/01,125
2022/05/02,18
2022/05/03,189
2022/05/04,99
2022/05/05,181
2022/05/06,111
2022/05/07,126
2022/05/08,83
2022/05/09,35
2022/05/10,172
2022/05/11,122
2022/05/12,93
2022/05/13,83
2022/05/14,101
2022/05/15,37
2022/05/16,33
2022/05/17,95
2022/05/18,51
2022/05/19,59
2022/05/20,68
2022/05/21,56
2022/05/22,43
2022/05/23,5
2022/05/24,72
2022/05/25,40
2022/05/26,33
2022/05/27,37
2022/05/28,28
2022/05/29,37
2022/05/30,4
2022/05/31,49
2022/06/01,28
2022/06/02,16
2022/06/03,14
2022/06/04,35
2022/06/05,39
2022/06/06,6
2022/06/07,37
2022/06/08,32
2022/06/09,45
2022/06/10,35
2022/06/11,38
2022/06/12,44
2022/06/13,6
2022/06/14,66
2022/06/15,49
2022/06/16,67
2022/06/17,101
2022/06/18,81
2022/06/19,81
2022/06/20,11
2022/06/21,117
2022/06/22,86
2022/06/23,142
2022/06/24,85
2022/06/25,114
2022/06/26,108
2022/06/27,29
2022/06/28,5
2022/06/29,309
2022/06/30,176
2022/07/01,171
2022/07/02,202
2022/07/03,105
2022/07/04,59
2022/07/05,234
2022/07/06,177
2022/07/07,257
2022/07/08,228
2022/07/09,186
2022/07/10,132
2022/07/11,73
2022/07/12,270
2022/07/13,213
2022/07/14,249
2022/07/15,213
2022/07/16,170
2022/07/17,153
2022/07/18,21
2022/07/19,278
2022/07/20,122
2022/07/21,154
2022/07/22,163
2022/07/23,149
2022/07/24,103
2022/07/25,23
2022/07/26,171
2022/07/27,126
2022/07/28,89
2022/07/29,108
2022/07/30,91
2022/07/31,76
2022/08/01,11
2022/08/02,142
2022/08/03,77
2022/08/04,92
2022/08/05,92
2022/08/06,69
2022/08/07,88
2022/08/08,20
2022/08/09,88
2022/08/10,80
2022/08/11,59
2022/08/12,71
2022/08/13,61
2022/08/14,32
2022/08/15,17
2022/08/16,15
2022/08/17,98
2022/08/18,66
2022/08/19,63
2022/08/20,81
2022/08/21,58
2022/08/22,19
2022/08/23,88
2022/08/24,54
2022/08/25,66
2022/08/26,69
2022/08/27,62
2022/08/28,57
2022/08/29,14
2022/08/30,84
2022/08/31,60
2022/09/01,53
2022/09/02,44
2022/09/03,48
2022/09/04,52
2022/09/05,16
2022/09/06,70
2022/09/07,48
2022/09/08,62
2022/09/09,65
2022/09/10,50
2022/09/11,51
2022/09/12,27
2022/09/13,103
2022/09/14,64
2022/09/15,73
2022/09/16,78
2022/09/17,65
2022/09/18,25
2022/09/19,47
2022/09/20,114
2022/09/21,121
2022/09/22,90
2022/09/23,130
2022/09/24,140
2022/09/25,71
2022/09/26,33
2022/09/27,226
2022/09/28,173
2022/09/29,204
2022/09/30,218
2022/10/01,188
2022/10/02,150
2022/10/03,20
