Datas,Rimini
2021/07/23,66
2021/07/24,79
2021/07/25,89
2021/07/26,51
2021/07/27,51
2021/07/28,65
2021/07/29,59
2021/07/30,58
2021/07/31,90
2021/08/01,53
2021/08/02,64
2021/08/03,32
2021/08/04,82
2021/08/05,109
2021/08/06,107
2021/08/07,105
2021/08/08,82
2021/08/09,62
2021/08/10,86
2021/08/11,84
2021/08/12,87
2021/08/13,117
2021/08/14,67
2021/08/15,99
2021/08/16,65
2021/08/17,59
2021/08/18,80
2021/08/19,80
2021/08/20,68
2021/08/21,77
2021/08/22,73
2021/08/23,67
2021/08/24,54
2021/08/25,73
2021/08/26,73
2021/08/27,71
2021/08/28,68
2021/08/29,75
2021/08/30,64
2021/08/31,42
2021/09/01,71
2021/09/02,72
2021/09/03,48
2021/09/04,63
2021/09/05,66
2021/09/06,46
2021/09/07,34
2021/09/08,40
2021/09/09,68
2021/09/10,65
2021/09/11,73
2021/09/12,38
2021/09/13,41
2021/09/14,24
2021/09/15,37
2021/09/16,49
2021/09/17,53
2021/09/18,27
2021/09/19,37
2021/09/20,19
2021/09/21,11
2021/09/22,30
2021/09/23,44
2021/09/24,18
2021/09/25,22
2021/09/26,32
2021/09/27,9
2021/09/28,24
2021/09/29,8
2021/09/30,40
2021/10/01,30
2021/10/02,18
2021/10/03,29
2021/10/04,13
2021/10/05,16
2021/10/06,23
2021/10/07,11
2021/10/08,33
2021/10/09,24
2021/10/10,19
2021/10/11,7
2021/10/12,14
2021/10/13,11
2021/10/14,21
2021/10/15,21
2021/10/16,15
2021/10/17,31
2021/10/18,18
2021/10/19,21
2021/10/20,24
2021/10/21,27
2021/10/22,25
2021/10/23,24
2021/10/24,33
2021/10/25,24
2021/10/26,30
2021/10/27,41
2021/10/28,55
2021/10/29,38
2021/10/30,29
2021/10/31,26
2021/11/01,24
2021/11/02,28
2021/11/03,27
2021/11/04,28
2021/11/05,21
2021/11/06,49
2021/11/07,43
2021/11/08,45
2021/11/09,40
2021/11/10,61
2021/11/11,56
2021/11/12,49
2021/11/13,62
2021/11/14,70
2021/11/15,60
2021/11/16,61
2021/11/17,101
2021/11/18,130
2021/11/19,134
2021/11/20,137
2021/11/21,139
2021/11/22,99
2021/11/23,99
2021/11/24,181
2021/11/25,156
2021/11/26,182
2021/11/27,196
2021/11/28,178
2021/11/29,176
2021/11/30,151
2021/12/01,155
2021/12/02,229
2021/12/03,221
2021/12/04,162
2021/12/05,175
2021/12/06,182
2021/12/07,153
2021/12/08,203
2021/12/09,181
2021/12/10,213
2021/12/11,165
2021/12/12,221
2021/12/13,204
2021/12/14,198
2021/12/15,172
2021/12/16,273
2021/12/17,302
2021/12/18,212
2021/12/19,306
2021/12/20,262
2021/12/21,216
2021/12/22,227
2021/12/23,413
2021/12/24,352
2021/12/25,344
2021/12/26,307
2021/12/27,409
2021/12/28,231
2021/12/29,614
2021/12/30,865
2021/12/31,1404
2022/01/01,1671
2022/01/02,1655
2022/01/03,692
2022/01/04,897
2022/01/05,2174
2022/01/06,3205
2022/01/07,1981
2022/01/08,2283
2022/01/09,2187
2022/01/10,1632
2022/01/11,1590
2022/01/12,1743
2022/01/13,2029
2022/01/14,1700
2022/01/15,1534
2022/01/16,1590
2022/01/17,1449
2022/01/18,1264
2022/01/19,1797
2022/01/20,1691
2022/01/21,1895
2022/01/22,1639
2022/01/23,1770
2022/01/24,1109
2022/01/25,1150
2022/01/26,1682
2022/01/27,1406
2022/01/28,1284
2022/01/29,1210
2022/01/30,1130
2022/01/31,684
2022/02/01,369
2022/02/02,1204
2022/02/03,849
