Datas,Crotone
2021/06/22,3
2021/06/23,4
2021/06/24,2
2021/06/25,-5
2021/06/26,2
2021/06/27,2
2021/06/28,2
2021/06/29,3
2021/06/30,9
2021/07/01,2
2021/07/02,0
2021/07/03,1
2021/07/04,3
2021/07/05,0
2021/07/06,6
2021/07/07,2
2021/07/08,4
2021/07/09,9
2021/07/10,4
2021/07/11,1
2021/07/12,2
2021/07/13,1
2021/07/14,2
2021/07/15,0
2021/07/16,2
2021/07/17,4
2021/07/18,3
2021/07/19,3
2021/07/20,10
2021/07/21,12
2021/07/22,12
2021/07/23,16
2021/07/24,10
2021/07/25,14
2021/07/26,1
2021/07/27,17
2021/07/28,25
2021/07/29,21
2021/07/30,11
2021/07/31,15
2021/08/01,2
2021/08/02,7
2021/08/03,20
2021/08/04,18
2021/08/05,37
2021/08/06,29
2021/08/07,21
2021/08/08,7
2021/08/09,13
2021/08/10,14
2021/08/11,18
2021/08/12,23
2021/08/13,20
2021/08/14,17
2021/08/15,1
2021/08/16,11
2021/08/17,29
2021/08/18,16
2021/08/19,21
2021/08/20,30
2021/08/21,20
2021/08/22,2
2021/08/23,53
2021/08/24,36
2021/08/25,38
2021/08/26,32
2021/08/27,34
2021/08/28,26
2021/08/29,-1
2021/08/30,13
2021/08/31,18
2021/09/01,34
2021/09/02,9
2021/09/03,23
2021/09/04,23
2021/09/05,4
2021/09/06,20
2021/09/07,26
2021/09/08,26
2021/09/09,43
2021/09/10,30
2021/09/11,32
2021/09/12,11
2021/09/13,34
2021/09/14,9
2021/09/15,53
2021/09/16,28
2021/09/17,19
2021/09/18,18
2021/09/19,0
2021/09/20,34
2021/09/21,40
2021/09/22,35
2021/09/23,18
2021/09/24,15
2021/09/25,13
2021/09/26,3
2021/09/27,17
2021/09/28,12
2021/09/29,33
2021/09/30,8
2021/10/01,28
2021/10/02,21
2021/10/03,1
2021/10/04,13
2021/10/05,12
2021/10/06,23
2021/10/07,39
2021/10/08,17
2021/10/09,16
2021/10/10,0
2021/10/11,1
2021/10/12,62
2021/10/13,16
2021/10/14,14
2021/10/15,19
2021/10/16,10
2021/10/17,0
2021/10/18,6
2021/10/19,19
2021/10/20,15
2021/10/21,8
2021/10/22,21
2021/10/23,14
2021/10/24,2
2021/10/25,25
2021/10/26,44
2021/10/27,15
2021/10/28,29
2021/10/29,23
2021/10/30,14
2021/10/31,24
2021/11/01,2
2021/11/02,1
2021/11/03,36
2021/11/04,12
2021/11/05,19
2021/11/06,29
2021/11/07,0
2021/11/08,15
2021/11/09,24
2021/11/10,15
2021/11/11,36
2021/11/12,22
2021/11/13,16
2021/11/14,0
2021/11/15,11
2021/11/16,13
2021/11/17,12
2021/11/18,11
2021/11/19,8
2021/11/20,16
2021/11/21,0
2021/11/22,15
2021/11/23,18
2021/11/24,12
2021/11/25,22
2021/11/26,25
2021/11/27,18
2021/11/28,2
2021/11/29,15
2021/11/30,20
2021/12/01,35
2021/12/02,30
2021/12/03,12
2021/12/04,28
2021/12/05,2
2021/12/06,11
2021/12/07,19
2021/12/08,0
2021/12/09,44
2021/12/10,30
2021/12/11,42
2021/12/12,0
2021/12/13,18
2021/12/14,55
2021/12/15,45
2021/12/16,40
2021/12/17,40
2021/12/18,47
2021/12/19,10
2021/12/20,40
2021/12/21,24
2021/12/22,42
2021/12/23,95
2021/12/24,54
2021/12/25,39
2021/12/26,7
2021/12/27,0
2021/12/28,109
2021/12/29,132
2021/12/30,143
2021/12/31,139
2022/01/01,60
2022/01/02,3
2022/01/03,156
2022/01/04,204
2022/01/05,140
2022/01/06,71
2022/01/07,134
2022/01/08,278
2022/01/09,47
2022/01/10,184
2022/01/11,152
2022/01/12,91
2022/01/13,1101
2022/01/14,121
2022/01/15,230
2022/01/16,70
2022/01/17,161
2022/01/18,319
2022/01/19,120
2022/01/20,188
2022/01/21,84
2022/01/22,130
2022/01/23,131
2022/01/24,149
2022/01/25,147
2022/01/26,218
2022/01/27,228
2022/01/28,237
2022/01/29,214
2022/01/30,248
