Datas,Rieti
2021/11/14,34
2021/11/15,7
2021/11/16,29
2021/11/17,23
2021/11/18,29
2021/11/19,35
2021/11/20,23
2021/11/21,32
2021/11/22,3
2021/11/23,29
2021/11/24,29
2021/11/25,20
2021/11/26,37
2021/11/27,33
2021/11/28,28
2021/11/29,7
2021/11/30,27
2021/12/01,37
2021/12/02,53
2021/12/03,25
2021/12/04,27
2021/12/05,26
2021/12/06,13
2021/12/07,21
2021/12/08,52
2021/12/09,30
2021/12/10,41
2021/12/11,20
2021/12/12,41
2021/12/13,21
2021/12/14,40
2021/12/15,35
2021/12/16,39
2021/12/17,29
2021/12/18,44
2021/12/19,45
2021/12/20,19
2021/12/21,30
2021/12/22,110
2021/12/23,108
2021/12/24,102
2021/12/25,96
2021/12/26,68
2021/12/27,88
2021/12/28,202
2021/12/29,150
2021/12/30,346
2021/12/31,249
2022/01/01,308
2022/01/02,153
2022/01/03,230
2022/01/04,419
2022/01/05,501
2022/01/06,494
2022/01/07,261
2022/01/08,413
2022/01/09,554
2022/01/10,255
2022/01/11,484
2022/01/12,491
2022/01/13,327
2022/01/14,644
2022/01/15,363
2022/01/16,465
2022/01/17,153
2022/01/18,368
2022/01/19,503
2022/01/20,221
2022/01/21,454
2022/01/22,485
2022/01/23,253
2022/01/24,166
2022/01/25,353
2022/01/26,294
2022/01/27,450
2022/01/28,278
2022/01/29,275
2022/01/30,295
2022/01/31,45
2022/02/01,301
2022/02/02,288
2022/02/03,270
2022/02/04,490
2022/02/05,298
2022/02/06,171
2022/02/07,212
2022/02/08,316
2022/02/09,407
2022/02/10,165
2022/02/11,258
2022/02/12,237
2022/02/13,224
2022/02/14,92
2022/02/15,209
2022/02/16,211
2022/02/17,221
2022/02/18,170
2022/02/19,143
2022/02/20,205
2022/02/21,78
2022/02/22,271
2022/02/23,251
2022/02/24,160
2022/02/25,157
2022/02/26,135
2022/02/27,138
2022/02/28,18
2022/03/01,161
2022/03/02,93
2022/03/03,180
2022/03/04,89
2022/03/05,114
2022/03/06,137
2022/03/07,63
2022/03/08,178
2022/03/09,208
2022/03/10,185
2022/03/11,199
2022/03/12,111
2022/03/13,283
2022/03/14,88
2022/03/15,357
2022/03/16,267
2022/03/17,317
2022/03/18,323
2022/03/19,263
2022/03/20,352
2022/03/21,126
2022/03/22,389
2022/03/23,325
2022/03/24,309
2022/03/25,369
2022/03/26,230
2022/03/27,169
2022/03/28,209
2022/03/29,376
2022/03/30,262
2022/03/31,205
2022/04/01,342
2022/04/02,211
2022/04/03,195
2022/04/04,79
2022/04/05,278
2022/04/06,253
2022/04/07,196
2022/04/08,191
2022/04/09,133
2022/04/10,264
2022/04/11,134
2022/04/12,269
2022/04/13,224
2022/04/14,189
2022/04/15,184
2022/04/16,190
2022/04/17,169
2022/04/18,59
2022/04/19,88
2022/04/20,342
2022/04/21,287
2022/04/22,225
2022/04/23,281
2022/04/24,201
2022/04/25,45
2022/04/26,86
2022/04/27,371
2022/04/28,199
2022/04/29,224
2022/04/30,83
2022/05/01,174
2022/05/02,97
2022/05/03,185
2022/05/04,155
2022/05/05,108
2022/05/06,141
2022/05/07,69
2022/05/08,104
2022/05/09,67
2022/05/10,162
2022/05/11,131
2022/05/12,134
2022/05/13,83
2022/05/14,118
2022/05/15,109
2022/05/16,44
2022/05/17,117
2022/05/18,93
2022/05/19,105
2022/05/20,67
2022/05/21,45
2022/05/22,45
2022/05/23,43
2022/05/24,89
2022/05/25,95
2022/05/26,70
2022/05/27,74
2022/05/28,43
2022/05/29,15
2022/05/30,50
2022/05/31,61
2022/06/01,80
2022/06/02,77
2022/06/03,20
2022/06/04,77
2022/06/05,67
2022/06/06,30
2022/06/07,88
2022/06/08,68
2022/06/09,49
2022/06/10,43
2022/06/11,43
2022/06/12,40
2022/06/13,29
2022/06/14,97
2022/06/15,85
2022/06/16,61
2022/06/17,93
2022/06/18,67
2022/06/19,120
2022/06/20,31
2022/06/21,134
2022/06/22,131
2022/06/23,121
2022/06/24,144
2022/06/25,130
2022/06/26,135
2022/06/27,46
2022/06/28,254
2022/06/29,188
2022/06/30,221
2022/07/01,219
2022/07/02,130
2022/07/03,210
2022/07/04,128
2022/07/05,300
2022/07/06,279
2022/07/07,237
2022/07/08,201
2022/07/09,199
2022/07/10,154
2022/07/11,111
2022/07/12,311
2022/07/13,215
2022/07/14,352
2022/07/15,222
2022/07/16,216
2022/07/17,236
2022/07/18,83
2022/07/19,273
2022/07/20,181
2022/07/21,190
2022/07/22,213
2022/07/23,212
2022/07/24,171
2022/07/25,65
2022/07/26,235
2022/07/27,179
2022/07/28,156
2022/07/29,147
2022/07/30,112
2022/07/31,129
2022/08/01,65
2022/08/02,113
2022/08/03,167
2022/08/04,162
2022/08/05,72
2022/08/06,88
2022/08/07,59
2022/08/08,54
2022/08/09,101
2022/08/10,58
2022/08/11,58
2022/08/12,69
2022/08/13,37
2022/08/14,76
2022/08/15,26
2022/08/16,17
2022/08/17,82
2022/08/18,67
2022/08/19,42
2022/08/20,55
2022/08/21,47
2022/08/22,21
2022/08/23,74
2022/08/24,73
2022/08/25,40
2022/08/26,60
2022/08/27,45
2022/08/28,52
2022/08/29,22
2022/08/30,64
2022/08/31,56
2022/09/01,51
2022/09/02,32
2022/09/03,44
2022/09/04,44
2022/09/05,23
2022/09/06,66
2022/09/07,39
2022/09/08,51
2022/09/09,18
2022/09/10,79
2022/09/11,59
2022/09/12,19
2022/09/13,92
2022/09/14,77
2022/09/15,64
2022/09/16,45
2022/09/17,50
2022/09/18,64
2022/09/19,17
2022/09/20,107
2022/09/21,77
2022/09/22,80
2022/09/23,75
2022/09/24,87
2022/09/25,68
2022/09/26,33
2022/09/27,141
2022/09/28,115
2022/09/29,143
2022/09/30,107
2022/10/01,107
2022/10/02,90
2022/10/03,43
