Datas,Siracusa
2021/10/31,0
2021/11/01,70
2021/11/02,55
2021/11/03,34
2021/11/04,75
2021/11/05,73
2021/11/06,52
2021/11/07,43
2021/11/08,22
2021/11/09,35
2021/11/10,60
2021/11/11,68
2021/11/12,47
2021/11/13,49
2021/11/14,52
2021/11/15,23
2021/11/16,44
2021/11/17,49
2021/11/18,42
2021/11/19,49
2021/11/20,84
2021/11/21,55
2021/11/22,32
2021/11/23,83
2021/11/24,58
2021/11/25,60
2021/11/26,97
2021/11/27,42
2021/11/28,87
2021/11/29,83
2021/11/30,28
2021/12/01,104
2021/12/02,74
2021/12/03,77
2021/12/04,57
2021/12/05,91
2021/12/06,39
2021/12/07,48
2021/12/08,49
2021/12/09,57
2021/12/10,95
2021/12/11,84
2021/12/12,101
2021/12/13,30
2021/12/14,103
2021/12/15,93
2021/12/16,88
2021/12/17,135
2021/12/18,110
2021/12/19,125
2021/12/20,0
2021/12/21,136
2021/12/22,180
2021/12/23,131
2021/12/24,174
2021/12/25,202
2021/12/26,251
2021/12/27,165
2021/12/28,194
2021/12/29,279
2021/12/30,280
2021/12/31,452
2022/01/01,488
2022/01/02,313
2022/01/03,586
2022/01/04,227
2022/01/05,425
2022/01/06,1546
2022/01/07,692
2022/01/08,1472
2022/01/09,1397
2022/01/10,667
2022/01/11,1502
2022/01/12,1441
2022/01/13,1226
2022/01/14,1018
2022/01/15,1031
2022/01/16,791
2022/01/17,589
2022/01/18,996
2022/01/19,935
2022/01/20,804
2022/01/21,886
2022/01/22,808
2022/01/23,579
2022/01/24,538
2022/01/25,832
2022/01/26,786
2022/01/27,802
2022/01/28,998
2022/01/29,820
2022/01/30,611
2022/01/31,224
2022/02/01,845
2022/02/02,1120
2022/02/03,834
2022/02/04,946
2022/02/05,752
2022/02/06,716
2022/02/07,306
2022/02/08,1111
2022/02/09,890
2022/02/10,785
2022/02/11,696
2022/02/12,750
2022/02/13,580
2022/02/14,232
2022/02/15,873
2022/02/16,869
2022/02/17,761
2022/02/18,763
2022/02/19,623
2022/02/20,543
2022/02/21,243
2022/02/22,927
2022/02/23,532
2022/02/24,596
2022/02/25,444
2022/02/26,406
2022/02/27,363
2022/02/28,144
2022/03/01,686
2022/03/02,411
2022/03/03,464
2022/03/04,287
2022/03/05,345
2022/03/06,358
2022/03/07,157
2022/03/08,718
2022/03/09,497
2022/03/10,439
2022/03/11,521
2022/03/12,484
2022/03/13,374
2022/03/14,200
2022/03/15,702
2022/03/16,607
2022/03/17,616
2022/03/18,620
2022/03/19,524
2022/03/20,422
2022/03/21,200
2022/03/22,675
2022/03/23,485
2022/03/24,541
2022/03/25,479
2022/03/26,492
2022/03/27,375
2022/03/28,53
2022/03/29,623
2022/03/30,461
2022/03/31,425
2022/04/01,563
2022/04/02,467
2022/04/03,294
2022/04/04,137
2022/04/05,532
2022/04/06,451
2022/04/07,456
2022/04/08,443
2022/04/09,390
2022/04/10,320
2022/04/11,122
2022/04/12,583
2022/04/13,434
2022/04/14,343
2022/04/15,471
2022/04/16,428
2022/04/17,384
2022/04/18,114
2022/04/19,119
2022/04/20,836
2022/04/21,534
2022/04/22,505
2022/04/23,554
2022/04/24,390
2022/04/25,112
2022/04/26,162
2022/04/27,783
2022/04/28,423
2022/04/29,357
2022/04/30,336
2022/05/01,295
2022/05/02,62
2022/05/03,544
2022/05/04,353
2022/05/05,373
2022/05/06,331
2022/05/07,303
2022/05/08,240
2022/05/09,67
2022/05/10,468
2022/05/11,289
2022/05/12,107
2022/05/13,299
2022/05/14,294
2022/05/15,226
2022/05/16,89
2022/05/17,446
2022/05/18,320
2022/05/19,350
2022/05/20,327
2022/05/21,275
2022/05/22,230
2022/05/23,93
2022/05/24,412
2022/05/25,259
2022/05/26,291
2022/05/27,214
2022/05/28,215
2022/05/29,205
2022/05/30,45
2022/05/31,295
2022/06/01,269
2022/06/02,229
2022/06/03,58
2022/06/04,296
2022/06/05,182
2022/06/06,66
2022/06/07,324
2022/06/08,264
2022/06/09,257
2022/06/10,267
2022/06/11,233
2022/06/12,180
2022/06/13,69
2022/06/14,445
2022/06/15,335
2022/06/16,299
2022/06/17,331
2022/06/18,12
2022/06/19,473
2022/06/20,131
2022/06/21,654
2022/06/22,395
2022/06/23,434
2022/06/24,418
2022/06/25,436
2022/06/26,311
2022/06/27,146
2022/06/28,727
2022/06/29,633
2022/06/30,625
2022/07/01,641
2022/07/02,671
2022/07/03,617
2022/07/04,194
2022/07/05,1368
2022/07/06,928
2022/07/07,965
2022/07/08,831
2022/07/09,981
2022/07/10,644
2022/07/11,214
2022/07/12,1427
2022/07/13,942
2022/07/14,870
2022/07/15,740
2022/07/16,727
2022/07/17,480
2022/07/18,152
2022/07/19,971
2022/07/20,631
2022/07/21,544
2022/07/22,519
2022/07/23,507
2022/07/24,345
2022/07/25,111
2022/07/26,654
2022/07/27,410
2022/07/28,362
2022/07/29,343
2022/07/30,313
2022/07/31,246
2022/08/01,81
2022/08/02,474
2022/08/03,289
2022/08/04,264
2022/08/05,234
2022/08/06,256
2022/08/07,164
2022/08/08,51
2022/08/09,288
2022/08/10,159
2022/08/11,169
2022/08/12,146
2022/08/13,180
2022/08/14,149
2022/08/15,60
2022/08/16,37
2022/08/17,260
2022/08/18,160
2022/08/19,181
2022/08/20,184
2022/08/21,138
2022/08/22,42
2022/08/23,239
2022/08/24,170
2022/08/25,139
2022/08/26,130
2022/08/27,126
2022/08/28,101
2022/08/29,39
2022/08/30,212
2022/08/31,130
2022/09/01,128
2022/09/02,91
2022/09/03,105
2022/09/04,72
2022/09/05,21
2022/09/06,176
2022/09/07,94
2022/09/08,93
2022/09/09,105
2022/09/10,107
2022/09/11,76
2022/09/12,24
2022/09/13,151
2022/09/14,92
2022/09/15,99
2022/09/16,74
2022/09/17,78
2022/09/18,64
2022/09/19,27
2022/09/20,208
2022/09/21,132
2022/09/22,109
2022/09/23,95
2022/09/24,104
2022/09/25,117
2022/09/26,25
2022/09/27,217
2022/09/28,165
2022/09/29,156
2022/09/30,119
2022/10/01,145
2022/10/02,105
2022/10/03,44
