Datas,Asti
2021/06/27,3
2021/06/28,1
2021/06/29,1
2021/06/30,0
2021/07/01,1
2021/07/02,0
2021/07/03,1
2021/07/04,2
2021/07/05,1
2021/07/06,1
2021/07/07,0
2021/07/08,2
2021/07/09,3
2021/07/10,1
2021/07/11,3
2021/07/12,0
2021/07/13,1
2021/07/14,4
2021/07/15,5
2021/07/16,3
2021/07/17,4
2021/07/18,1
2021/07/19,2
2021/07/20,7
2021/07/21,6
2021/07/22,5
2021/07/23,2
2021/07/24,2
2021/07/25,5
2021/07/26,1
2021/07/27,1
2021/07/28,3
2021/07/29,12
2021/07/30,5
2021/07/31,4
2021/08/01,0
2021/08/02,3
2021/08/03,4
2021/08/04,6
2021/08/05,4
2021/08/06,9
2021/08/07,6
2021/08/08,1
2021/08/09,8
2021/08/10,2
2021/08/11,6
2021/08/12,14
2021/08/13,5
2021/08/14,10
2021/08/15,1
2021/08/16,2
2021/08/17,7
2021/08/18,7
2021/08/19,0
2021/08/20,10
2021/08/21,5
2021/08/22,8
2021/08/23,13
2021/08/24,12
2021/08/25,0
2021/08/26,13
2021/08/27,6
2021/08/28,13
2021/08/29,11
2021/08/30,6
2021/08/31,7
2021/09/01,9
2021/09/02,18
2021/09/03,17
2021/09/04,8
2021/09/05,3
2021/09/06,5
2021/09/07,28
2021/09/08,16
2021/09/09,22
2021/09/10,16
2021/09/11,20
2021/09/12,23
2021/09/13,10
2021/09/14,19
2021/09/15,21
2021/09/16,14
2021/09/17,28
2021/09/18,17
2021/09/19,8
2021/09/20,14
2021/09/21,13
2021/09/22,21
2021/09/23,22
2021/09/24,14
2021/09/25,16
2021/09/26,12
2021/09/27,4
2021/09/28,8
2021/09/29,15
2021/09/30,12
2021/10/01,12
2021/10/02,25
2021/10/03,14
2021/10/04,4
2021/10/05,11
2021/10/06,11
2021/10/07,16
2021/10/08,16
2021/10/09,19
2021/10/10,11
2021/10/11,15
2021/10/12,14
2021/10/13,11
2021/10/14,14
2021/10/15,2
2021/10/16,12
2021/10/17,7
2021/10/18,8
2021/10/19,7
2021/10/20,14
2021/10/21,9
2021/10/22,16
2021/10/23,9
2021/10/24,5
2021/10/25,12
2021/10/26,15
2021/10/27,14
2021/10/28,16
2021/10/29,11
2021/10/30,11
2021/10/31,13
2021/11/01,11
2021/11/02,3
2021/11/03,6
2021/11/04,36
2021/11/05,24
2021/11/06,28
2021/11/07,25
2021/11/08,26
2021/11/09,15
2021/11/10,28
2021/11/11,28
2021/11/12,18
2021/11/13,27
2021/11/14,25
2021/11/15,17
2021/11/16,24
2021/11/17,46
2021/11/18,26
2021/11/19,18
2021/11/20,34
2021/11/21,24
2021/11/22,24
2021/11/23,47
2021/11/24,49
2021/11/25,48
2021/11/26,46
2021/11/27,53
2021/11/28,24
2021/11/29,34
2021/11/30,52
2021/12/01,49
2021/12/02,46
2021/12/03,55
2021/12/04,45
2021/12/05,66
2021/12/06,47
2021/12/07,66
2021/12/08,54
2021/12/09,52
2021/12/10,90
2021/12/11,75
2021/12/12,73
2021/12/13,55
2021/12/14,81
2021/12/15,84
2021/12/16,100
2021/12/17,125
2021/12/18,117
2021/12/19,72
2021/12/20,81
2021/12/21,120
2021/12/22,178
2021/12/23,187
2021/12/24,179
2021/12/25,195
2021/12/26,77
2021/12/27,224
2021/12/28,323
2021/12/29,442
2021/12/30,463
2021/12/31,554
2022/01/01,374
2022/01/02,143
2022/01/03,234
2022/01/04,965
2022/01/05,766
2022/01/06,608
2022/01/07,379
2022/01/08,792
2022/01/09,505
2022/01/10,448
2022/01/11,802
2022/01/12,637
2022/01/13,630
2022/01/14,546
2022/01/15,612
2022/01/16,579
2022/01/17,420
2022/01/18,708
2022/01/19,639
2022/01/20,563
2022/01/21,612
2022/01/22,558
2022/01/23,372
2022/01/24,337
2022/01/25,814
2022/01/26,589
2022/01/27,438
2022/01/28,458
2022/01/29,383
2022/01/30,298
2022/01/31,285
2022/02/01,433
2022/02/02,368
2022/02/03,253
2022/02/04,302
2022/02/05,255
2022/02/06,169
2022/02/07,190
2022/02/08,289
2022/02/09,228
2022/02/10,205
2022/02/11,174
2022/02/12,136
2022/02/13,102
2022/02/14,104
2022/02/15,160
2022/02/16,153
2022/02/17,132
2022/02/18,123
2022/02/19,124
2022/02/20,87
2022/02/21,105
2022/02/22,141
2022/02/23,125
2022/02/24,92
2022/02/25,89
2022/02/26,82
2022/02/27,47
2022/02/28,59
2022/03/01,89
2022/03/02,77
2022/03/03,82
2022/03/04,79
2022/03/05,72
2022/03/06,36
2022/03/07,67
2022/03/08,108
2022/03/09,92
2022/03/10,98
2022/03/11,95
2022/03/12,71
2022/03/13,70
2022/03/14,101
2022/03/15,167
2022/03/16,182
2022/03/17,163
2022/03/18,129
2022/03/19,120
2022/03/20,86
2022/03/21,111
2022/03/22,167
2022/03/23,150
2022/03/24,160
2022/03/25,134
2022/03/26,134
2022/03/27,69
2022/03/28,123
2022/03/29,196
2022/03/30,160
2022/03/31,207
2022/04/01,182
2022/04/02,177
2022/04/03,121
2022/04/04,162
2022/04/05,205
2022/04/06,214
2022/04/07,182
2022/04/08,197
2022/04/09,179
2022/04/10,113
2022/04/11,174
2022/04/12,241
2022/04/13,225
2022/04/14,228
2022/04/15,194
2022/04/16,263
2022/04/17,151
2022/04/18,69
2022/04/19,207
2022/04/20,293
2022/04/21,198
2022/04/22,252
2022/04/23,270
2022/04/24,141
2022/04/25,80
2022/04/26,121
2022/04/27,322
2022/04/28,210
2022/04/29,174
2022/04/30,137
2022/05/01,101
2022/05/02,58
2022/05/03,175
2022/05/04,118
2022/05/05,184
2022/05/06,124
2022/05/07,116
2022/05/08,103
2022/05/09,53
2022/05/10,168
2022/05/11,133
2022/05/12,57
2022/05/13,127
2022/05/14,95
2022/05/15,58
2022/05/16,51
2022/05/17,108
2022/05/18,98
2022/05/19,78
2022/05/20,73
2022/05/21,36
2022/05/22,43
2022/05/23,29
2022/05/24,89
2022/05/25,59
2022/05/26,61
2022/05/27,46
2022/05/28,42
2022/05/29,27
2022/05/30,16
2022/05/31,57
2022/06/01,35
2022/06/02,26
2022/06/03,32
2022/06/04,49
2022/06/05,27
