Datas,Venezia
2021/10/07,55
2021/10/08,44
2021/10/09,41
2021/10/10,20
2021/10/11,44
2021/10/12,54
2021/10/13,55
2021/10/14,67
2021/10/15,44
2021/10/16,74
2021/10/17,42
2021/10/18,27
2021/10/19,37
2021/10/20,71
2021/10/21,68
2021/10/22,49
2021/10/23,87
2021/10/24,59
2021/10/25,40
2021/10/26,85
2021/10/27,86
2021/10/28,85
2021/10/29,69
2021/10/30,95
2021/10/31,43
2021/11/01,79
2021/11/02,69
2021/11/03,115
2021/11/04,99
2021/11/05,151
2021/11/06,141
2021/11/07,98
2021/11/08,113
2021/11/09,138
2021/11/10,164
2021/11/11,198
2021/11/12,156
2021/11/13,182
2021/11/14,163
2021/11/15,119
2021/11/16,251
2021/11/17,286
2021/11/18,251
2021/11/19,234
2021/11/20,321
2021/11/21,239
2021/11/22,200
2021/11/23,278
2021/11/24,387
2021/11/25,408
2021/11/26,390
2021/11/27,412
2021/11/28,358
2021/11/29,270
2021/11/30,322
2021/12/01,467
2021/12/02,526
2021/12/03,578
2021/12/04,476
2021/12/05,433
2021/12/06,377
2021/12/07,452
2021/12/08,468
2021/12/09,395
2021/12/10,633
2021/12/11,566
2021/12/12,525
2021/12/13,452
2021/12/14,648
2021/12/15,623
2021/12/16,605
2021/12/17,938
2021/12/18,746
2021/12/19,632
2021/12/20,387
2021/12/21,792
2021/12/22,693
2021/12/23,835
2021/12/24,923
2021/12/25,932
2021/12/26,560
2021/12/27,394
2021/12/28,1252
2021/12/29,1606
2021/12/30,1910
2021/12/31,1747
2022/01/01,1908
2022/01/02,972
2022/01/03,872
2022/01/04,2397
2022/01/05,2633
2022/01/06,2681
2022/01/07,1125
2022/01/08,3203
2022/01/09,1876
2022/01/10,1249
2022/01/11,3164
2022/01/12,3008
2022/01/13,2668
2022/01/14,2551
2022/01/15,2778
2022/01/16,1615
2022/01/17,1063
2022/01/18,3471
2022/01/19,2687
2022/01/20,3097
2022/01/21,2807
2022/01/22,2787
2022/01/23,2051
2022/01/24,958
2022/01/25,7488
2022/01/26,2718
2022/01/27,2883
2022/01/28,2608
2022/01/29,2304
2022/01/30,1897
2022/01/31,705
2022/02/01,2282
2022/02/02,2247
2022/02/03,2361
2022/02/04,2013
2022/02/05,1606
2022/02/06,1093
2022/02/07,488
2022/02/08,1852
2022/02/09,1383
2022/02/10,1222
2022/02/11,1101
2022/02/12,1055
2022/02/13,705
2022/02/14,379
2022/02/15,1397
2022/02/16,1000
2022/02/17,1059
2022/02/18,942
2022/02/19,966
2022/02/20,710
2022/02/21,375
2022/02/22,1059
2022/02/23,975
2022/02/24,803
2022/02/25,788
2022/02/26,772
2022/02/27,485
2022/02/28,267
2022/03/01,878
2022/03/02,785
2022/03/03,837
2022/03/04,798
2022/03/05,823
2022/03/06,624
2022/03/07,381
2022/03/08,1114
2022/03/09,841
2022/03/10,987
2022/03/11,986
2022/03/12,990
2022/03/13,836
2022/03/14,400
2022/03/15,1501
2022/03/16,1309
2022/03/17,1471
2022/03/18,1143
2022/03/19,1395
2022/03/20,838
2022/03/21,423
2022/03/22,1676
2022/03/23,1390
2022/03/24,1430
2022/03/25,1378
2022/03/26,1345
2022/03/27,819
2022/03/28,365
2022/03/29,1739
2022/03/30,1502
2022/03/31,1420
2022/04/01,1321
2022/04/02,1272
2022/04/03,804
2022/04/04,351
2022/04/05,1517
2022/04/06,1304
2022/04/07,1294
2022/04/08,1300
