Datas,London
2022/03/18,8430
2022/03/19,0
2022/03/20,0
2022/03/21,23364
2022/03/22,8420
2022/03/23,10338
2022/03/24,9722
2022/03/25,7117
2022/03/26,0
2022/03/27,0
2022/03/28,23771
2022/03/29,7276
2022/03/30,9905
2022/03/31,7254
2022/04/01,7514
2022/04/02,0
2022/04/03,0
2022/04/04,15393
2022/04/05,4638
2022/04/06,5099
2022/04/07,4325
2022/04/08,3846
2022/04/09,0
2022/04/10,0
2022/04/11,8754
2022/04/12,3503
2022/04/13,3176
2022/04/14,2968
2022/04/15,0
2022/04/16,0
2022/04/17,0
2022/04/18,0
2022/04/19,10419
2022/04/20,2454
2022/04/21,2209
2022/04/22,1948
2022/04/23,0
2022/04/24,0
2022/04/25,4235
2022/04/26,0
2022/04/27,3031
2022/04/28,1484
2022/04/29,1278
2022/04/30,0
2022/05/01,0
2022/05/02,0
2022/05/03,3772
2022/05/04,1881
2022/05/05,1406
2022/05/06,1428
2022/05/07,0
2022/05/08,0
2022/05/09,2998
2022/05/10,1235
2022/05/11,1198
2022/05/12,1133
2022/05/13,907
2022/05/14,0
2022/05/15,0
2022/05/16,2516
2022/05/17,1168
2022/05/18,1141
2022/05/19,1007
2022/05/20,883
2022/05/21,0
2022/05/22,0
2022/05/23,2156
2022/05/24,1010
2022/05/25,886
2022/05/26,834
2022/05/27,725
2022/05/28,0
2022/05/29,0
2022/05/30,2222
2022/05/31,895
2022/06/01,886
2022/06/02,0
2022/06/03,0
2022/06/04,0
2022/06/05,0
2022/06/06,4570
2022/06/07,1718
2022/06/08,1514
2022/06/09,1676
2022/06/10,1571
2022/06/11,0
2022/06/12,0
2022/06/13,4766
2022/06/14,1871
2022/06/15,2115
2022/06/16,1911
2022/06/17,1872
2022/06/18,0
2022/06/19,0
2022/06/20,5526
2022/06/21,2421
2022/06/22,2470
2022/06/23,2567
2022/06/24,2417
2022/06/25,0
2022/06/26,0
2022/06/27,6733
2022/06/28,3046
2022/06/29,3091
2022/06/30,3106
2022/07/01,3169
2022/07/02,0
2022/07/03,0
2022/07/04,0
2022/07/05,0
2022/07/06,17150
2022/07/07,0
2022/07/08,0
2022/07/09,0
2022/07/10,0
2022/07/11,0
2022/07/12,0
2022/07/13,24513
2022/07/14,0
2022/07/15,0
2022/07/16,0
2022/07/17,0
2022/07/18,0
2022/07/19,0
2022/07/20,17008
2022/07/21,0
2022/07/22,0
2022/07/23,0
2022/07/24,0
2022/07/25,0
2022/07/26,0
2022/07/27,10695
2022/07/28,0
2022/07/29,0
2022/07/30,0
2022/07/31,0
2022/08/01,0
2022/08/02,0
2022/08/03,7428
2022/08/04,0
2022/08/05,0
2022/08/06,0
2022/08/07,0
2022/08/08,0
2022/08/09,0
2022/08/10,5588
2022/08/11,0
2022/08/12,0
2022/08/13,0
2022/08/14,0
2022/08/15,0
2022/08/16,0
2022/08/17,4343
2022/08/18,0
2022/08/19,0
2022/08/20,0
2022/08/21,0
2022/08/22,0
2022/08/23,0
2022/08/24,3360
2022/08/25,0
2022/08/26,0
2022/08/27,0
2022/08/28,0
2022/08/29,0
2022/08/30,0
2022/08/31,2931
2022/09/01,0
2022/09/02,0
2022/09/03,0
2022/09/04,0
2022/09/05,0
2022/09/06,0
2022/09/07,0
2022/09/08,3380
2022/09/09,0
2022/09/10,0
2022/09/11,0
2022/09/12,0
2022/09/13,0
2022/09/14,0
2022/09/15,3057
2022/09/16,0
2022/09/17,0
2022/09/18,0
2022/09/19,0
2022/09/20,0
2022/09/21,0
2022/09/22,3340
