Datas,Seul
08/15/2021,488
08/16/2021,363
08/17/2021,365
08/18/2021,509
08/19/2021,575
08/20/2021,554
08/21/2021,525
08/22/2021,497
08/23/2021,388
08/24/2021,436
08/25/2021,677
08/26/2021,570
08/27/2021,556
08/28/2021,569
08/29/2021,517
08/30/2021,442
08/31/2021,456
09/01/2021,665
09/02/2021,558
09/03/2021,542
09/04/2021,565
09/05/2021,508
09/06/2021,464
09/07/2021,482
09/08/2021,671
09/09/2021,667
09/10/2021,670
09/11/2021,659
09/12/2021,658
09/13/2021,556
09/14/2021,539
09/15/2021,808
09/16/2021,718
09/17/2021,746
09/18/2021,703
09/19/2021,742
09/20/2021,583
09/21/2021,676
09/22/2021,644
09/23/2021,645
09/24/2021,904
09/25/2021,1220
09/26/2021,927
09/27/2021,777
09/28/2021,840
09/29/2021,1051
09/30/2021,944
10/01/2021,913
10/02/2021,792
10/03/2021,734
10/04/2021,572
10/05/2021,521
10/06/2021,690
10/07/2021,836
10/08/2021,772
10/09/2021,712
10/10/2021,583
10/11/2021,511
10/12/2021,482
10/13/2021,581
10/14/2021,746
10/15/2021,681
10/16/2021,584
10/17/2021,506
10/18/2021,355
10/19/2021,298
10/20/2021,504
10/21/2021,506
10/22/2021,519
10/23/2021,551
10/24/2021,519
10/25/2021,455
10/26/2021,427
10/27/2021,729
10/28/2021,788
10/29/2021,769
10/30/2021,705
10/31/2021,760
11/01/2021,646
11/02/2021,600
11/03/2021,1002
11/04/2021,946
11/05/2021,979
11/06/2021,915
11/07/2021,848
11/08/2021,707
11/09/2021,662
11/10/2021,972
11/11/2021,1003
11/12/2021,948
11/13/2021,1005
11/14/2021,977
11/15/2021,856
11/16/2021,846
11/17/2021,1433
11/18/2021,1429
11/19/2021,1400
11/20/2021,1370
11/21/2021,1319
11/22/2021,1278
11/23/2021,1164
11/24/2021,1734
11/25/2021,1760
11/26/2021,1739
11/27/2021,1888
11/28/2021,1673
11/29/2021,1392
11/30/2021,1186
12/01/2021,2220
12/02/2021,2266
12/03/2021,2099
12/04/2021,2273
12/05/2021,2030
12/06/2021,1408
12/07/2021,2118
12/08/2021,2900
12/09/2021,2789
12/10/2021,2798
12/11/2021,2833
12/12/2021,2527
12/13/2021,2550
12/14/2021,2060
12/15/2021,3165
12/16/2021,3053
12/17/2021,2846
12/18/2021,2793
12/19/2021,2317
12/20/2021,1905
