Datas,Nord
2021/07/10,67.0
2021/07/11,43.0
2021/07/12,170.0
2021/07/13,162.0
2021/07/14,71.0
2021/07/15,234.0
2021/07/16,227.0
2021/07/17,200.0
2021/07/18,102.0
2021/07/19,399.0
2021/07/20,420.0
2021/07/21,480.0
2021/07/22,448.0
2021/07/23,489.0
2021/07/24,347.0
2021/07/25,183.0
2021/07/26,599.0
2021/07/27,421.0
2021/07/28,491.0
2021/07/29,515.0
2021/07/30,607.0
2021/07/31,478.0
2021/08/01,216.0
2021/08/02,822.0
2021/08/03,610.0
2021/08/04,589.0
2021/08/05,610.0
2021/08/06,667.0
2021/08/07,561.0
2021/08/08,295.0
2021/08/09,965.0
2021/08/10,783.0
2021/08/11,808.0
2021/08/12,773.0
2021/08/13,779.0
2021/08/14,593.0
2021/08/15,248.0
2021/08/16,1057.0
2021/08/17,785.0
2021/08/18,691.0
2021/08/19,706.0
2021/08/20,715.0
2021/08/21,550.0
2021/08/22,243.0
2021/08/23,1051.0
2021/08/24,642.0
2021/08/25,655.0
2021/08/26,557.0
2021/08/27,632.0
2021/08/28,465.0
2021/08/29,196.0
2021/08/30,727.0
2021/08/31,503.0
2021/09/01,478.0
2021/09/02,434.0
2021/09/03,456.0
2021/09/04,366.0
2021/09/05,164.0
2021/09/06,666.0
2021/09/07,462.0
2021/09/08,419.0
2021/09/09,408.0
2021/09/10,360.0
2021/09/11,294.0
2021/09/12,104.0
2021/09/13,400.0
2021/09/14,306.0
2021/09/15,263.0
2021/09/16,239.0
2021/09/17,224.0
2021/09/18,168.0
2021/09/19,75.0
2021/09/20,301.0
2021/09/21,221.0
2021/09/22,200.0
2021/09/23,187.0
2021/09/24,177.0
2021/09/25,159.0
2021/09/26,45.0
2021/09/27,197.0
2021/09/28,196.0
2021/09/29,150.0
2021/09/30,148.0
2021/10/01,125.0
2021/10/02,136.0
2021/10/03,59.0
2021/10/04,213.0
2021/10/05,168.0
2021/10/06,168.0
2021/10/07,167.0
2021/10/08,150.0
2021/10/09,147.0
2021/10/10,61.0
2021/10/11,209.0
2021/10/12,166.0
2021/10/13,196.0
2021/10/14,203.0
2021/10/15,162.0
2021/10/16,145.0
2021/10/17,52.0
2021/10/18,227.0
2021/10/19,216.0
2021/10/20,240.0
2021/10/21,253.0
2021/10/22,271.0
2021/10/23,224.0
2021/10/24,83.0
2021/10/25,312.0
2021/10/26,291.0
2021/10/27,296.0
2021/10/28,266.0
2021/10/29,348.0
2021/10/30,270.0
2021/10/31,111.0
2021/11/01,129.0
2021/11/02,526.0
2021/11/03,442.0
2021/11/04,479.0
2021/11/05,497.0
2021/11/06,414.0
2021/11/07,154.0
2021/11/08,740.0
2021/11/09,587.0
2021/11/10,638.0
2021/11/11,157.0
2021/11/12,781.0
2021/11/13,514.0
