Datas,Paris
2022/02/04,3721.0
2022/02/05,2883.0
2022/02/06,1588.0
2022/02/07,4311.0
2022/02/08,3108.0
2022/02/09,3252.0
2022/02/10,2666.0
2022/02/11,2262.0
2022/02/12,1797.0
2022/02/13,1006.0
2022/02/14,2741.0
2022/02/15,2202.0
2022/02/16,2200.0
2022/02/17,1842.0
2022/02/18,1691.0
2022/02/19,1312.0
2022/02/20,645.0
2022/02/21,2028.0
2022/02/22,1661.0
2022/02/23,1629.0
2022/02/24,1462.0
2022/02/25,1315.0
2022/02/26,1033.0
2022/02/27,577.0
2022/02/28,1758.0
2022/03/01,1491.0
2022/03/02,1642.0
2022/03/03,1481.0
2022/03/04,1319.0
2022/03/05,1236.0
2022/03/06,726.0
2022/03/07,2346.0
2022/03/08,1816.0
2022/03/09,2274.0
2022/03/10,2024.0
2022/03/11,1992.0
2022/03/12,1742.0
2022/03/13,999.0
2022/03/14,3607.0
2022/03/15,3101.0
2022/03/16,3332.0
2022/03/17,3226.0
2022/03/18,3152.0
2022/03/19,2669.0
2022/03/20,1618.0
2022/03/21,6190.0
2022/03/22,5106.0
2022/03/23,5560.0
2022/03/24,5091.0
2022/03/25,4941.0
2022/03/26,4038.0
2022/03/27,1942.0
2022/03/28,7775.0
2022/03/29,5675.0
2022/03/30,5710.0
2022/03/31,4737.0
2022/04/01,4046.0
2022/04/02,3445.0
2022/04/03,1680.0
2022/04/04,6344.0
2022/04/05,4716.0
2022/04/06,4981.0
2022/04/07,4307.0
2022/04/08,3765.0
2022/04/09,3207.0
2022/04/10,1514.0
2022/04/11,5401.0
2022/04/12,4180.0
2022/04/13,3944.0
2022/04/14,3755.0
2022/04/15,3153.0
2022/04/16,2375.0
2022/04/17,898.0
2022/04/18,1371.0
2022/04/19,4059.0
2022/04/20,2684.0
2022/04/21,2361.0
2022/04/22,2086.0
2022/04/23,1563.0
2022/04/24,667.0
2022/04/25,2251.0
2022/04/26,1626.0
2022/04/27,1461.0
2022/04/28,1270.0
