Datas,Hérault
2021/06/01,130.0
2021/06/02,150.0
2021/06/03,136.0
2021/06/04,102.0
2021/06/05,51.0
2021/06/06,6.0
2021/06/07,115.0
2021/06/08,63.0
2021/06/09,62.0
2021/06/10,60.0
2021/06/11,51.0
2021/06/12,23.0
2021/06/13,6.0
2021/06/14,56.0
2021/06/15,35.0
2021/06/16,36.0
2021/06/17,35.0
2021/06/18,41.0
2021/06/19,26.0
2021/06/20,1.0
2021/06/21,24.0
2021/06/22,24.0
2021/06/23,16.0
2021/06/24,21.0
2021/06/25,25.0
2021/06/26,8.0
2021/06/27,6.0
2021/06/28,44.0
2021/06/29,49.0
2021/06/30,45.0
2021/07/01,42.0
2021/07/02,62.0
2021/07/03,46.0
2021/07/04,6.0
2021/07/05,110.0
2021/07/06,104.0
2021/07/07,133.0
2021/07/08,142.0
2021/07/09,160.0
2021/07/10,119.0
2021/07/11,34.0
2021/07/12,356.0
2021/07/13,393.0
2021/07/14,110.0
2021/07/15,583.0
2021/07/16,519.0
2021/07/17,410.0
2021/07/18,123.0
2021/07/19,1097.0
2021/07/20,1020.0
2021/07/21,1086.0
2021/07/22,999.0
2021/07/23,1054.0
2021/07/24,764.0
2021/07/25,219.0
2021/07/26,1666.0
2021/07/27,1235.0
2021/07/28,1149.0
2021/07/29,1153.0
2021/07/30,1099.0
2021/07/31,705.0
2021/08/01,180.0
2021/08/02,1621.0
2021/08/03,1182.0
2021/08/04,1154.0
2021/08/05,1159.0
2021/08/06,1116.0
2021/08/07,687.0
2021/08/08,202.0
2021/08/09,1660.0
2021/08/10,1143.0
2021/08/11,1093.0
2021/08/12,1085.0
2021/08/13,958.0
2021/08/14,662.0
2021/08/15,217.0
2021/08/16,1395.0
2021/08/17,863.0
2021/08/18,895.0
2021/08/19,817.0
2021/08/20,834.0
2021/08/21,528.0
2021/08/22,202.0
2021/08/23,1064.0
2021/08/24,806.0
2021/08/25,577.0
2021/08/26,576.0
2021/08/27,554.0
2021/08/28,341.0
2021/08/29,135.0
2021/08/30,649.0
2021/08/31,435.0
2021/09/01,451.0
2021/09/02,376.0
2021/09/03,357.0
2021/09/04,248.0
2021/09/05,68.0
2021/09/06,475.0
2021/09/07,327.0
2021/09/08,285.0
2021/09/09,247.0
2021/09/10,251.0
2021/09/11,152.0
2021/09/12,42.0
2021/09/13,277.0
2021/09/14,180.0
2021/09/15,149.0
2021/09/16,129.0
2021/09/17,142.0
2021/09/18,62.0
2021/09/19,25.0
2021/09/20,149.0
2021/09/21,126.0
2021/09/22,119.0
2021/09/23,94.0
2021/09/24,87.0
2021/09/25,70.0
2021/09/26,12.0
2021/09/27,155.0
2021/09/28,90.0
2021/09/29,84.0
2021/09/30,74.0
2021/10/01,72.0
2021/10/02,43.0
2021/10/03,7.0
2021/10/04,97.0
2021/10/05,60.0
2021/10/06,66.0
2021/10/07,69.0
2021/10/08,68.0
2021/10/09,50.0
2021/10/10,13.0
2021/10/11,113.0
2021/10/12,77.0
2021/10/13,68.0
