Datas,Côtes-d'Armor
2022/02/21,1053.0
2022/02/22,683.0
2022/02/23,744.0
2022/02/24,602.0
2022/02/25,553.0
2022/02/26,525.0
2022/02/27,109.0
2022/02/28,1166.0
2022/03/01,776.0
2022/03/02,840.0
2022/03/03,874.0
2022/03/04,755.0
2022/03/05,580.0
2022/03/06,155.0
2022/03/07,1396.0
2022/03/08,1056.0
2022/03/09,1116.0
2022/03/10,1072.0
2022/03/11,985.0
2022/03/12,890.0
2022/03/13,194.0
2022/03/14,2001.0
2022/03/15,1368.0
2022/03/16,1476.0
2022/03/17,1407.0
2022/03/18,1444.0
2022/03/19,1119.0
2022/03/20,242.0
2022/03/21,2752.0
2022/03/22,2136.0
2022/03/23,1973.0
2022/03/24,2015.0
2022/03/25,1827.0
2022/03/26,1202.0
2022/03/27,210.0
2022/03/28,3013.0
2022/03/29,2154.0
2022/03/30,1940.0
2022/03/31,1631.0
2022/04/01,1603.0
2022/04/02,1038.0
2022/04/03,181.0
2022/04/04,2551.0
2022/04/05,1802.0
2022/04/06,1769.0
2022/04/07,1672.0
2022/04/08,1494.0
2022/04/09,948.0
2022/04/10,134.0
2022/04/11,2012.0
2022/04/12,1367.0
2022/04/13,1340.0
2022/04/14,1008.0
2022/04/15,1102.0
2022/04/16,707.0
2022/04/17,128.0
2022/04/18,199.0
2022/04/19,1616.0
2022/04/20,1052.0
2022/04/21,835.0
2022/04/22,797.0
2022/04/23,550.0
2022/04/24,91.0
2022/04/25,1051.0
2022/04/26,680.0
2022/04/27,546.0
2022/04/28,503.0
2022/04/29,491.0
2022/04/30,346.0
2022/05/01,59.0
2022/05/02,686.0
2022/05/03,438.0
2022/05/04,459.0
2022/05/05,371.0
2022/05/06,375.0
2022/05/07,303.0
2022/05/08,41.0
2022/05/09,647.0
2022/05/10,328.0
2022/05/11,375.0
2022/05/12,327.0
2022/05/13,273.0
2022/05/14,202.0
2022/05/15,33.0
2022/05/16,490.0
2022/05/17,262.0
2022/05/18,286.0
2022/05/19,192.0
2022/05/20,205.0
2022/05/21,160.0
2022/05/22,25.0
2022/05/23,374.0
2022/05/24,217.0
2022/05/25,214.0
2022/05/26,27.0
2022/05/27,270.0
2022/05/28,143.0
2022/05/29,30.0
2022/05/30,387.0
2022/05/31,236.0
2022/06/01,206.0
2022/06/02,242.0
2022/06/03,244.0
2022/06/04,179.0
2022/06/05,31.0
2022/06/06,51.0
2022/06/07,568.0
2022/06/08,405.0
2022/06/09,393.0
2022/06/10,380.0
2022/06/11,278.0
2022/06/12,38.0
2022/06/13,683.0
2022/06/14,475.0
2022/06/15,488.0
2022/06/16,460.0
2022/06/17,478.0
2022/06/18,355.0
2022/06/19,49.0
2022/06/20,903.0
2022/06/21,697.0
2022/06/22,758.0
2022/06/23,675.0
2022/06/24,695.0
2022/06/25,505.0
2022/06/26,86.0
2022/06/27,1296.0
2022/06/28,1049.0
2022/06/29,1291.0
2022/06/30,1003.0
2022/07/01,1084.0
2022/07/02,736.0
2022/07/03,119.0
2022/07/04,2012.0
2022/07/05,1514.0
2022/07/06,1600.0
2022/07/07,1368.0
2022/07/08,1248.0
2022/07/09,796.0
2022/07/10,129.0
2022/07/11,1763.0
2022/07/12,1040.0
2022/07/13,1002.0
2022/07/14,89.0
2022/07/15,1114.0
2022/07/16,514.0
2022/07/17,81.0
2022/07/18,1211.0
2022/07/19,771.0
2022/07/20,734.0
2022/07/21,655.0
2022/07/22,633.0
2022/07/23,404.0
2022/07/24,81.0
2022/07/25,847.0
2022/07/26,468.0
2022/07/27,471.0
2022/07/28,375.0
2022/07/29,351.0
2022/07/30,251.0
2022/07/31,41.0
2022/08/01,513.0
2022/08/02,283.0
2022/08/03,249.0
2022/08/04,240.0
2022/08/05,230.0
2022/08/06,146.0
2022/08/07,29.0
2022/08/08,314.0
2022/08/09,228.0
2022/08/10,209.0
2022/08/11,180.0
2022/08/12,166.0
2022/08/13,112.0
2022/08/14,17.0
2022/08/15,23.0
2022/08/16,294.0
2022/08/17,156.0
2022/08/18,138.0
2022/08/19,139.0
2022/08/20,104.0
2022/08/21,11.0
2022/08/22,207.0
2022/08/23,157.0
2022/08/24,103.0
2022/08/25,143.0
2022/08/26,152.0
2022/08/27,115.0
2022/08/28,16.0
2022/08/29,247.0
2022/08/30,168.0
2022/08/31,182.0
2022/09/01,146.0
2022/09/02,132.0
2022/09/03,119.0
2022/09/04,18.0
2022/09/05,243.0
2022/09/06,190.0
2022/09/07,169.0
2022/09/08,172.0
2022/09/09,178.0
2022/09/10,156.0
2022/09/11,37.0
2022/09/12,413.0
2022/09/13,293.0
2022/09/14,307.0
2022/09/15,295.0
2022/09/16,289.0
2022/09/17,168.0
2022/09/18,25.0
2022/09/19,491.0
2022/09/20,327.0
2022/09/21,338.0
2022/09/22,358.0
2022/09/23,345.0
2022/09/24,255.0
2022/09/25,34.0
2022/09/26,622.0
2022/09/27,385.0
2022/09/28,408.0
2022/09/29,340.0
2022/09/30,364.0
2022/10/01,272.0
2022/10/02,58.0
2022/10/03,731.0
2022/10/04,500.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
