Datas,Gironde
2022/02/10,4668.0
2022/02/11,4167.0
2022/02/12,2779.0
2022/02/13,803.0
2022/02/14,5075.0
2022/02/15,3316.0
2022/02/16,3282.0
2022/02/17,2934.0
2022/02/18,2690.0
2022/02/19,1964.0
2022/02/20,515.0
2022/02/21,3588.0
2022/02/22,2305.0
2022/02/23,2264.0
2022/02/24,1974.0
2022/02/25,1762.0
2022/02/26,1343.0
2022/02/27,407.0
2022/02/28,2668.0
2022/03/01,1800.0
2022/03/02,1745.0
2022/03/03,1581.0
2022/03/04,1461.0
2022/03/05,1112.0
2022/03/06,369.0
2022/03/07,2583.0
2022/03/08,1867.0
2022/03/09,1980.0
2022/03/10,1890.0
2022/03/11,1896.0
2022/03/12,1537.0
2022/03/13,549.0
2022/03/14,3641.0
2022/03/15,2592.0
2022/03/16,2679.0
2022/03/17,2456.0
2022/03/18,2396.0
2022/03/19,1735.0
2022/03/20,541.0
2022/03/21,4396.0
2022/03/22,3100.0
2022/03/23,3138.0
2022/03/24,2842.0
2022/03/25,2640.0
2022/03/26,1891.0
2022/03/27,499.0
2022/03/28,4570.0
2022/03/29,3048.0
2022/03/30,3179.0
2022/03/31,2896.0
2022/04/01,2615.0
2022/04/02,1816.0
2022/04/03,494.0
2022/04/04,4286.0
2022/04/05,2947.0
2022/04/06,2906.0
2022/04/07,2727.0
2022/04/08,2782.0
2022/04/09,1940.0
2022/04/10,477.0
2022/04/11,4390.0
2022/04/12,2852.0
2022/04/13,2868.0
2022/04/14,2445.0
2022/04/15,2245.0
2022/04/16,1452.0
2022/04/17,324.0
2022/04/18,405.0
2022/04/19,3270.0
2022/04/20,1788.0
2022/04/21,1627.0
2022/04/22,1565.0
2022/04/23,1022.0
2022/04/24,221.0
2022/04/25,1875.0
2022/04/26,1168.0
2022/04/27,1178.0
2022/04/28,912.0
2022/04/29,877.0
2022/04/30,592.0
2022/05/01,150.0
2022/05/02,1341.0
2022/05/03,745.0
2022/05/04,717.0
2022/05/05,615.0
2022/05/06,610.0
2022/05/07,443.0
2022/05/08,95.0
2022/05/09,992.0
2022/05/10,654.0
2022/05/11,631.0
2022/05/12,589.0
2022/05/13,591.0
2022/05/14,371.0
2022/05/15,102.0
2022/05/16,845.0
2022/05/17,574.0
2022/05/18,496.0
2022/05/19,449.0
2022/05/20,432.0
2022/05/21,284.0
2022/05/22,77.0
2022/05/23,695.0
2022/05/24,447.0
2022/05/25,434.0
2022/05/26,69.0
2022/05/27,492.0
2022/05/28,287.0
2022/05/29,83.0
2022/05/30,772.0
2022/05/31,567.0
2022/06/01,546.0
2022/06/02,538.0
2022/06/03,599.0
2022/06/04,375.0
2022/06/05,129.0
2022/06/06,195.0
2022/06/07,1246.0
2022/06/08,895.0
2022/06/09,869.0
2022/06/10,766.0
2022/06/11,585.0
2022/06/12,179.0
2022/06/13,1608.0
2022/06/14,1129.0
2022/06/15,1172.0
2022/06/16,1164.0
2022/06/17,1137.0
2022/06/18,860.0
2022/06/19,250.0
2022/06/20,2556.0
2022/06/21,1983.0
2022/06/22,1932.0
2022/06/23,2087.0
2022/06/24,2164.0
2022/06/25,1532.0
2022/06/26,427.0
2022/06/27,4177.0
2022/06/28,3682.0
2022/06/29,4076.0
2022/06/30,3712.0
2022/07/01,3875.0
2022/07/02,2631.0
2022/07/03,717.0
2022/07/04,6895.0
2022/07/05,4926.0
2022/07/06,4926.0
2022/07/07,4138.0
2022/07/08,3758.0
