Datas,Marne
2021/05/09,14.0
2021/05/10,211.0
2021/05/11,128.0
2021/05/12,123.0
2021/05/13,20.0
2021/05/14,155.0
2021/05/15,46.0
2021/05/16,8.0
2021/05/17,165.0
2021/05/18,147.0
2021/05/19,84.0
2021/05/20,97.0
2021/05/21,81.0
2021/05/22,55.0
2021/05/23,10.0
2021/05/24,11.0
2021/05/25,115.0
2021/05/26,78.0
2021/05/27,62.0
2021/05/28,87.0
2021/05/29,36.0
2021/05/30,5.0
2021/05/31,90.0
2021/06/01,50.0
2021/06/02,41.0
2021/06/03,55.0
2021/06/04,45.0
2021/06/05,29.0
2021/06/06,2.0
2021/06/07,52.0
2021/06/08,32.0
2021/06/09,28.0
2021/06/10,13.0
2021/06/11,27.0
2021/06/12,8.0
2021/06/13,3.0
2021/06/14,25.0
2021/06/15,22.0
2021/06/16,37.0
2021/06/17,35.0
2021/06/18,24.0
2021/06/19,6.0
2021/06/20,2.0
2021/06/21,17.0
2021/06/22,13.0
2021/06/23,12.0
2021/06/24,7.0
2021/06/25,16.0
2021/06/26,13.0
2021/06/27,3.0
2021/06/28,27.0
2021/06/29,13.0
2021/06/30,17.0
2021/07/01,22.0
2021/07/02,10.0
2021/07/03,15.0
2021/07/04,0.0
2021/07/05,13.0
2021/07/06,7.0
2021/07/07,8.0
2021/07/08,6.0
2021/07/09,22.0
2021/07/10,10.0
2021/07/11,2.0
2021/07/12,20.0
2021/07/13,35.0
2021/07/14,5.0
2021/07/15,37.0
2021/07/16,48.0
2021/07/17,34.0
2021/07/18,5.0
2021/07/19,71.0
2021/07/20,52.0
2021/07/21,79.0
2021/07/22,46.0
2021/07/23,60.0
2021/07/24,61.0
2021/07/25,10.0
2021/07/26,123.0
2021/07/27,112.0
2021/07/28,100.0
2021/07/29,108.0
2021/07/30,93.0
2021/07/31,76.0
2021/08/01,6.0
2021/08/02,142.0
2021/08/03,112.0
2021/08/04,117.0
2021/08/05,120.0
2021/08/06,120.0
2021/08/07,79.0
2021/08/08,14.0
2021/08/09,160.0
2021/08/10,111.0
2021/08/11,113.0
2021/08/12,83.0
2021/08/13,90.0
2021/08/14,82.0
2021/08/15,15.0
2021/08/16,120.0
2021/08/17,105.0
2021/08/18,86.0
2021/08/19,79.0
2021/08/20,78.0
