Datas,Seine-Maritime
2022/01/17,9212.0
2022/01/18,7424.0
2022/01/19,7207.0
2022/01/20,6930.0
2022/01/21,6598.0
2022/01/22,4834.0
2022/01/23,1324.0
2022/01/24,10009.0
2022/01/25,7157.0
2022/01/26,6779.0
2022/01/27,5941.0
2022/01/28,5825.0
2022/01/29,4101.0
2022/01/30,977.0
2022/01/31,8131.0
2022/02/01,5108.0
2022/02/02,4470.0
2022/02/03,3849.0
2022/02/04,3275.0
2022/02/05,2139.0
2022/02/06,472.0
2022/02/07,3608.0
2022/02/08,2275.0
2022/02/09,2068.0
2022/02/10,1736.0
2022/02/11,1667.0
2022/02/12,1202.0
2022/02/13,315.0
2022/02/14,2328.0
2022/02/15,1361.0
2022/02/16,1403.0
2022/02/17,1099.0
2022/02/18,1133.0
2022/02/19,836.0
2022/02/20,217.0
2022/02/21,1632.0
2022/02/22,990.0
2022/02/23,1100.0
2022/02/24,952.0
2022/02/25,828.0
2022/02/26,624.0
2022/02/27,166.0
2022/02/28,1417.0
2022/03/01,999.0
2022/03/02,1170.0
2022/03/03,992.0
2022/03/04,963.0
2022/03/05,760.0
2022/03/06,193.0
2022/03/07,1766.0
2022/03/08,1276.0
2022/03/09,1481.0
2022/03/10,1403.0
2022/03/11,1420.0
2022/03/12,1207.0
2022/03/13,311.0
2022/03/14,2769.0
2022/03/15,2015.0
2022/03/16,2161.0
2022/03/17,2047.0
2022/03/18,2141.0
2022/03/19,1673.0
2022/03/20,373.0
2022/03/21,4333.0
2022/03/22,3180.0
2022/03/23,3264.0
2022/03/24,3418.0
2022/03/25,3315.0
2022/03/26,2281.0
2022/03/27,420.0
2022/03/28,5395.0
2022/03/29,3934.0
2022/03/30,3566.0
2022/03/31,3287.0
2022/04/01,2755.0
2022/04/02,2151.0
2022/04/03,343.0
2022/04/04,5050.0
2022/04/05,3529.0
2022/04/06,3451.0
2022/04/07,3381.0
2022/04/08,2900.0
2022/04/09,2118.0
2022/04/10,302.0
2022/04/11,4171.0
2022/04/12,2857.0
2022/04/13,2783.0
2022/04/14,2513.0
2022/04/15,2237.0
2022/04/16,1671.0
2022/04/17,281.0
2022/04/18,301.0
2022/04/19,3355.0
2022/04/20,1919.0
2022/04/21,1700.0
2022/04/22,1602.0
2022/04/23,1116.0
2022/04/24,207.0
2022/04/25,2177.0
2022/04/26,1249.0
2022/04/27,1122.0
2022/04/28,1007.0
2022/04/29,981.0
2022/04/30,648.0
2022/05/01,88.0
2022/05/02,1510.0
2022/05/03,970.0
2022/05/04,978.0
2022/05/05,910.0
2022/05/06,824.0
2022/05/07,595.0
2022/05/08,97.0
2022/05/09,1370.0
2022/05/10,795.0
2022/05/11,835.0
2022/05/12,693.0
2022/05/13,668.0
2022/05/14,458.0
2022/05/15,82.0
2022/05/16,1002.0
2022/05/17,532.0
2022/05/18,514.0
2022/05/19,487.0
2022/05/20,409.0
2022/05/21,305.0
2022/05/22,42.0
2022/05/23,588.0
2022/05/24,372.0
2022/05/25,361.0
2022/05/26,58.0
2022/05/27,419.0
2022/05/28,260.0
2022/05/29,50.0
2022/05/30,700.0
2022/05/31,415.0
2022/06/01,399.0
2022/06/02,388.0
2022/06/03,353.0
2022/06/04,313.0
2022/06/05,71.0
2022/06/06,100.0
2022/06/07,1027.0
2022/06/08,670.0
2022/06/09,572.0
2022/06/10,592.0
2022/06/11,446.0
2022/06/12,88.0
