Datas,Isère
2021/07/05,66.0
2021/07/06,69.0
2021/07/07,62.0
2021/07/08,60.0
2021/07/09,80.0
2021/07/10,63.0
2021/07/11,18.0
2021/07/12,131.0
2021/07/13,144.0
2021/07/14,25.0
2021/07/15,161.0
2021/07/16,161.0
2021/07/17,170.0
2021/07/18,36.0
2021/07/19,357.0
2021/07/20,350.0
2021/07/21,350.0
2021/07/22,324.0
2021/07/23,325.0
2021/07/24,214.0
2021/07/25,45.0
2021/07/26,503.0
2021/07/27,397.0
2021/07/28,350.0
2021/07/29,346.0
2021/07/30,327.0
2021/07/31,225.0
2021/08/01,55.0
2021/08/02,545.0
2021/08/03,416.0
2021/08/04,351.0
2021/08/05,385.0
2021/08/06,413.0
2021/08/07,227.0
2021/08/08,57.0
2021/08/09,603.0
2021/08/10,458.0
2021/08/11,443.0
2021/08/12,422.0
2021/08/13,403.0
2021/08/14,258.0
2021/08/15,66.0
2021/08/16,535.0
2021/08/17,448.0
2021/08/18,384.0
2021/08/19,355.0
2021/08/20,394.0
2021/08/21,244.0
2021/08/22,43.0
2021/08/23,523.0
2021/08/24,350.0
2021/08/25,342.0
2021/08/26,329.0
2021/08/27,286.0
2021/08/28,178.0
2021/08/29,52.0
2021/08/30,436.0
2021/08/31,282.0
2021/09/01,247.0
2021/09/02,256.0
2021/09/03,236.0
2021/09/04,155.0
2021/09/05,41.0
2021/09/06,297.0
2021/09/07,179.0
2021/09/08,190.0
2021/09/09,168.0
2021/09/10,199.0
2021/09/11,90.0
2021/09/12,22.0
2021/09/13,182.0
2021/09/14,138.0
2021/09/15,116.0
2021/09/16,104.0
2021/09/17,114.0
2021/09/18,72.0
2021/09/19,12.0
2021/09/20,121.0
2021/09/21,100.0
2021/09/22,83.0
2021/09/23,94.0
2021/09/24,70.0
2021/09/25,51.0
2021/09/26,9.0
2021/09/27,107.0
2021/09/28,93.0
2021/09/29,68.0
2021/09/30,80.0
2021/10/01,76.0
2021/10/02,39.0
2021/10/03,8.0
2021/10/04,78.0
2021/10/05,84.0
2021/10/06,40.0
2021/10/07,37.0
2021/10/08,68.0
2021/10/09,47.0
2021/10/10,3.0
2021/10/11,81.0
2021/10/12,67.0
2021/10/13,71.0
2021/10/14,73.0
2021/10/15,58.0
2021/10/16,65.0
2021/10/17,12.0
2021/10/18,109.0
2021/10/19,92.0
2021/10/20,98.0
2021/10/21,94.0
2021/10/22,83.0
2021/10/23,75.0
2021/10/24,17.0
2021/10/25,114.0
2021/10/26,91.0
2021/10/27,97.0
2021/10/28,115.0
2021/10/29,164.0
2021/10/30,117.0
2021/10/31,27.0
2021/11/01,40.0
2021/11/02,214.0
2021/11/03,146.0
2021/11/04,158.0
2021/11/05,185.0
2021/11/06,142.0
2021/11/07,20.0
2021/11/08,321.0
2021/11/09,209.0
2021/11/10,251.0
2021/11/11,43.0
2021/11/12,364.0
2021/11/13,177.0
2021/11/14,45.0
2021/11/15,537.0
2021/11/16,389.0
2021/11/17,430.0
2021/11/18,483.0
2021/11/19,501.0
2021/11/20,350.0
2021/11/21,63.0
2021/11/22,914.0
2021/11/23,725.0
2021/11/24,781.0
2021/11/25,825.0
2021/11/26,841.0
2021/11/27,558.0
2021/11/28,92.0
2021/11/29,1316.0
2021/11/30,1138.0
2021/12/01,1191.0
2021/12/02,1193.0
2021/12/03,1197.0
2021/12/04,726.0
2021/12/05,139.0
2021/12/06,1835.0
2021/12/07,1405.0
2021/12/08,1354.0
2021/12/09,1347.0
2021/12/10,1304.0
2021/12/11,791.0
2021/12/12,152.0
2021/12/13,2031.0
2021/12/14,1625.0
2021/12/15,1528.0
2021/12/16,1505.0
2021/12/17,1492.0
2021/12/18,885.0
2021/12/19,219.0
2021/12/20,2274.0
2021/12/21,2194.0
2021/12/22,2242.0
2021/12/23,2513.0
2021/12/24,2145.0
2021/12/25,340.0
2021/12/26,557.0
2021/12/27,5002.0
2021/12/28,4759.0
2021/12/29,5139.0
2021/12/30,5128.0
2021/12/31,4317.0
2022/01/01,610.0
2022/01/02,1108.0
2022/01/03,9309.0
2022/01/04,8001.0
2022/01/05,6867.0
2022/01/06,6683.0
2022/01/07,6238.0
2022/01/08,4102.0
2022/01/09,1762.0
2022/01/10,9636.0
2022/01/11,7993.0
2022/01/12,7696.0
2022/01/13,7332.0
2022/01/14,7583.0
2022/01/15,4915.0
2022/01/16,2098.0
2022/01/17,11626.0
2022/01/18,9237.0
2022/01/19,8822.0
2022/01/20,8555.0
2022/01/21,8219.0
2022/01/22,5179.0
2022/01/23,1885.0
2022/01/24,10801.0
2022/01/25,8141.0
2022/01/26,7493.0
2022/01/27,6265.0
2022/01/28,6018.0
2022/01/29,3791.0
2022/01/30,1324.0
2022/01/31,7923.0
2022/02/01,5337.0
2022/02/02,4962.0
2022/02/03,4215.0
2022/02/04,3639.0
2022/02/05,2509.0
2022/02/06,763.0
2022/02/07,4940.0
2022/02/08,2969.0
2022/02/09,2802.0
2022/02/10,2267.0
2022/02/11,2118.0
2022/02/12,1330.0
2022/02/13,421.0
2022/02/14,2357.0
2022/02/15,1370.0
2022/02/16,1367.0
2022/02/17,1259.0
2022/02/18,1194.0
2022/02/19,880.0
2022/02/20,219.0
2022/02/21,1492.0
2022/02/22,883.0
2022/02/23,875.0
2022/02/24,814.0
2022/02/25,763.0
2022/02/26,595.0
2022/02/27,229.0
2022/02/28,1178.0
2022/03/01,704.0
2022/03/02,813.0
2022/03/03,699.0
2022/03/04,584.0
2022/03/05,492.0
2022/03/06,134.0
2022/03/07,1134.0
2022/03/08,810.0
2022/03/09,949.0
2022/03/10,913.0
2022/03/11,875.0
2022/03/12,729.0
2022/03/13,193.0
2022/03/14,1738.0
2022/03/15,1250.0
2022/03/16,1330.0
2022/03/17,1327.0
2022/03/18,1337.0
2022/03/19,1074.0
2022/03/20,312.0
2022/03/21,2983.0
2022/03/22,2110.0
2022/03/23,2301.0
2022/03/24,2180.0
2022/03/25,2127.0
2022/03/26,1589.0
2022/03/27,408.0
2022/03/28,3906.0
2022/03/29,2692.0
2022/03/30,2733.0
2022/03/31,2356.0
2022/04/01,2218.0
2022/04/02,1528.0
2022/04/03,381.0
2022/04/04,4091.0
2022/04/05,2883.0
2022/04/06,2995.0
2022/04/07,2756.0
2022/04/08,2711.0
2022/04/09,1871.0
2022/04/10,436.0
2022/04/11,4505.0
2022/04/12,2945.0
2022/04/13,2985.0
2022/04/14,2649.0
2022/04/15,2474.0
2022/04/16,1593.0
2022/04/17,383.0
2022/04/18,417.0
2022/04/19,3600.0
2022/04/20,2072.0
2022/04/21,1734.0
2022/04/22,1661.0
2022/04/23,1067.0
2022/04/24,240.0
2022/04/25,2030.0
2022/04/26,1216.0
2022/04/27,1075.0
2022/04/28,930.0
2022/04/29,951.0
2022/04/30,653.0
2022/05/01,162.0
2022/05/02,1309.0
2022/05/03,826.0
2022/05/04,727.0
2022/05/05,594.0
2022/05/06,629.0
2022/05/07,427.0
2022/05/08,124.0
2022/05/09,1025.0
2022/05/10,711.0
2022/05/11,604.0
2022/05/12,573.0
2022/05/13,556.0
2022/05/14,378.0
2022/05/15,92.0
2022/05/16,840.0
2022/05/17,557.0
2022/05/18,509.0
2022/05/19,419.0
2022/05/20,441.0
2022/05/21,276.0
2022/05/22,40.0
2022/05/23,641.0
2022/05/24,350.0
2022/05/25,401.0
2022/05/26,45.0
2022/05/27,419.0
2022/05/28,194.0
2022/05/29,68.0
2022/05/30,591.0
2022/05/31,430.0
2022/06/01,351.0
2022/06/02,360.0
2022/06/03,361.0
2022/06/04,278.0
2022/06/05,77.0
2022/06/06,173.0
2022/06/07,876.0
2022/06/08,617.0
2022/06/09,514.0
2022/06/10,492.0
2022/06/11,373.0
2022/06/12,103.0
2022/06/13,1126.0
2022/06/14,889.0
2022/06/15,859.0
2022/06/16,734.0
2022/06/17,819.0
2022/06/18,613.0
2022/06/19,121.0
2022/06/20,1676.0
2022/06/21,1287.0
2022/06/22,1288.0
2022/06/23,1243.0
2022/06/24,1332.0
2022/06/25,941.0
2022/06/26,221.0
2022/06/27,2781.0
2022/06/28,2154.0
2022/06/29,2129.0
2022/06/30,2025.0
2022/07/01,2029.0
2022/07/02,1302.0
2022/07/03,276.0
2022/07/04,3585.0
2022/07/05,2406.0
2022/07/06,2405.0
2022/07/07,2135.0
2022/07/08,2048.0
2022/07/09,1441.0
2022/07/10,324.0
2022/07/11,3332.0
2022/07/12,2217.0
2022/07/13,2076.0
2022/07/14,271.0
2022/07/15,2210.0
2022/07/16,1238.0
2022/07/17,261.0
2022/07/18,2684.0
2022/07/19,1541.0
2022/07/20,1313.0
2022/07/21,1227.0
2022/07/22,1208.0
2022/07/23,790.0
2022/07/24,195.0
2022/07/25,1691.0
2022/07/26,1030.0
2022/07/27,865.0
2022/07/28,790.0
2022/07/29,765.0
2022/07/30,538.0
2022/07/31,112.0
2022/08/01,1097.0
2022/08/02,724.0
2022/08/03,634.0
2022/08/04,542.0
2022/08/05,520.0
2022/08/06,362.0
2022/08/07,80.0
2022/08/08,728.0
2022/08/09,469.0
2022/08/10,470.0
2022/08/11,423.0
2022/08/12,340.0
2022/08/13,288.0
2022/08/14,66.0
2022/08/15,127.0
2022/08/16,713.0
2022/08/17,444.0
2022/08/18,413.0
2022/08/19,356.0
2022/08/20,271.0
2022/08/21,57.0
2022/08/22,601.0
2022/08/23,379.0
2022/08/24,348.0
2022/08/25,349.0
2022/08/26,344.0
2022/08/27,272.0
2022/08/28,54.0
2022/08/29,581.0
2022/08/30,410.0
2022/08/31,396.0
2022/09/01,318.0
2022/09/02,353.0
2022/09/03,248.0
2022/09/04,61.0
2022/09/05,650.0
2022/09/06,503.0
2022/09/07,475.0
2022/09/08,435.0
2022/09/09,442.0
2022/09/10,377.0
2022/09/11,97.0
2022/09/12,1034.0
2022/09/13,766.0
2022/09/14,851.0
2022/09/15,774.0
2022/09/16,751.0
2022/09/17,502.0
2022/09/18,106.0
2022/09/19,1410.0
2022/09/20,874.0
2022/09/21,993.0
2022/09/22,1024.0
2022/09/23,998.0
2022/09/24,802.0
2022/09/25,161.0
2022/09/26,2275.0
2022/09/27,1411.0
2022/09/28,1383.0
2022/09/29,1262.0
2022/09/30,1359.0
2022/10/01,888.0
2022/10/02,223.0
2022/10/03,2707.0
2022/10/04,2016.0
2022/10/05,0.0
2022/10/06,0.0
2022/10/07,0.0
